ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,53344,1243,1465,4391,7980,7702,8283,9158,7325,3934,1756,107,0 to 119,49,30575,22535,234,52937,407,0,704,50923,458,2235,310,4029,49236,23,56,52859,3840,127,59,3,2126,1839,2,3967,81,143,528,848,620,572,505,342,226,160,4,0 to 119,41,1470,838,694,965,1032,1752,1183,767,11,543,8,3,103,4029,1867,2160,3967,62,0,82454,344,86901,82798,4029,103,1401,1053,45,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,15539,262,325,863,1434,1598,2031,2947,3262,2018,696,103,0 to 119,59,8849,6377,313,15294,245,0,650,14213,177,1295,45,1483,14050,4,2,15288,1415,58,10,0,799,668,6,1473,26,59,132,212,221,219,210,169,148,87,0,0 to 101,49,934,220,129,190,480,751,242,172,2,239,2,2,116,1483,673,804,1473,10,0,26420,235,28148,26655,1483,116,267,169,57,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,8229,119,200,617,947,1139,1343,1477,1301,760,305,21,0 to 101,53,4753,3367,109,8208,21,0,108,7752,130,487,46,443,7785,1,0,8207,380,60,3,0,257,183,0,440,0,5,31,47,55,65,79,76,54,31,0,6 to 95,57,250,87,43,60,39,325,76,128,0,96,0,0,32,443,184,259,440,3,0,13066,18,13531,13084,443,32,264,231,59,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,964,24,51,123,175,120,122,140,121,62,26,0,0 to 94,44,540,407,17,957,7,0,44,625,2,254,5,213,750,1,0,956,193,15,5,0,100,108,0,208,5,14,30,50,31,24,23,22,9,5,0,0 to 88,37,134,49,20,5,127,75,6,39,3,25,3,1,1,213,111,102,208,5,0,1368,2,1584,1370,213,1,358,262,50,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,13967,155,191,852,1568,1624,2054,2454,2616,1717,710,26,0 to 168,57,8583,5335,49,13940,27,0,4177,9351,177,2895,142,325,13409,0,233,13708,299,21,4,1,183,136,1,320,6,7,24,48,58,55,62,37,21,7,0,0 to 97,48,224,68,19,9,62,249,9,64,3,43,0,0,8,325,137,187,320,5,0,18860,21,19213,18881,325,8,434,269,51,3.40272879823586,0.399426438918717
25,25,64,127,VOLUSIA,Volusia,FL,20263,170,300,1054,2030,2179,2911,4214,3939,2155,1026,285,0 to 119,58,11333,8214,716,20166,97,0,271,19271,230,899,140,969,19294,0,0,20166,817,137,14,1,473,481,0,954,4,26,99,130,117,148,168,147,72,58,0,0 to 102,52,527,228,145,54,124,742,88,247,5,175,4,0,49,969,487,482,954,15,0,29590,82,30655,29672,969,49,977,364,53,5.33119702869585,0.289588880387825
26,26,15,029,DIXIE,Dixie,FL,805,21,27,65,88,133,106,136,120,68,40,1,0 to 118,52,476,311,18,805,0,0,11,695,6,73,1,60,745,0,0,805,44,16,0,0,29,31,0,60,0,3,12,2,11,11,10,3,5,3,0,6 to 91,48,44,14,1,1,1,57,2,13,0,10,0,0,3,60,31,29,60,0,0,1178,0,1238,1178,60,3,110,55,46,2.28600352325086,0.169869356765238
27,27,35,069,LAKE,Lake,FL,15172,209,237,782,1389,1472,1878,2468,2821,1998,660,1258,0 to 103,59,7952,6138,1082,15036,136,0,162,14554,222,505,93,498,14662,0,12,15026,467,16,15,0,223,258,2,483,2,13,54,90,70,82,69,60,47,11,0,1 to 103,47,257,67,106,53,114,312,57,135,12,81,5,1,16,498,267,229,483,15,0,23628,119,24257,23747,498,16,534,242,52,3.13721776582964,0.276793966603692
28,28,38,075,LEVY,Levy,FL,1709,26,27,160,221,188,227,328,264,187,79,2,0 to 118,55,995,696,18,1708,1,0,21,1489,16,266,2,127,1582,0,0,1708,124,3,0,0,40,86,1,127,1,1,25,34,25,11,14,8,4,3,1,3 to 99,35,31,8,57,31,58,38,31,12,0,6,0,0,1,127,86,40,127,0,0,2601,1,2731,2602,127,1,173,123,53,3.28561267663391,0.269417839061194
29,29,60,119,SUMTER,Sumter,FL,3835,27,27,90,171,181,296,511,1421,892,133,86,0 to 119,69,1879,1752,204,3760,75,0,113,3473,164,274,55,268,3544,0,23,3737,218,48,1,1,78,188,0,266,0,2,7,6,33,40,40,90,41,9,0,10 to 92,65,223,34,5,4,17,242,7,58,0,45,0,0,17,268,190,78,266,2,0,5731,73,6077,5804,268,17,61,49,66,2.17022236361353,0.138739000630679
30,30,59,117,SEMINOLE,Seminole,FL,16765,214,382,1364,2096,2237,2601,2836,2486,1175,503,871,0 to 119,51,9539,7096,130,16728,37,0,284,15971,246,623,99,836,15920,1,8,16719,778,49,9,0,441,386,0,827,12,16,187,157,116,126,84,77,37,24,0,0 to 100,38,525,102,86,114,235,420,172,226,5,127,1,0,13,836,389,447,827,9,0,26932,28,27808,26960,836,13,630,387,47,1.54465854506178,0.0825017178217949
31,31,48,095,ORANGE,Orange,FL,62785,1100,1428,4886,8925,9268,10018,10260,7384,3492,1334,4690,0 to 120,48,34679,27785,321,61720,1064,1,707,60546,585,1891,406,3437,59317,0,31,61690,3229,102,102,4,1582,1743,6,3331,55,94,590,757,602,585,431,196,90,37,0,0 to 101,38,1124,596,860,751,1061,1239,1031,724,45,373,37,5,47,3437,1802,1629,3330,106,1,93378,958,97834,94336,3437,47,989,765,45,2.69541534247372,0.239823210111864
32,32,9,017,CITRUS,Citrus,FL,3880,38,68,179,358,347,450,718,904,617,192,9,0 to 222,62,2157,1522,201,3873,7,0,57,3568,119,241,25,152,3726,1,1,3872,85,67,0,0,75,77,0,152,2,4,14,14,10,20,38,22,17,11,0,0 to 97,58,111,8,8,25,16,111,25,31,0,33,0,0,12,152,77,75,152,0,0,7528,6,7689,7534,152,12,612,157,58,2.36078129145224,0.144732057690528
33,33,27,053,HERNANDO,Hernando,FL,3515,65,59,243,471,435,535,665,538,370,130,4,0 to 100,54,2105,1396,14,3496,19,0,69,3295,66,179,41,146,3369,0,0,3496,89,51,5,1,67,73,0,140,1,6,9,33,18,23,28,16,10,2,0,1 to 88,47,112,20,6,2,32,103,5,44,2,28,2,1,5,146,75,71,140,6,0,6788,13,6948,6801,146,5,220,169,49,1.97468349274389,0.11617688304957
34,34,52,103,PINELLAS,Pinellas,FL,37312,358,482,2179,4379,4263,5370,7226,6689,4075,2211,80,0 to 120,57,21691,15534,87,36989,323,0,1967,33822,411,3735,377,2523,34734,1,54,36934,2330,141,46,6,1440,1029,2,2471,27,96,254,517,339,332,327,261,195,175,0,0 to 119,45,1252,626,144,449,218,1693,560,529,19,475,17,1,107,2523,1060,1461,2471,52,0,68227,271,71041,68498,2523,107,468,376,56,3.37527233690315,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2141,55,49,162,272,245,255,345,300,236,212,10,0 to 118,56,1368,691,82,2136,5,0,58,1877,110,522,14,208,1933,0,0,2136,94,109,2,3,133,70,0,203,2,9,19,22,29,31,24,22,30,20,0,1 to 102,52,127,45,12,19,37,149,17,35,1,41,0,0,18,208,72,136,203,5,0,2736,0,2946,2736,208,18,25,21,63,2.13933972018078,0.167912477075967
36,36,16,031,DUVAL,Duval,FL,48165,775,1009,4216,7586,7005,7431,8701,6409,3284,1638,110,-6 to 119,49,26650,20766,749,47564,601,0,627,45951,454,1906,207,2112,46013,11,29,47524,1836,201,65,10,1096,941,0,2037,34,62,235,401,351,306,330,215,114,63,1,0 to 101,44,863,665,319,190,377,1423,237,421,21,307,11,3,59,2112,980,1130,2037,75,0,70796,526,73480,71322,2112,59,1358,1241,50,3.27411455760684,0.200425275865001
37,37,34,067,LAFAYETTE,Lafayette,FL,346,6,0,43,41,38,34,37,47,55,44,1,0 to 119,59,222,117,7,346,0,0,12,329,0,17,1,15,331,0,0,346,10,5,0,0,6,9,0,15,1,0,3,3,0,2,2,2,0,2,0,3 to 98,46,14,1,0,0,3,12,0,3,0,2,0,0,0,15,9,6,15,0,0,415,0,430,415,15,0,8,8,47,1.87054630268957,0.132542672355777
38,38,23,045,GULF,Gulf,FL,613,11,14,36,57,64,102,123,122,65,19,0,0 to 94,56,361,249,3,557,56,0,17,582,1,53,12,11,602,0,0,557,9,0,2,0,5,4,0,9,0,1,0,1,2,4,0,3,0,0,0,9 to 70,48,7,0,2,0,2,7,0,1,1,0,1,0,0,11,5,6,9,2,0,1175,54,1240,1229,11,0,23,20,42,2.48127035962968,0.137366647942991
39,39,63,125,UNION,Union,FL,1164,11,17,54,75,108,138,399,277,71,14,0,0 to 118,59,316,841,7,1164,0,0,15,1123,4,73,4,38,1126,0,0,1164,35,3,0,0,6,32,0,38,0,0,0,5,1,2,17,11,2,0,0,25 to 80,62,24,11,2,1,1,36,1,8,0,8,0,0,1,38,32,6,38,0,0,2009,0,2047,2009,38,1,29,27,55,1.26448361855685,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1470,20,26,116,186,168,222,288,189,146,103,6,0 to 118,54,921,524,25,1468,2,0,28,1394,34,148,1,53,1416,0,1,1467,14,39,0,0,42,11,0,53,0,2,3,3,7,6,3,6,12,11,0,8 to 107,69,46,6,1,0,0,53,0,5,0,11,0,0,2,53,11,42,53,0,0,2026,2,2082,2028,53,2,119,87,74,1.60231093560507,0.0725862816422102
41,41,65,129,WAKULLA,Wakulla,FL,1252,13,29,87,137,168,213,245,213,107,39,1,0 to 102,53,707,534,11,1248,4,0,12,1188,13,193,4,35,1216,0,1,1247,17,16,2,0,23,10,0,33,0,0,5,5,5,10,5,3,1,1,0,18 to 86,46,17,13,3,0,0,33,0,6,0,5,0,0,1,35,10,25,33,2,0,1796,2,1833,1798,35,1,100,25,43,2.72889764150517,0.147928217310253
42,42,5,009,BREVARD,Brevard,FL,19409,256,339,1060,1835,2078,2697,4400,3937,2101,556,150,0 to 119,58,11037,8269,103,19392,17,0,168,18905,107,540,81,608,18799,0,2,19390,542,55,9,2,309,288,0,597,9,17,79,85,89,89,110,64,38,28,0,0 to 99,48,438,63,42,54,149,386,62,147,2,79,2,0,16,608,291,317,597,11,0,30792,6,31408,30798,608,16,464,406,53,7.43388258345288,0.247147786992
43,43,53,105,POLK,Polk,FL,18691,439,479,1336,2301,2399,2691,3053,2973,1894,788,338,0 to 119,53,10846,7661,184,18599,92,0,367,17028,231,1443,140,1566,17113,1,11,18587,1384,169,12,1,913,640,0,1553,19,45,159,214,252,225,210,183,151,108,0,0 to 103,48,969,278,196,110,486,913,154,533,8,383,3,0,75,1566,645,921,1553,13,0,32452,79,34104,32531,1566,75,1127,580,56,3.74731907845249,0.477444147523754
44,44,49,097,OSCEOLA,Osceola,FL,13380,169,348,909,1803,1915,2221,2322,1775,884,322,712,0 to 155,50,7502,5807,71,13303,77,0,433,12107,390,877,206,866,12465,2,47,13255,782,35,47,2,413,403,1,817,9,19,74,157,132,162,139,94,62,17,1,0 to 102,47,397,77,329,14,502,267,48,261,8,161,7,2,21,866,439,426,817,49,0,18425,27,19334,18452,866,21,654,142,50,3.37526858197538,0.357928282021791
45,45,28,055,HIGHLANDS,Highlands,FL,3751,54,59,171,383,334,435,599,715,623,358,20,0 to 119,62,2281,1433,37,3686,65,0,53,3541,47,168,20,192,3554,0,5,3681,158,32,2,0,101,89,0,190,2,10,13,26,26,29,40,23,19,4,0,0 to 91,52,109,40,26,15,68,100,22,53,1,44,1,0,9,192,91,101,190,2,0,5580,63,5838,5643,192,9,228,113,56,2.84124660964211,0.261466143584495
46,46,36,071,LEE,Lee,FL,26431,305,395,1745,2986,3232,3721,4556,4786,3198,1446,61,0 to 119,56,15259,10946,226,25484,946,1,538,23652,613,2385,169,3015,23392,1,23,25461,2789,153,68,5,1567,1373,2,2942,38,77,299,436,470,476,435,325,240,219,0,0 to 101,49,1775,442,80,645,905,1376,661,767,15,492,13,4,136,3015,1413,1599,2941,73,1,39126,873,43024,39999,3015,136,2368,762,54,5.53875412350018,0.191375285005442
47,47,11,021,COLLIER,Collier,FL,15800,326,564,1300,1756,1932,2060,2387,2696,2076,683,20,0 to 105,54,8539,7196,65,15443,357,0,401,13363,356,2248,162,2729,13010,3,58,15382,2369,283,61,16,1290,1357,5,2652,75,156,380,425,477,399,333,225,175,83,1,0 to 101,42,1540,139,237,736,1416,632,604,403,20,274,11,6,60,2729,1402,1322,2652,77,0,23109,280,26126,23389,2729,60,2593,1602,57,5.51085434088275,0.469024646004233
48,48,13,025,DADE,Dade,FL,160337,1696,2467,12080,25284,25403,29149,27615,18863,10771,6398,611,0 to 225,49,83973,75146,1218,159009,1327,1,3761,145465,2785,15518,977,22741,137370,104,122,158785,21487,814,431,9,11097,11183,21,22301,178,362,1985,3817,3607,4138,3569,2386,1511,1176,12,0 to 108,48,12005,3495,1124,5677,11936,4672,5693,5611,45,3497,31,15,847,22741,11420,11297,22300,440,1,218590,886,242429,219476,22741,847,3463,2722,49,5.08399988470576,0.459639407492568
49,49,44,087,MONROE,Monroe,FL,3350,26,52,199,390,458,571,734,544,272,102,2,0 to 101,54,1782,1559,9,3284,66,0,1098,1904,83,732,114,131,3171,0,48,3237,100,20,7,4,57,63,0,120,0,4,8,14,17,20,23,20,14,11,0,6 to 100,55,92,5,1,22,30,62,28,16,3,10,2,0,4,131,69,62,120,11,0,4108,54,4293,4162,131,4,427,149,49,13.2628040836788,0.235931608548315
50,50,57,113,SANTA ROSA,Santa Rosa,FL,6964,228,264,541,919,974,1044,1158,1045,543,238,10,0 to 119,50,3818,3119,27,6897,67,0,80,6623,99,253,65,297,6665,1,1,6895,252,40,5,0,97,195,0,292,4,3,34,54,51,57,40,33,12,9,0,0 to 98,45,215,43,6,28,18,225,49,28,0,26,0,0,9,297,196,101,292,5,0,10418,62,10779,10480,297,9,725,181,49,3.552029247735,0.244558859494853
51,51,66,131,WALTON,Walton,FL,1641,51,40,102,169,210,243,287,246,158,132,3,0 to 101,55,913,691,37,1582,59,0,27,1496,15,177,40,152,1488,0,1,1581,110,23,16,3,76,57,0,133,4,8,13,17,27,18,29,17,13,6,0,1 to 101,48,120,10,1,2,32,97,4,25,5,20,2,0,9,152,64,88,133,19,0,2530,40,2726,2570,152,9,111,56,49,3.60138877830291,0.254870622087333
52,52,32,063,JACKSON,Jackson,FL,3023,25,33,244,514,518,530,476,308,229,140,6,0 to 105,48,1358,1571,94,3000,23,0,19,2618,19,305,24,326,2695,1,1,2998,280,37,8,1,72,245,0,317,2,7,30,77,74,64,51,15,5,1,0,0 to 87,40,129,130,20,38,29,177,111,36,2,21,0,0,1,326,249,77,317,9,0,4163,14,4511,4177,326,1,380,182,36,2.21646510608254,0.231093280808265
53,53,67,133,WASHINGTON,Washington,FL,906,12,16,54,96,109,141,195,129,99,55,0,0 to 119,56,538,346,22,900,6,0,31,749,9,129,14,94,811,0,1,899,74,18,2,0,49,43,0,92,0,2,4,10,8,8,21,18,16,7,0,9 to 99,60,64,18,1,9,1,81,10,8,0,18,0,0,9,94,43,51,92,2,0,1492,4,1591,1496,94,9,125,68,54,2.37953061790718,0.14998158443965
54,54,45,089,NASSAU,Nassau,FL,3243,44,52,227,328,370,445,622,599,382,170,4,0 to 103,57,1747,1300,196,3134,109,0,45,3132,28,71,31,94,3149,0,0,3134,72,14,6,2,44,42,0,86,0,1,14,17,16,11,10,15,7,3,0,14 to 89,44,68,13,2,3,1,82,3,28,1,16,0,0,1,94,45,49,86,8,0,5182,101,5378,5283,94,1,78,72,49,3.75942130773243,0.154419685909309
55,55,22,043,GLADES,Glades,FL,268,2,10,30,51,53,31,31,30,23,6,1,1 to 90,42,114,152,2,268,0,0,25,188,3,119,0,118,149,0,1,267,116,2,0,0,24,94,0,118,1,3,15,34,31,15,12,5,1,1,0,3 to 89,37,93,18,3,4,76,38,4,18,0,13,0,0,1,118,94,24,118,0,0,395,0,513,395,118,1,129,70,61,2.27684336624256,0.231957009552348
56,56,8,015,CHARLOTTE,Charlotte,FL,5472,61,52,245,456,528,745,1053,1047,733,546,6,0 to 119,61,3228,2176,68,5454,18,0,141,4955,62,535,22,543,4924,1,4,5449,396,145,1,1,329,212,0,541,5,8,19,57,36,56,100,81,80,101,0,0 to 101,64,444,53,13,31,32,466,43,102,1,133,1,0,73,543,213,330,541,2,0,8492,16,9053,8508,543,73,85,65,68,3.83218059315228,0.165856243943894
57,57,58,115,SARASOTA,Sarasota,FL,13149,152,171,668,1154,1202,1632,2433,2774,1983,939,41,0 to 119,61,7432,5548,169,12911,238,0,449,12281,190,986,94,789,12358,2,0,12909,707,59,17,6,437,329,0,766,4,7,52,87,85,93,111,125,128,97,0,0 to 104,61,594,57,52,63,82,576,108,201,13,173,10,1,92,789,343,446,766,23,0,27318,215,28326,27533,789,92,322,216,64,2.51442395330883,0.137455100826111
