ï»¿OBJECTID_12,OBJECTID,COUNTY,COUNTY_LAB,Region,Shape_Leng,OBJECTID_1,COUNTY_1,NEW_CASES,TOTAL_CASES,NEW_DEATHS,TOTAL_DEATHS,PROBABLE_DEATHS,Number_of_Facilities___Cumulati,Cumulative_COVID_Cases_Reported,Cumulative_COVID_Cases_Report_1,Cumulative_COVID_deaths_Reporte,Cumulative_COVID_deaths_Repor_1,Facilities_with_Active_Outbreak,Active_COVID_Cases_Reported_by_,Active_COVID_Cases_Reported_by1,Active_COVID_deaths_Reported_by,Active_COVID_deaths_Reported__1,ALL_HOSPITAL_DISCHARGES,FEMALE,MALE,F0_4_YEARS,F5_17_YEARS,F18_24_YEARS,F25_34_YEARS,F35_49_YEARS,F50_64_YEARS,F65_74_YEARS,F75_YEARS_OR_OLDER,WHITE__NON_HISPANIC,BLACK__NON_HISPANIC,HISPANIC,ASIAN__NON_HISPANIC,OTHER__NON_HISPANIC,RACE_ETHNICITY_UNKNOWN_UNAVAILA,MISSING,SHAPE_Length,SHAPE_Area
11,11,MERCER,Mercer County,Central,484092.889323,11,MERCER,22,7899,1,569,43,25,1151,620,344,4,15,871,469,243,4,927,414,516,2,1,24,72,182,225,162,262,277,304,279,22,32,6,10,1.5501420715373,0.0627676690792756
12,12,MONMOUTH,Monmouth County,Central,733254.571341,13,MONMOUTH,27,9822,0,754,100,56,1893,924,513,7,29,1126,573,329,5,1621,772,859,3,6,21,56,170,415,318,642,1042,205,233,78,37,10,26,2.30128897653111,0.133191124803161
13,13,OCEAN,Ocean County,Central,722804.023315,15,OCEAN,56,10171,0,941,70,55,1991,937,519,4,24,1269,592,330,1,1514,686,837,7,5,26,69,215,361,290,550,1085,90,243,37,23,11,34,2.1761306129879,0.206732780359718
14,14,PASSAIC,Passaic County,North,492850.749337,16,PASSAIC,41,17274,2,1085,156,30,1357,813,413,15,19,774,497,246,3,1819,818,1008,6,15,49,101,265,574,370,446,536,280,807,73,57,17,56,1.56336840982204,0.0550131927088685
15,15,SALEM,Salem County,South,664540.959975,17,SALEM,6,855,0,76,5,6,185,117,64,0,3,113,77,35,0,24,11,14,0,0,1,1,6,8,3,6,11,6,7,1,0,0,0,2.08307712712064,0.0942680106180723
16,16,SOMERSET,Somerset County,Central,541586.64384,18,SOMERSET,13,5120,2,477,78,34,1077,715,298,8,25,858,613,226,7,563,244,327,3,1,6,16,76,170,110,189,279,61,146,39,21,5,20,1.71686776703541,0.0839848419907746
17,17,SUSSEX,Sussex County,North,525986.641842,19,SUSSEX,6,1271,0,158,37,9,260,162,110,4,3,204,98,83,1,309,130,180,1,1,4,4,18,99,86,97,222,27,29,10,3,1,18,1.69177740640281,0.14878204079266
18,18,UNION,Union County,North,321814.207051,20,UNION,15,16335,0,1170,175,30,1556,780,492,11,25,1134,610,359,9,2221,955,1293,13,12,29,96,329,718,463,588,542,593,830,80,70,41,92,1.05870542897882,0.0290675390089666
19,19,WARREN,Warren County,North,554859.389117,21,WARREN,5,1308,0,155,14,9,413,138,124,1,3,46,22,12,1,179,84,95,1,0,1,6,21,45,34,71,109,16,28,3,4,6,13,1.7507652347905,0.100311884632681
20,20,MORRIS,Morris County,North,750263.075351,14,MORRIS,18,7052,0,674,153,46,1463,746,495,3,16,498,297,172,1,867,359,508,0,6,18,32,97,225,169,320,490,52,208,35,33,14,35,2.40809246203369,0.133188921848586
21,21,MIDDLESEX,Middlesex County,Central,505626.031639,12,MIDDLESEX,41,17514,1,1187,212,44,1736,912,513,8,29,1099,584,313,4,2310,1021,1341,6,20,24,114,342,699,447,710,739,286,799,263,106,23,146,1.62072838209013,0.0871537443231625
