ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,SHAPE_Length,SHAPE_Area
41,41,65,129,WAKULLA,Wakulla,FL,1782,24,52,161,230,273,309,323,244,123,42,1,0 to 102,50,897,877,8,1776,6,0,45,1253,13,528,27,477,1303,0,2,1774,437,36,3,1,156,317,0,473,3,12,63,87,99,89,79,26,15,4,0,2 to 86,42,281,124,24,44,34,374,65,49,0,20,0,0,1,477,319,158,473,4,0,5675,2,6186,5677,477,1,436,361,2.72889764150517,0.147928217310253
42,42,5,009,BREVARD,Brevard,FL,23783,296,456,1921,2658,2707,3335,4975,4287,2297,705,146,0 to 119,56,13334,10337,112,23757,26,0,1126,21027,107,3832,135,4898,18876,1,8,23748,4776,102,17,3,2564,2296,18,4878,50,120,945,901,706,703,662,396,233,182,0,0 to 105,40,2545,463,394,1476,663,2571,1644,680,6,342,3,0,64,4898,2305,2575,4878,20,0,69115,6,74078,69121,4898,64,1339,1281,7.43388258345288,0.247147786992
43,43,53,105,POLK,Polk,FL,28536,664,1045,2925,4315,4180,4144,4135,3626,2215,954,333,0 to 119,47,15872,12353,311,28420,116,0,1373,23684,231,4637,203,11197,17304,1,34,28385,9960,1199,30,8,5834,5172,153,11159,212,547,1702,2184,2004,1643,1278,846,496,283,2,0 to 103,39,4972,1871,963,3353,2631,4278,4250,1323,11,929,8,1,216,11197,5186,5858,11159,38,0,70076,75,81415,70151,11197,216,3502,2932,3.74731907845249,0.477444147523754
44,44,49,097,OSCEOLA,Osceola,FL,20103,262,663,1993,3279,3225,3390,2987,2158,1075,395,676,0 to 155,45,10962,8966,175,19995,108,0,1838,15905,390,2943,230,7407,12623,2,71,19923,7274,53,78,2,3763,3458,106,7327,95,276,1106,1599,1389,1301,793,488,263,93,4,0 to 102,39,2079,348,1950,2950,2633,1086,3608,600,10,298,8,2,51,7407,3511,3787,7327,80,0,45010,27,52567,45037,7407,51,2543,2032,3.37526858197538,0.357928282021791
45,45,28,055,HIGHLANDS,Highlands,FL,4708,83,107,289,542,472,567,727,805,705,391,20,0 to 119,59,2773,1897,38,4641,67,0,148,3901,47,782,41,1018,3682,0,8,4633,912,102,4,0,530,479,5,1014,20,37,116,165,141,150,157,103,93,36,0,0 to 96,47,532,175,147,160,277,522,215,214,2,122,1,0,22,1018,483,530,1014,4,0,12815,63,13905,12878,1018,22,1028,914,2.84124660964211,0.261466143584495
46,46,36,071,LEE,Lee,FL,37926,520,832,3764,5275,5156,5532,5935,5573,3607,1668,64,0 to 119,51,21224,16347,355,36783,1142,1,1325,32311,613,6848,223,14292,23611,2,21,36761,13491,529,266,6,7296,6533,191,14020,245,481,2261,2699,2334,2263,1766,1090,677,467,9,0 to 101,41,5769,1296,525,6430,3162,4172,6686,1615,18,871,15,6,258,14292,6674,7420,14019,272,1,85988,868,101182,86856,14292,258,3498,1896,5.53875412350018,0.191375285005442
47,47,11,021,COLLIER,Collier,FL,22417,550,937,2548,2864,3018,3104,3174,3113,2294,776,39,0 to 105,49,11886,10370,161,22038,379,0,1099,16671,356,5482,211,8725,13519,3,170,21865,8244,381,84,16,4362,4225,38,8625,230,455,1533,1463,1486,1376,1044,594,377,166,1,0 to 101,39,4082,490,723,3330,3438,1911,3276,947,22,597,12,6,117,8725,4282,4400,8625,100,0,46080,279,55145,46359,8725,117,5416,4435,5.51085434088275,0.469024646004233
48,48,13,025,DADE,Dade,FL,236640,2948,5110,22739,40527,38662,42777,37848,24283,13537,7476,733,0 to 225,46,122429,112604,1607,234811,1828,1,6744,209435,2785,26134,1114,101854,134482,91,213,234509,99719,1269,857,9,50803,49583,602,100988,1378,2900,12815,19658,17320,18292,14113,8069,4533,2646,130,0 to 108,43,34724,9556,6121,50587,37966,11971,51051,9778,61,5121,33,16,1379,101854,50008,51181,100987,866,1,454735,952,558801,455687,101854,1379,8754,8015,5.08399988470576,0.459639407492568
49,49,44,087,MONROE,Monroe,FL,5051,79,111,399,726,722,862,994,712,333,111,2,0 to 101,50,2601,2429,21,4956,95,0,1432,2480,83,1222,145,1114,3905,0,32,4926,1062,26,21,5,503,582,3,1088,26,37,134,219,191,199,142,103,48,15,0,0 to 100,42,556,41,26,465,293,322,473,153,6,63,5,1,6,1114,598,513,1088,26,0,9644,66,10833,9710,1114,6,1993,1716,13.2628040836788,0.235931608548315
50,50,57,113,SANTA ROSA,Santa Rosa,FL,9319,286,395,1138,1287,1286,1409,1445,1184,613,266,10,0 to 119,47,5067,4190,62,9242,77,0,378,7276,99,1531,151,2365,6951,0,3,9239,2278,71,16,0,1164,1151,34,2349,43,90,578,396,321,355,291,164,83,44,0,0 to 101,37,1403,150,117,679,59,1546,744,112,0,137,1,0,19,2365,1156,1175,2349,16,0,20018,60,22461,20078,2365,19,2824,2280,3.552029247735,0.244558859494853
51,51,66,131,WALTON,Walton,FL,2635,62,82,343,348,375,383,417,299,184,139,3,0 to 104,47,1395,1204,36,2491,144,0,114,2163,15,978,116,1016,1618,0,1,2490,897,26,90,3,442,478,3,923,14,40,233,166,167,135,144,60,44,13,0,0 to 104,38,743,56,26,98,192,640,91,108,12,49,2,0,11,1016,519,494,923,93,0,6662,51,7765,6713,1016,11,498,443,3.60138877830291,0.254870622087333
52,52,32,063,JACKSON,Jackson,FL,4088,49,86,386,698,693,700,597,399,285,189,6,0 to 105,46,1798,2203,87,4060,28,0,23,3063,19,897,43,1220,2864,1,3,4056,1157,49,13,1,418,776,12,1206,11,32,131,237,230,224,154,93,58,50,0,0 to 100,43,531,283,46,346,48,562,596,128,2,80,0,0,18,1220,783,424,1206,14,0,7518,14,8766,7532,1220,18,1007,808,2.21646510608254,0.231093280808265
53,53,67,133,WASHINGTON,Washington,FL,1297,19,37,121,156,161,209,258,161,118,57,0,0 to 119,53,745,513,39,1288,9,0,45,908,9,398,15,415,877,0,5,1283,349,61,5,0,204,184,22,410,5,15,59,63,49,66,68,46,34,10,0,0 to 99,48,190,70,13,137,4,246,160,31,0,30,0,0,13,415,186,207,410,5,0,3265,4,3686,3269,415,13,372,314,2.37953061790718,0.14998158443965
