ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
51,51,66,131,WALTON,Walton,FL,758,28,18,59,82,107,127,137,112,50,36,2,0 to 97,51,400,328,30,736,22,0,20,705,15,73,30,50,707,1,0,735,30,11,7,2,25,16,0,41,0,0,3,7,7,7,7,9,6,4,0,20 to 94,56,36,4,0,1,1,39,1,7,2,6,2,0,1,50,20,30,41,9,0,694,13,758,707,50,1,46,20,2708101782.46999,370154.781284707,49
52,52,32,063,JACKSON,Jackson,FL,565,9,10,47,86,81,109,97,67,44,15,0,0 to 96,49,320,233,12,556,9,0,18,518,19,35,16,31,534,0,0,556,24,6,0,1,11,19,0,30,1,2,1,8,10,5,4,0,0,0,0,4 to 60,38,11,15,2,2,3,22,5,4,0,1,0,0,0,31,20,11,30,1,0,526,8,565,534,31,0,64,32,2452499072.79567,223828.324060307,36
53,53,67,133,WASHINGTON,Washington,FL,327,2,2,14,35,44,61,71,52,35,11,0,2 to 103,55,188,122,17,326,1,0,28,282,9,38,9,12,315,0,0,326,6,6,0,0,5,7,0,12,0,0,0,3,0,3,6,0,0,0,0,25 to 62,54,12,0,0,0,0,12,0,0,0,1,0,0,0,12,7,5,12,0,0,314,1,327,315,12,0,42,10,1594396648.51196,243766.072259733,54
54,54,45,089,NASSAU,Nassau,FL,1721,22,28,136,210,246,263,310,237,165,104,0,0 to 103,53,924,629,168,1670,51,0,26,1651,28,47,23,60,1661,0,0,1670,45,13,0,2,33,25,0,58,0,0,6,9,11,8,8,11,5,2,0,15 to 89,49,47,7,2,2,1,56,1,22,0,13,0,1,1,60,26,34,58,2,0,1612,49,1721,1661,60,1,35,32,1641620662.32831,388721.737801268,49
55,55,22,043,GLADES,Glades,FL,83,1,2,8,11,13,8,14,10,13,3,0,1 to 90,53,46,35,2,83,0,0,2,76,3,6,0,6,77,0,0,83,4,2,0,0,3,3,0,6,0,0,0,1,0,1,1,1,1,1,0,30 to 89,61,3,3,0,0,0,5,1,3,0,3,0,0,1,6,3,3,6,0,0,77,0,83,77,6,1,18,0,2551976411.00452,236757.936928168,61
56,56,8,015,CHARLOTTE,Charlotte,FL,3112,26,25,150,273,328,426,582,500,411,389,2,0 to 102,60,1892,1194,26,3095,17,0,94,2843,62,243,13,304,2801,1,6,3089,210,93,0,1,197,106,0,303,1,2,8,25,12,27,53,53,51,72,0,3 to 101,70,218,31,7,47,12,232,59,40,1,53,1,0,30,304,107,197,303,1,0,2786,15,3112,2801,304,30,81,62,1825525431.11919,398247.923422686,68
57,57,58,115,SARASOTA,Sarasota,FL,5885,96,82,346,604,657,817,1026,993,751,510,3,0 to 115,58,3398,2384,103,5732,153,0,367,5255,190,660,83,412,5470,1,2,5729,346,50,10,6,230,166,0,396,2,1,19,35,44,53,60,75,70,53,0,0 to 102,63,317,24,31,24,42,308,46,157,10,135,7,1,51,412,176,236,396,16,0,5333,137,5885,5470,412,51,222,117,1509311882.53409,264158.506465067,64
58,58,14,027,DESOTO,Desoto,FL,1274,19,9,64,153,183,272,316,151,72,32,3,0 to 94,52,420,804,50,1267,7,0,8,1190,48,118,4,42,1227,0,5,1262,32,10,0,0,16,26,0,42,0,0,1,7,4,6,10,6,4,4,0,21 to 92,60,29,1,0,12,6,19,17,13,0,12,0,0,5,42,26,16,42,0,0,1220,7,1274,1227,42,5,38,34,1654926851.96404,168390.780925558,62
59,59,18,035,FLAGLER,Flagler,FL,2012,23,17,97,220,281,304,399,381,223,66,1,0 to 98,56,1163,806,43,1997,15,0,46,1902,37,128,35,145,1862,2,3,1992,124,17,4,0,83,58,0,141,0,1,9,16,18,22,36,31,12,0,0,7 to 84,56,100,15,20,6,17,116,8,22,2,15,2,0,4,145,59,86,141,4,0,1851,11,2012,1862,145,4,58,29,1294754947.55994,220559.838719988,56
60,60,26,051,HENDRY,Hendry,FL,883,15,18,85,140,139,135,135,90,63,60,3,0 to 104,48,509,367,7,881,2,0,28,771,32,133,2,129,753,0,1,880,105,24,0,0,68,61,0,129,2,4,9,20,24,16,22,13,10,9,0,1 to 101,48,87,35,2,5,55,70,4,41,0,26,0,0,5,129,61,68,129,0,0,751,2,883,753,129,5,242,101,3080878042.06929,290231.154940413,48
61,61,31,061,INDIAN RIVER,Indian River,FL,2196,27,28,133,222,210,304,428,452,260,131,1,0 to 105,59,1319,842,35,2172,24,0,88,2007,77,166,56,99,2046,0,51,2123,75,13,9,2,38,49,1,88,0,1,6,10,5,14,16,23,15,9,0,8 to 96,64,61,6,14,7,5,66,17,43,6,24,3,0,8,99,56,42,88,11,0,2035,11,2196,2046,99,8,289,64,1319798862.49319,234087.653130679,64
62,62,6,011,BROWARD,Broward,FL,57843,500,661,3712,8858,9454,10830,10829,7091,3765,2031,112,0 to 119,50,31206,25014,1623,56821,1022,0,1345,53178,2336,4191,861,5677,52101,42,23,56759,4518,1020,117,22,2772,2766,0,5538,16,52,408,888,903,1080,1047,653,394,236,0,0 to 102,50,2656,1913,514,455,1747,3349,442,1798,56,1081,44,21,230,5677,2853,2823,5538,139,0,51221,880,57843,52101,5677,230,754,415,3142374056.01305,291881.846057183,50
63,63,17,033,ESCAMBIA,Escambia,FL,9457,275,269,785,1282,1220,1350,1632,1301,809,517,17,0 to 107,51,5685,3747,25,8367,1090,0,115,9020,183,501,59,616,8822,7,12,8348,479,51,86,0,305,225,0,530,5,6,58,58,86,74,98,89,87,55,0,0 to 105,57,257,178,14,81,12,372,146,66,0,49,0,0,16,616,257,359,530,86,0,7818,1004,9457,8822,616,16,127,53,1767890300.40206,439974.169549806,54
64,64,47,093,OKEECHOBEE,Okeechobee,FL,878,11,18,98,104,85,126,128,97,111,98,2,0 to 100,54,535,328,15,873,5,0,39,828,2,45,7,22,856,0,0,873,15,6,1,0,12,9,0,21,0,1,3,5,2,4,3,2,1,1,0,6 to 87,45,19,1,0,1,5,14,2,2,0,5,1,0,0,22,10,12,21,1,0,852,4,878,856,22,0,35,20,2307690905.70045,272539.677334045,56
65,65,19,037,FRANKLIN,Franklin,FL,121,1,3,9,11,7,12,28,27,22,1,0,3 to 85,60,56,64,1,120,1,0,8,113,0,5,3,2,119,0,0,120,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,119,0,121,119,2,0,3,2,1445840682.56789,446544.245992026,42
66,66,1,001,ALACHUA,Alachua,FL,7858,143,106,870,1406,1076,984,1168,1102,629,322,52,0 to 118,48,4515,3116,227,7686,172,0,149,7594,61,284,48,300,7550,8,0,7678,250,36,5,9,168,118,0,286,1,3,42,54,35,44,48,45,18,9,1,2 to 94,49,117,97,20,52,21,207,58,71,4,56,2,0,5,300,121,176,286,14,0,7392,158,7858,7550,300,5,76,57,2510756491.26947,272135.471452184,49
67,67,55,109,ST. JOHNS,St. Johns,FL,5820,91,132,411,655,952,1061,1044,861,436,173,4,0 to 101,51,3171,2530,119,5805,15,0,196,5390,208,295,114,222,5571,1,26,5778,171,42,6,3,105,108,0,213,1,5,18,20,24,48,52,39,11,4,0,2 to 97,53,164,12,14,23,13,171,29,57,3,37,3,0,4,222,114,108,213,9,0,5565,6,5820,5571,222,4,149,115,1658206648.51031,344848.248220385,53
68,999,999,999,Unknown,Unknown,FL,106,0,0,9,20,11,28,13,13,5,5,2,18 to 92,49,41,61,4,19,87,0,0,104,0,1,0,33,72,0,1,19,1,0,31,1,0,1,0,1,0,0,1,10,5,11,4,0,1,1,0,23 to 86,45,0,0,1,0,0,1,0,0,0,0,0,0,0,33,27,6,1,32,0,18,54,106,72,33,0,15,12,426757389.663452,73231.2921286601,36
