ï»¿LastUpdate,OBJECTID_1,OBJECTID,County,FIPS,COUNTYFP10,Shape_Leng,Count_,Shape__Area,Shape__Length,Deaths
2020/05/07 16:47:48.116+00,235,235,Victoria,48469,469,286809.831767,146,2296523987.8252,286809.831766525,5
2020/05/07 16:47:48.116+00,236,236,Walker,48471,471,223034.379166,315,2067237033.42383,223034.379166156,2
2020/05/07 16:47:48.116+00,237,237,Waller,48473,473,255108.326614,37,1336087055.16797,255108.326614353,
2020/05/07 16:47:48.116+00,238,238,Ward,48475,475,297556.825613,,2155649807.53564,297556.825612992,
2020/05/07 16:47:48.116+00,239,239,Washington,48477,477,264449.690263,153,1604018941.02539,264449.690262634,18
2020/05/07 16:47:48.116+00,240,240,Webb,48479,479,492375.207414,410,8737964172.65039,492375.207413847,17
2020/05/07 16:47:48.116+00,241,241,Wharton,48481,481,255365.93611,40,2825747501.26367,255365.936109605,
2020/05/07 16:47:48.116+00,242,242,Wheeler,48483,483,194979.291646,12,2373415284.1084,194979.291645823,
2020/05/07 16:47:48.116+00,243,243,Wichita,48485,485,186931.240736,70,1636470348.90137,186931.240736272,2
2020/05/07 16:47:48.116+00,244,244,Wilbarger,48487,487,256039.137516,2,2528055460.12695,256039.137516328,
2020/05/07 16:47:48.116+00,245,245,Willacy,48489,489,229070.703875,14,2036545320.64648,229070.703875205,1
2020/05/07 16:47:48.116+00,246,246,Williamson,48491,491,251701.215058,341,2926035555.75391,251701.215057596,12
2020/05/07 16:47:48.116+00,247,247,Wilson,48493,493,198041.012195,34,2087641279.93555,198041.012194764,4
2020/05/07 16:47:48.116+00,248,248,Winkler,48495,495,196049.973375,3,2169858505.67188,196049.973374818,
2020/05/07 16:47:48.116+00,249,249,Wise,48497,497,195554.705584,28,2382057130.58105,195554.705583542,2
2020/05/07 16:47:48.116+00,250,250,Wood,48499,499,228468.101431,11,1795486922.07813,228468.101430885,
2020/05/07 16:47:48.116+00,251,251,Yoakum,48501,501,181929.789143,2,2064762801.71045,181929.789142625,
2020/05/07 16:47:48.116+00,252,252,Young,48503,503,196408.347885,4,2403310053.3457,196408.347885176,1
2020/05/07 16:47:48.116+00,253,253,Zapata,48505,505,238464.539484,7,2743549674.73633,238464.539483662,
2020/05/07 16:47:48.116+00,254,254,Zavala,48507,507,235294.528994,1,3363003176.97656,235294.528994164,
