OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
56,56,8,015,CHARLOTTE,2000-05-16T00:00:00.000Z,19647662652.4031,1306868.96108577,8,Charlotte,FL,56,8,15,1037,11,12,54,103,113,145,181,200,133,83,2,0,0,4,9,3,15,17,29,17,19,59,0 to 98,68,16 to 96,112,604,409,24,1025,12,0,79,947,11,53,39,21,61,32,20,5,1030,113,915,2,7,50,2,45,113,45,66,112,1,0,905,10,1037,915,113,5,80,69,1825525431.11919,398247.923422686,20,0,21,0
57,57,58,115,SARASOTA,2000-05-16T00:00:00.000Z,16244595346.2406,866480.222854252,56,Sarasota,FL,57,58,115,2320,32,28,118,225,271,318,390,381,333,223,1,2,0,6,19,21,33,36,53,39,18,59,0 to 115,64,0 to 99,211,1315,980,25,2271,49,0,477,1770,73,108,20,99,143,9,75,12,2318,226,2088,3,2,335,108,144,226,103,122,211,15,0,2057,34,2320,2091,226,12,221,125,1509311882.53409,264158.506465067,67,8,88,11
58,58,14,027,DESOTO,2000-05-16T00:00:00.000Z,17811561535.2703,552611.74528102,14,Desoto,FL,58,14,27,295,7,3,12,52,40,41,50,42,35,13,0,0,0,0,5,0,2,5,3,3,2,53,0 to 92,64,27 to 92,20,169,114,12,294,1,0,59,233,3,11,2,7,13,1,6,3,293,20,273,0,2,8,96,26,20,12,8,20,0,0,272,1,295,273,20,3,3,0,1654926851.96404,168390.780925558,6,0,7,0
59,59,18,035,FLAGLER,2000-05-16T00:00:00.000Z,13936478366.7697,723300.597094917,18,Flagler,FL,59,18,35,665,6,7,33,83,95,89,126,138,70,17,1,0,0,1,4,3,5,18,10,4,0,56,0 to 98,62,17 to 77,43,353,274,38,659,6,0,33,606,26,31,3,11,35,2,8,2,664,45,617,2,1,8,65,26,45,21,24,43,2,0,614,4,665,618,45,2,57,28,1294754947.55994,220559.838719988,7,1,10,1
60,60,26,051,HENDRY,2000-05-16T00:00:00.000Z,33164247954.1707,952053.303145101,26,Hendry,FL,60,26,51,205,4,4,11,38,39,23,39,27,12,8,0,0,0,0,5,5,2,6,2,0,0,47,1 to 90,44,28 to 72,20,115,87,3,204,1,0,24,180,1,9,2,9,13,1,6,0,205,20,184,1,0,12,10,8,20,10,10,20,0,0,184,1,205,185,20,0,38,26,3080878042.06929,290231.154940413,6,0,9,0
61,61,31,061,INDIAN RIVER,2000-05-16T00:00:00.000Z,14211052094.6021,768080.956031033,31,Indian River,FL,61,31,61,1014,13,17,62,101,90,153,191,208,122,56,1,0,1,4,7,4,10,14,19,11,4,58,0 to 105,63,8 to 94,66,601,389,24,1002,12,0,93,870,51,30,5,39,51,2,21,1,972,74,898,0,42,75,56,54,74,44,30,66,8,0,896,2,1014,898,74,1,176,78,1319798862.49319,234087.653130679,20,1,35,4
62,62,6,011,BROWARD,2000-05-16T00:00:00.000Z,33839548761.036,958026.061896544,6,Broward,FL,62,6,11,24451,194,275,1566,4205,4521,4705,4180,2759,1326,684,36,2,16,214,461,502,548,566,363,177,97,48,0 to 119,50,0 to 99,2865,12625,10261,1565,24013,438,0,1889,21869,693,1113,949,887,1703,810,436,76,24387,2945,21400,38,64,975,1442,1434,2945,1583,1341,2865,80,0,21060,353,24451,21413,2945,76,933,680,3142374056.01305,291881.846057183,410,26,850,37
63,63,17,033,ESCAMBIA,2000-05-16T00:00:00.000Z,19152061307.8204,1448408.40435881,17,Escambia,FL,63,17,33,3623,161,133,424,643,569,553,538,356,169,68,9,3,1,33,33,39,31,33,26,18,7,42,0 to 105,45,2 to 95,206,2177,1418,28,3324,299,0,162,3411,50,109,88,27,143,63,18,3,3608,224,3379,5,15,81,121,62,224,107,115,206,18,0,3098,281,3623,3379,224,3,123,70,1767890300.40206,439974.169549806,18,0,27,0
64,64,47,093,OKEECHOBEE,2000-05-16T00:00:00.000Z,24844271086.3607,893974.023125111,47,Okeechobee,FL,64,47,93,197,5,9,20,25,25,36,33,24,16,3,1,0,0,0,1,1,0,1,2,0,0,49,0 to 97,61,33 to 74,4,96,86,15,194,3,0,26,164,7,1,4,0,3,0,2,0,196,5,191,0,1,28,2,2,5,2,3,4,1,0,189,2,197,191,5,0,7,6,2307690905.70045,272539.677334045,1,1,0,0
65,65,19,037,FRANKLIN,2000-05-16T00:00:00.000Z,15589551427.4073,1467124.86409578,19,Franklin,FL,65,19,37,52,1,2,5,5,2,7,13,11,6,0,0,0,0,0,1,0,0,1,0,0,0,57,3 to 84,42,25 to 60,1,21,30,1,51,1,0,5,44,3,2,0,0,2,0,0,0,52,2,50,0,0,8,2,0,2,0,2,1,1,0,50,0,52,50,2,0,3,3,1445840682.56789,446544.245992026,0,0,0,0
66,66,1,001,ALACHUA,2000-05-16T00:00:00.000Z,27023240533.1793,892726.558557937,1,Alachua,FL,66,1,1,3855,87,51,493,758,560,475,546,477,263,99,46,1,0,35,54,28,29,32,19,8,5,44,0 to 118,41,2 to 92,205,2263,1468,124,3798,57,0,201,3612,42,75,105,35,93,98,24,0,3849,215,3624,10,6,97,116,43,215,88,125,205,10,0,3578,47,3855,3625,215,0,66,54,2510756491.26947,272135.471452184,22,2,31,4
67,67,55,109,ST. JOHNS,2000-05-16T00:00:00.000Z,17847916417.1672,1130719.73111295,58,St. Johns,FL,67,55,109,3215,61,83,229,412,582,615,549,404,207,71,2,1,4,11,17,15,40,42,32,9,2,48,0 to 99,53,2 to 91,168,1780,1319,116,3206,9,0,212,2917,86,105,18,50,135,6,32,2,3196,173,3020,3,19,162,147,165,173,93,79,168,5,0,3017,4,3215,3021,173,2,140,117,1658206648.51031,344848.248220385,28,4,46,4
68,999,999,999,Unknown,,,,64,Unknown,FL,68,999,999,46,0,0,6,9,6,8,5,7,1,2,2,0,0,1,0,0,0,0,1,0,0,45,19 to 95,48,24 to 72,0,20,22,4,18,28,0,0,45,1,0,1,1,1,1,0,0,34,2,32,0,12,0,0,1,2,0,2,0,2,0,14,18,46,32,2,0,16,14,426757389.663452,73231.2921286601,0,0,0,1
