OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
11,11,33,065,JEFFERSON,Jefferson,FL,127,6,4,5,9,16,15,26,19,14,12,1,0 to 96,58,80,45,2,124,3,0,4,82,41,32,90,5,26,101,0,0,124,5,19,2,0,12,12,0,24,0,0,1,1,1,2,6,7,4,4,0,22 to 95,66,11,9,3,1,3,19,2,4,2,6,0,0,1,26,14,12,24,2,0,100,1,127,101,26,1,43,10,1581350101.5302,228391.565390175
12,12,40,079,MADISON,Madison,FL,231,27,16,18,23,31,26,21,34,21,14,0,0 to 95,45,129,100,2,227,4,0,14,157,53,102,122,5,40,189,0,2,225,19,19,2,0,19,19,0,38,2,0,4,3,4,5,6,7,4,5,0,0 to 89,60,11,22,1,4,1,29,8,8,0,4,0,0,2,40,20,20,38,2,0,187,2,231,189,40,2,69,25,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,Liberty,FL,41,2,2,6,10,6,4,6,4,1,0,0,0 to 76,35,24,15,2,41,0,0,1,39,1,2,39,0,2,39,0,0,41,2,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,39,0,41,39,2,0,13,4,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,Hamilton,FL,117,3,2,16,19,14,13,21,17,7,5,0,0 to 95,48,66,46,5,115,2,0,9,99,9,15,97,3,6,110,0,1,115,2,4,0,0,6,0,0,6,0,0,0,2,1,0,3,0,0,0,0,32 to 64,50,4,2,0,0,0,6,0,3,0,0,0,0,0,6,0,6,6,0,0,109,1,117,110,6,0,3,1,1344926537.82205,232510.619937192
15,15,3,005,BAY,Bay,FL,970,9,16,68,130,155,201,184,116,65,26,0,0 to 99,50,529,388,53,968,2,0,36,905,28,66,849,29,60,909,1,0,967,44,15,1,0,24,35,0,59,0,1,3,10,12,16,8,7,2,1,0,14 to 93,47,43,8,3,5,14,38,7,20,1,9,1,0,2,60,36,24,59,1,0,908,1,970,909,60,2,32,27,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,Columbia,FL,688,26,28,49,107,108,92,135,92,35,12,4,0 to 118,48,371,269,48,680,8,0,131,494,63,121,540,17,46,634,0,8,675,34,11,1,0,26,19,0,45,1,0,5,11,4,8,12,4,1,0,0,1 to 76,46,36,5,2,2,5,37,3,1,0,6,0,0,0,46,20,26,45,1,0,630,4,688,634,46,0,7,5,2068684690.43686,276060.430857214
17,17,2,003,BAKER,Baker,FL,315,10,6,35,50,36,61,44,28,28,17,0,0 to 99,48,196,101,18,311,4,0,17,281,16,52,256,3,19,296,0,0,311,5,14,0,0,12,7,0,19,0,0,1,1,1,0,4,4,5,3,0,24 to 97,71,17,1,1,0,0,19,0,5,0,8,0,0,3,19,7,12,19,0,0,292,4,315,296,19,3,2,1,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,Holmes,FL,401,6,6,20,41,41,67,77,88,41,14,0,0 to 100,57,225,150,26,399,2,0,0,395,5,10,384,1,9,385,0,7,392,3,6,0,0,4,5,0,9,0,0,0,2,3,2,1,1,0,0,0,27 to 73,44,6,1,1,1,0,8,1,2,0,0,0,0,0,9,5,4,9,0,0,383,2,401,385,9,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,Martin,FL,1511,22,15,82,155,188,237,324,257,163,64,4,0 to 99,56,846,635,30,1501,10,0,75,1352,82,122,1297,57,166,1340,0,5,1497,150,7,9,0,69,88,0,157,1,1,10,15,19,26,39,21,28,6,0,3 to 92,58,105,6,17,29,29,101,27,58,2,39,1,0,5,166,95,71,157,9,0,1340,0,1511,1340,166,5,61,51,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,16467,409,396,1490,2950,2859,2745,2597,1766,846,374,35,0 to 119,45,9681,6706,80,16290,177,0,411,15586,458,588,15278,265,1008,15410,36,13,16242,898,66,42,2,490,474,0,964,10,23,118,167,177,183,160,96,50,24,0,0 to 100,45,479,153,202,130,285,519,160,268,9,153,5,2,21,1008,494,514,964,44,0,15278,132,16467,15410,1008,21,658,312,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,Manatee,FL,2825,57,59,174,349,394,472,507,391,288,132,2,0 to 100,53,1712,1067,46,2806,19,0,228,2401,177,409,2369,32,473,2349,2,1,2803,417,54,2,0,279,192,0,471,1,8,21,40,56,84,60,81,88,34,0,2 to 98,59,293,75,35,68,51,315,105,81,1,117,1,1,39,473,194,279,471,2,0,2332,17,2825,2349,473,39,183,92,1945653927.12581,371198.171414394
22,22,10,019,CLAY,Clay,FL,3206,43,69,248,431,555,601,527,394,230,99,9,0 to 99,49,1839,1245,122,3201,5,0,71,2994,130,282,2849,42,264,2940,1,1,3199,233,29,2,0,155,107,0,262,0,0,15,21,34,43,48,51,34,18,0,17 to 95,59,144,47,16,55,20,185,57,71,0,54,0,0,12,264,108,156,262,2,0,2937,3,3206,2940,264,12,133,112,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,Hardee,FL,100,2,1,11,18,11,16,15,20,4,2,0,0 to 89,49,53,45,2,96,4,0,3,94,2,4,93,3,5,95,0,0,96,3,0,2,0,2,1,0,3,0,0,0,0,1,1,0,3,0,0,0,39 to 73,70,2,1,0,0,0,3,0,0,2,0,2,0,0,5,2,3,3,2,0,93,2,100,95,5,0,3,3,1653184151.65315,165534.73009074
24,24,42,083,MARION,Marion,FL,3432,54,52,244,408,470,546,618,589,324,125,2,0 to 119,54,2073,1322,37,3424,8,0,496,2753,177,308,2946,84,145,3008,2,277,3146,122,20,3,0,80,62,0,142,1,1,7,20,27,29,34,17,5,4,0,2 to 96,51,106,20,10,6,24,111,7,28,2,20,0,0,3,145,63,82,142,3,0,3004,4,3432,3008,145,3,202,112,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,Volusia,FL,6289,68,103,338,691,728,1001,1316,1183,579,273,9,0 to 102,56,3461,2654,174,6257,32,0,123,5877,230,378,5717,122,420,5865,2,2,6253,315,95,9,1,170,240,0,410,1,4,23,53,59,80,67,76,28,29,0,1 to 102,53,233,47,66,64,44,256,110,95,5,67,4,0,14,420,244,176,410,10,0,5843,22,6289,5865,420,14,416,179,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,Dixie,FL,175,5,4,16,16,30,26,27,34,13,3,1,0 to 90,51,99,75,1,175,0,0,7,161,6,13,158,0,4,170,0,1,174,3,1,0,0,3,1,0,4,0,0,1,0,1,1,0,1,0,0,0,24 to 66,46,1,2,0,1,0,3,1,4,0,2,0,0,0,4,1,3,4,0,0,170,0,175,170,4,0,24,17,1823798262.39212,235232.973119088
27,27,35,069,LAKE,Lake,FL,4187,106,95,277,539,548,666,688,619,487,156,6,0 to 101,52,2325,1818,44,4125,62,0,84,3873,222,218,3830,77,217,3958,1,11,4113,189,16,12,0,104,101,0,205,1,7,12,21,33,39,34,37,31,2,0,1 to 86,52,97,20,68,20,60,120,25,91,10,53,4,1,9,217,108,109,205,12,0,3908,50,4187,3958,217,9,277,100,2995995460.71371,331014.242454318
28,28,38,075,LEVY,Levy,FL,442,11,14,44,64,60,67,79,55,32,15,1,0 to 118,49,278,159,5,442,0,0,13,413,16,33,399,2,13,426,0,3,439,11,2,0,0,9,4,0,13,0,0,1,1,4,2,3,0,1,1,0,16 to 93,48,7,3,1,2,2,9,2,5,0,2,0,0,0,13,4,9,13,0,0,426,0,442,426,13,0,38,23,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,Sumter,FL,1668,16,14,43,81,71,140,231,663,370,38,1,0 to 96,69,865,735,68,1666,2,0,93,1409,164,173,1432,52,166,1475,1,26,1639,125,41,0,0,60,106,0,166,0,0,4,4,14,24,28,56,31,5,0,17 to 92,66,148,12,2,4,9,153,4,50,0,39,0,0,12,166,106,60,166,0,0,1473,2,1668,1475,166,12,48,39,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,Seminole,FL,4489,90,98,375,779,828,816,686,520,176,119,2,0 to 104,45,2608,1850,31,4479,10,0,179,4061,246,314,4061,88,340,4140,3,6,4470,299,35,6,0,174,160,0,334,3,4,30,61,49,66,45,52,18,12,0,1 to 100,48,240,39,39,16,121,188,25,151,5,77,1,0,7,340,162,178,334,6,0,4136,4,4489,4140,340,7,384,153,893350621.597626,158549.770327082
31,31,48,095,ORANGE,Orange,FL,19181,505,554,1667,3349,3504,3475,3060,1862,847,349,9,0 to 120,45,10717,8389,75,18813,367,1,458,18097,585,815,17936,297,1274,17887,3,17,18794,1117,96,57,4,586,623,4,1213,18,17,130,212,236,269,200,106,61,24,1,0 to 101,45,553,161,333,166,383,441,389,425,35,216,30,2,29,1274,658,612,1212,61,1,17581,306,19181,17887,1274,29,577,380,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,Citrus,FL,1338,20,29,82,167,166,189,239,236,148,59,3,0 to 97,56,739,451,148,1334,4,0,39,1178,119,160,1150,24,94,1242,1,1,1332,44,50,0,0,47,47,0,94,1,4,5,8,6,13,24,15,12,6,0,3 to 93,60,64,1,5,24,9,62,23,26,0,25,0,0,9,94,47,47,94,0,0,1238,4,1338,1242,94,9,343,80,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,Hernando,FL,1339,20,20,98,197,197,224,244,188,111,39,1,0 to 97,50,783,548,8,1323,16,0,48,1225,66,111,1185,37,83,1256,0,0,1323,42,35,5,1,39,38,0,77,0,2,4,16,11,11,17,15,6,1,0,9 to 85,49,50,5,3,19,11,34,32,27,2,19,2,1,3,83,40,43,77,6,0,1246,10,1339,1256,83,3,41,24,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,Pinellas,FL,11564,160,162,755,1669,1633,1954,2133,1669,910,496,23,0 to 120,52,6896,4635,33,11412,152,0,711,10420,411,1055,9954,321,656,10785,9,114,11290,539,76,35,6,320,295,0,615,1,4,43,88,65,110,127,98,62,58,0,1 to 101,55,489,78,34,14,53,536,26,165,16,141,14,1,23,656,320,336,615,41,0,10675,110,11564,10785,656,23,309,219,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,Suwannee,FL,491,18,5,34,73,64,64,84,77,39,32,1,0 to 118,53,322,156,13,491,0,0,47,333,110,126,356,5,106,385,0,0,491,22,84,0,0,76,30,0,106,0,1,10,12,13,10,14,17,15,14,0,5 to 102,61,72,30,0,4,3,98,5,24,0,29,0,0,9,106,30,76,106,0,0,385,0,491,385,106,9,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,Duval,FL,19045,307,360,1800,3515,3182,3152,3154,2004,1003,536,32,0 to 118,46,10659,7682,704,18942,103,0,310,18266,454,272,18618,56,956,18007,11,71,18860,833,101,13,9,504,429,1,934,10,15,77,160,165,146,173,109,66,35,0,0 to 97,49,210,178,50,496,28,373,533,119,8,88,4,0,17,956,439,513,934,22,0,17926,81,19045,18007,956,17,621,553,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,Lafayette,FL,58,3,0,5,6,15,4,3,9,8,5,0,0 to 118,44,31,26,1,58,0,0,8,50,0,8,48,0,1,57,0,0,58,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,57,0,58,57,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,Gulf,FL,115,3,4,5,18,14,18,22,20,9,2,0,1 to 91,53,67,46,2,113,2,0,15,99,1,32,75,8,1,114,0,0,113,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,112,2,115,114,1,0,5,2,1469866107.27026,258929.917930346
39,39,63,125,UNION,Union,FL,182,4,4,18,26,43,30,21,23,8,5,0,1 to 118,43,103,73,6,182,0,0,13,165,4,16,160,4,3,177,0,2,180,2,1,0,0,2,1,0,3,0,0,0,1,0,0,2,0,0,0,0,25 to 60,55,2,0,0,1,0,2,1,0,0,0,0,0,0,3,1,2,3,0,0,177,0,182,177,3,0,8,7,646977045.561768,128178.538552252
40,40,4,007,BRADFORD,Bradford,FL,658,5,7,64,81,77,78,105,80,84,73,4,0 to 107,56,430,218,10,658,0,0,23,600,34,104,524,0,42,615,0,1,657,13,29,0,0,34,8,0,42,0,2,3,1,5,3,2,6,11,9,0,8 to 107,74,39,3,0,0,0,41,1,3,0,9,0,0,2,42,8,34,42,0,0,615,0,658,615,42,2,81,49,776744615.959412,167178.838252791
41,41,65,129,WAKULLA,Wakulla,FL,248,3,5,24,50,40,48,43,21,10,3,1,0 to 93,45,140,106,2,246,2,0,8,225,13,25,220,2,17,231,0,0,246,14,2,1,0,11,5,0,16,0,0,3,5,1,6,1,1,0,0,0,21 to 65,35,6,10,0,0,0,16,0,5,0,5,0,0,1,17,5,12,16,1,0,230,1,248,231,17,1,40,17,1579533632.64177,279225.038340218
42,42,5,009,BREVARD,Brevard,FL,6316,88,110,366,733,781,945,1399,1200,524,169,1,0 to 103,56,3683,2562,71,6307,9,0,89,6116,107,230,5999,54,235,6076,3,2,6302,195,32,6,2,113,114,0,227,2,5,18,30,31,37,52,31,21,8,0,1 to 94,53,158,43,12,14,37,175,15,72,2,44,2,0,8,235,116,119,227,8,0,6075,1,6316,6076,235,8,206,154,2687643838.87906,793218.333609179
43,43,53,105,POLK,Polk,FL,5728,137,126,433,826,863,939,935,790,471,205,3,0 to 102,49,3279,2302,147,5705,23,0,222,5267,231,374,5115,112,379,5340,2,7,5696,290,83,5,1,211,161,1,373,1,5,14,54,52,65,63,50,46,29,0,3 to 102,54,230,71,45,27,109,219,45,169,3,117,1,0,17,379,163,215,373,6,0,5323,17,5728,5340,379,17,352,175,5206715917.89822,388118.956177661
44,44,49,097,OSCEOLA,Osceola,FL,4032,56,119,326,711,748,742,633,411,210,70,6,0 to 102,45,2294,1723,15,4004,28,0,308,3318,390,484,3364,160,449,3520,1,62,3943,406,28,13,2,218,216,0,434,2,7,33,59,70,94,87,65,28,4,0,0 to 102,50,218,33,174,9,252,135,47,191,5,122,6,1,7,449,227,222,434,15,0,3509,11,4032,3520,449,7,340,71,3899316052.50861,350452.549474464
45,45,28,055,HIGHLANDS,Highlands,FL,656,14,6,39,93,91,99,106,101,78,27,2,0 to 95,53,383,251,22,644,12,0,28,580,47,56,571,15,74,581,1,0,643,60,13,1,0,34,39,0,73,1,1,5,10,6,10,15,13,12,1,0,0 to 85,59,36,20,16,1,24,42,7,35,1,27,1,0,7,74,40,34,73,1,0,570,11,656,581,74,7,74,27,2866885704.30579,296636.719911829
46,46,36,071,LEE,Lee,FL,7657,103,100,501,1077,1169,1350,1370,1094,649,240,4,0 to 119,51,4515,3035,107,7582,74,1,251,6768,613,632,6148,131,887,6719,2,49,7533,767,85,31,4,432,413,7,852,7,8,54,106,131,146,155,140,94,46,0,1 to 100,54,420,83,27,322,138,389,325,229,12,182,10,1,32,887,434,446,851,35,1,6681,38,7657,6719,887,32,1287,408,2112333669.17714,583283.842331616
47,47,11,021,COLLIER,Collier,FL,4740,66,73,291,586,654,720,793,776,567,211,3,0 to 103,54,2717,2005,18,4573,167,0,189,4175,356,498,3849,136,507,4217,1,15,4557,312,131,48,16,224,219,0,443,6,7,28,65,56,73,104,73,71,24,0,0 to 101,56,307,20,37,79,144,218,81,113,16,70,7,2,14,507,255,252,443,64,0,4114,103,4740,4217,507,14,718,400,5197102107.68439,580181.883282756
48,48,13,025,MIAMI-DADE,Dade,FL,68134,612,847,4593,11135,11432,13192,11726,7820,4120,2172,485,0 to 119,48,35369,31763,1002,67816,317,1,1481,63648,2785,4126,61609,657,10588,57120,160,266,67394,10022,436,124,6,5037,5402,19,10458,39,85,762,1781,1709,2096,1789,1212,700,393,22,0 to 105,49,4641,1334,437,4046,4368,1868,4222,2315,22,1172,11,1,270,10588,5489,5078,10457,130,1,56936,184,68134,57120,10588,270,2089,1383,5114451079.58835,540836.793924443
49,49,44,087,MONROE,Monroe,FL,1068,12,14,58,124,158,197,238,172,73,21,1,0 to 97,53,577,486,5,1034,34,0,249,733,83,128,847,64,74,965,0,29,1006,52,14,4,4,32,34,0,66,0,3,6,11,10,14,13,11,6,0,0,6 to 80,50,54,5,0,7,17,42,7,13,3,9,2,0,3,74,38,36,66,8,0,940,25,1068,965,74,3,198,87,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,Santa Rosa,FL,2241,112,108,210,360,375,348,310,228,110,74,6,0 to 102,43,1323,905,13,2237,4,0,54,2087,99,119,2057,44,141,2098,1,1,2235,104,36,1,0,42,98,0,140,3,0,14,20,25,27,20,18,7,7,0,0 to 94,48,102,19,1,18,5,118,17,21,0,20,0,0,6,141,98,43,140,1,0,2095,3,2241,2098,141,6,487,70,2596863920.94926,364280.718031263
51,51,66,131,WALTON,Walton,FL,508,22,11,40,51,84,95,83,71,29,21,1,0 to 97,49,271,219,18,495,13,0,19,473,15,56,409,29,34,473,1,0,494,21,5,6,2,18,8,0,26,0,0,3,5,5,7,5,3,5,1,0,20 to 90,50,23,3,0,0,1,24,1,7,2,6,2,0,0,34,12,22,26,8,0,468,5,508,473,34,0,37,17,2708101782.46999,370154.781284707
52,52,32,063,JACKSON,Jackson,FL,333,8,7,27,50,46,64,57,38,29,7,0,0 to 96,49,190,135,8,325,8,0,18,294,19,27,289,16,13,320,0,0,325,7,5,0,1,9,3,0,12,0,2,1,4,3,1,2,0,0,0,0,11 to 60,34,4,8,0,0,1,11,0,3,0,0,0,0,0,13,4,9,12,1,0,313,7,333,320,13,0,34,13,2452499072.79567,223828.324060307
53,53,67,133,WASHINGTON,Washington,FL,256,1,1,8,23,38,50,58,45,23,9,0,3 to 103,56,150,89,17,255,1,0,28,216,9,34,211,8,10,243,0,3,252,5,5,0,0,5,5,0,10,0,0,0,3,0,3,4,0,0,0,0,25 to 62,54,10,0,0,0,0,10,0,0,0,1,0,0,0,10,5,5,10,0,0,242,1,256,243,10,0,38,19,1594396648.51196,243766.072259733
54,54,45,089,NASSAU,Nassau,FL,1208,15,16,101,161,178,189,205,154,119,70,0,0 to 103,51,626,403,179,1164,44,0,26,1152,28,36,1128,22,48,1160,0,0,1164,36,10,0,2,28,18,0,46,0,0,5,6,7,6,7,11,5,1,0,20 to 89,53,30,6,1,9,0,36,10,16,0,10,0,0,0,48,19,29,46,2,0,1118,42,1208,1160,48,0,23,20,1641620662.32831,388721.737801268
55,55,22,043,GLADES,Glades,FL,45,1,1,3,9,6,6,8,4,4,3,0,1 to 90,50,22,23,0,45,0,0,2,40,3,5,40,0,5,40,0,0,45,3,2,0,0,2,3,0,5,0,0,0,1,0,0,1,1,1,1,0,30 to 89,67,2,3,0,0,0,4,1,3,0,3,0,0,1,5,3,2,5,0,0,40,0,45,40,5,1,17,6,2551976411.00452,236757.936928168
56,56,8,015,CHARLOTTE,Charlotte,FL,1527,15,14,81,150,169,211,283,277,198,127,2,0 to 99,59,893,608,26,1511,16,0,68,1396,62,113,1339,12,178,1341,2,6,1504,103,74,0,1,107,70,0,177,0,0,5,14,7,18,29,36,31,38,0,15 to 99,70,126,18,4,29,4,131,42,26,0,29,0,0,12,178,71,107,177,1,0,1327,14,1527,1341,178,12,78,60,1825525431.11919,398247.923422686
57,57,58,115,SARASOTA,Sarasota,FL,3784,43,61,210,386,442,533,657,650,483,316,3,0 to 115,58,2175,1540,69,3674,110,0,353,3236,190,556,3075,81,310,3472,1,1,3672,252,42,10,6,166,128,0,294,2,1,11,28,27,41,46,66,52,36,0,0 to 102,64,237,15,25,17,36,226,32,126,11,102,8,0,32,310,138,172,294,16,0,3378,94,3784,3472,310,32,222,117,1509311882.53409,264158.506465067
58,58,14,027,DESOTO,Desoto,FL,453,12,5,19,66,63,72,77,68,48,23,0,0 to 93,53,231,187,35,451,2,0,8,386,48,97,360,3,24,425,0,4,447,18,6,0,0,9,15,0,24,0,0,0,5,1,3,7,3,3,2,0,27 to 92,60,19,1,0,4,5,12,7,9,0,8,0,0,4,24,15,9,24,0,0,423,2,453,425,24,4,3,0,1654926851.96404,168390.780925558
59,59,18,035,FLAGLER,Flagler,FL,1122,13,10,59,128,162,161,218,221,117,32,1,0 to 98,56,625,458,39,1114,8,0,29,1051,37,80,973,33,106,1015,1,0,1113,85,17,4,0,56,46,0,102,0,0,4,11,13,15,29,23,11,0,0,17 to 81,58,74,9,11,8,14,79,9,14,2,8,2,0,2,106,47,59,102,4,0,1011,4,1122,1015,106,2,57,27,1294754947.55994,220559.838719988
