Report Date,FIPS,Locality,Health District,Total Cases
4/11/2020,51003,Albemarle,Thomas Jefferson,46
4/11/2020,51009,Amherst,Central Virginia,10
4/11/2020,51011,Appomattox,Central Virginia,7
4/11/2020,51013,Arlington,Arlington,349
4/11/2020,51015,Augusta,Central Shenandoah,17
4/11/2020,51019,Bedford,Central Virginia,15
4/11/2020,51021,Bland,Mount Rogers,0
4/11/2020,51025,Brunswick,Southside,3
4/11/2020,51027,Buchanan,Cumberland Plateau,2
4/11/2020,51029,Buckingham,Piedmont,14
4/11/2020,51031,Campbell,Central Virginia,9
4/11/2020,51033,Caroline,Rappahannock,6
4/11/2020,51035,Carroll,Mount Rogers,3
4/11/2020,51036,Charles City,Chickahominy,8
4/11/2020,51037,Charlotte,Piedmont,2
4/11/2020,51043,Clarke,Lord Fairfax,3
4/11/2020,51047,Culpeper,Rappahannock Rapidan,17
4/11/2020,51049,Cumberland,Piedmont,8
4/11/2020,51053,Dinwiddie,Crater,6
4/11/2020,51057,Essex,Three Rivers,0
4/11/2020,51077,Grayson,Mount Rogers,0
4/11/2020,51079,Greene,Thomas Jefferson,4
4/11/2020,51081,Greensville,Crater,8
4/11/2020,51083,Halifax,Southside,7
4/11/2020,51085,Hanover,Chickahominy,38
4/11/2020,51087,Henrico,Henrico,368
4/11/2020,51091,Highland,Central Shenandoah,0
4/11/2020,51093,Isle of Wight,Western Tidewater,28
4/11/2020,51097,King and Queen,Three Rivers,2
4/11/2020,51105,Lee,Lenowisco,6
4/11/2020,51109,Louisa,Thomas Jefferson,25
4/11/2020,51111,Lunenburg,Piedmont,3
4/11/2020,51113,Madison,Rappahannock Rapidan,6
4/11/2020,51115,Mathews,Three Rivers,2
4/11/2020,51119,Middlesex,Three Rivers,3
4/11/2020,51127,New Kent,Chickahominy,12
4/11/2020,51131,Northampton,Eastern Shore,4
4/11/2020,51133,Northumberland,Three Rivers,4
4/11/2020,51141,Patrick,West Piedmont,0
4/11/2020,51143,Pittsylvania,Pittsylvania-Danville,4
4/11/2020,51145,Powhatan,Chesterfield,5
4/11/2020,51149,Prince George,Crater,26
4/11/2020,51153,Prince William,Prince William,390
4/11/2020,51155,Pulaski,New River,4
4/11/2020,51163,Rockbridge,Central Shenandoah,3
4/11/2020,51165,Rockingham,Central Shenandoah,44
4/11/2020,51167,Russell,Cumberland Plateau,1
4/11/2020,51185,Tazewell,Cumberland Plateau,4
4/11/2020,51187,Warren,Lord Fairfax,15
4/11/2020,51193,Westmoreland,Three Rivers,8
4/11/2020,51197,Wythe,Mount Rogers,7
4/11/2020,51199,York,Peninsula,27
4/11/2020,51510,Alexandria,Alexandria,188
4/11/2020,51520,Bristol,Mount Rogers,1
4/11/2020,51550,Chesapeake,Chesapeake,115
4/11/2020,51590,Danville,Pittsylvania-Danville,20
4/11/2020,51600,Fairfax City,Fairfax,1
4/11/2020,51620,Franklin City,Western Tidewater,6
4/11/2020,51660,Harrisonburg,Central Shenandoah,79
4/11/2020,51680,Lynchburg,Central Virginia,31
4/11/2020,51685,Manassas Park,Prince William,10
4/11/2020,51690,Martinsville,West Piedmont,0
4/11/2020,51700,Newport News,Peninsula,75
4/11/2020,51710,Norfolk,Norfolk,90
4/11/2020,51775,Salem,Alleghany,1
4/11/2020,51820,Waynesboro,Central Shenandoah,5
4/11/2020,51830,Williamsburg,Peninsula,17
4/11/2020,51840,Winchester,Lord Fairfax,19
