OBJECTID_1,OBJECTID,COUNTYNAME,CTY_KEY,STATE_KEY,SHAPE__Area,SHAPE__Length,Total_Tested,Total_Positive,Total_Deaths
43,55,Vigo,18167,18,1784302611.78125,187921.784306448,0,9,2
44,56,Jefferson,18077,18,1548728577.44531,210172.874178476,0,5,0
45,57,Huntington,18069,18,1754767347.71094,171224.514572197,0,3,1
46,58,Harrison,18061,18,2035125569.87109,202791.603358577,0,23,1
47,59,Wabash,18169,18,1910544927.41406,182680.565058444,0,1,0
48,61,Delaware,18035,18,1760647932.98438,168366.295813798,0,30,1
49,63,Posey,18129,18,1760454828.21875,268626.996949292,0,5,0
50,64,Spencer,18147,18,1685030412.28125,197266.618651088,0,1,0
51,66,Ohio,18115,18,371172927.765625,92908.1127318825,0,1,0
52,70,Carroll,18015,18,1698369672.76953,175424.459774029,0,2,0
53,72,Warren,18171,18,1636582185.71484,187145.047000545,0,2,1
54,73,Franklin,18047,18,1698096673.79297,177273.734775509,0,48,6
55,74,Pulaski,18131,18,1976895476.25781,180016.000359187,0,0,0
56,75,Jay,18075,18,1718360784.39453,169093.826331483,0,2,0
57,76,Wells,18179,18,1670421867.22266,186766.154782372,0,2,0
58,77,Marshall,18099,18,2067653142.88672,181940.139197438,0,4,0
59,78,Sullivan,18153,18,1947688539.74609,188646.453386629,0,3,0
60,80,Brown,18013,18,1366944544.92969,150101.616760545,0,3,0
61,81,Ripley,18137,18,1929852184.32813,178720.625412215,0,47,1
62,82,Henry,18065,18,1742817024.16797,171943.433868553,0,7,0
63,83,Howard,18067,18,1319131602.4375,168836.597682906,0,25,2
64,84,Whitley,18183,18,1546751708.98047,169966.292640059,0,4,0
65,85,Dearborn,18029,18,1329448616.55469,157834.762348868,0,25,1
66,86,Blackford,18009,18,740817699.261719,109367.341920059,0,1,0
67,88,Scott,18143,18,821116475.46875,135956.250017248,0,6,1
68,89,Bartholomew,18005,18,1767385153.77734,175525.080571186,0,23,0
69,90,Jasper,18073,18,2558390854.42969,228751.540436892,0,13,1
70,1,Union,18161,18,722350371.113281,108370.967604711,0,0,0
71,2,Verm.,18165,18,1135647435.14063,196462.477401974,0,2,0
72,3,Benton,18007,18,1829229998.10156,172421.777651388,0,0,0
73,4,Clay,18021,18,1565006845.84766,192237.55188483,0,2,0
74,5,Lawrence,18093,18,1928084894.85156,175080.813877756,0,22,4
75,7,Clark,18019,18,1588412599.14063,197621.110834538,0,55,2
76,8,Miami,18103,18,1704186808.25391,194495.072217837,0,5,0
77,10,Fayette,18041,18,941858944.054688,134767.107909711,0,13,3
78,14,Newton,18111,18,1834753645.25781,195301.912546447,0,1,0
79,15,Perry,18123,18,1607847794.8125,204092.32304509,0,0,0
80,16,Putnam,18133,18,2114347624.73828,193497.139168783,0,13,1
81,19,Starke,18149,18,1437402953.75,165458.494585982,0,2,0
82,20,Greene,18055,18,2343017859.70313,199798.525467335,0,9,0
83,21,Pike,18125,18,1455282706.27734,180913.889888411,0,0,0
84,22,Warrick,18173,18,1636695780.66016,185826.038123344,0,10,0
85,23,Daviess,18027,18,1878247368.21484,192655.756142242,0,0,0
86,24,Dubois,18037,18,1825931759.79688,183146.673870468,0,3,0
87,25,Clinton,18023,18,1806432499.48047,174382.066134156,0,3,0
88,27,White,18181,18,2287558667.39844,215880.692420363,0,3,0
89,28,Switzerland,18155,18,953985822.511719,149806.895335638,0,6,0
90,29,Steuben,18151,18,1500653405.49219,155800.113794957,0,2,0
91,30,Gibson,18051,18,2076288553.95703,236994.158936474,0,4,0
92,31,Jennings,18079,18,1623646719.71484,182727.091201251,0,31,0
