OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender
38,Saline,SALINE,23756,1984799150.30383,217275.868530419,2,,,2,,,,,,,,,,,,b19785f1-4eee-4776-b3e3-f1eff53017f7,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:55:11.982Z,mophep,,,,,,,,,,
39,Howard,HOWARD,10212,1219894205.92822,146479.290357848,0,,,,,,,,,,,,,,,12096404-81e7-445c-b4e7-5cb99d8d22b4,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
40,Boone,BOONE,135454,1788327992.47876,222918.326778305,74,1,3,71,,,,,,,,,,,,adeb096a-35c4-4bfc-b331-f6e47ec78fc8,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:46:19.028Z,mophep,,,,,,,,,,
41,Lincoln,LINCOLN,38944,1659094184.03247,199880.171936547,16,,2,14,,,,,,,,,,,,ddbb19b5-cf11-417e-acfd-e9efb74d2c18,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:51:40.956Z,mophep,,,,,,,,,,
42,Lafayette,LAFAYETTE,32960,1652845518.59363,208571.11918066,20,1,0,20,,,,,,,,,,,,0115479a-2e19-4c39-8175-bceddbcb8a1d,2020-03-24T20:48:38.049Z,mophep,2020-04-01T18:56:32.503Z,mophep,,,,,,,,,,
43,Jackson,JACKSON,654880,1189079859.32495,267259.884544117,120,1,8,112,,,,,,,,,,,,2e53b945-a2a0-47ce-a8d8-9151e6fef8a6,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:50:08.820Z,mophep,,,,,,,,,,
44,Montgomery,MONTGOMERY,12136,1399964516.9375,165877.150034198,3,,,3,,,,,,,,,,,,6c2d1c20-838d-4a6e-bc3c-7f64c870641e,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:53:30.888Z,mophep,,,,,,,,,,
45,Callaway,CALLAWAY,40766,2193239140.14453,222331.986866286,18,,1,17,,,,,,,,,,,,445f5910-45ed-462b-b115-e61e0cc0fc5e,2020-03-24T20:48:38.049Z,mophep,2020-04-02T18:46:05.568Z,mophep,,,,,,,,,,
46,Warren,WARREN,24525,1133370402.96948,170081.832000215,7,,,7,,,,,,,,,,,,62b6cd71-126c-4fc2-b8cb-cd752283c805,2020-03-24T20:48:38.049Z,mophep,2020-04-02T18:54:28.467Z,mophep,,,,,,,,,,
47,Cooper,COOPER,16670,1472666259.05444,159185.565918979,2,,,2,,,,,,,,,,,,455421ce-8a47-4a51-939a-baf9693d4e13,2020-03-24T20:48:38.049Z,mophep,2020-03-31T18:42:30.811Z,mophep,,,,,,,,,,
48,St Charles,ST CHARLES,283883,1536953085.80835,260793.10259526,132,3,14,118,,,,,,,,,,,,aaedc19b-3e60-4dac-be48-9579ad30c381,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:55:49.067Z,mophep,,,,,,,,,,
49,Johnson,JOHNSON,48258,2157075526.15857,191728.948832867,28,,1,27,,,,,,,,,,,,54777609-14e7-486a-83c2-16968390459c,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:50:38.819Z,mophep,,,,,,,,,,
50,Pettis,PETTIS,39403,1776168033.50159,173417.652915702,2,,,2,,,,,,,,,,,,2fb9ea18-52db-4237-9fc1-6aaf3a929437,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:54:00.873Z,mophep,,,,,,,,,,
51,St Louis,ST LOUIS,1016315,1355116507.83667,221811.187015462,794,3,39,755,,,,,,,,,,,,230c1af1-6382-4660-ac3b-012922eb11f4,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:56:27.489Z,mophep,,,,,,,,,,
52,Cass,CASS,82092,1815632661.64941,205920.227894331,21,1,3,18,,,,,,,,,,,,c176d2ab-9157-4f7e-a050-de1a5ee8752e,2020-03-24T20:48:38.049Z,mophep,2020-04-02T18:46:29.512Z,mophep,,,,,,,,,,
53,Moniteau,MONITEAU,14827,1083788576.41748,159159.023759893,2,,,2,,,,,,,,,,,,6cb3184f-5fc8-47bf-b1b2-3d18602cea46,2020-03-24T20:48:38.049Z,mophep,2020-03-30T19:09:34.743Z,mophep,,,,,,,,,,
54,St Louis City,ST LOUIS CITY,348189,171027518.520508,66609.1065710149,275,1,13,262,,,,,,,,,,,,92d1d038-5948-4611-ad5b-77a6dacca014,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:56:41.417Z,mophep,,,,,,,,,,
55,Osage,OSAGE,13062,1585668324.7019,186584.2594344,2,,,2,,,,,,,,,,,,8cfaa4e5-1e55-4f0b-8839-6134ed9f7c84,2020-03-24T20:48:38.049Z,mophep,2020-04-01T18:57:44.642Z,mophep,,,,,,,,,,
56,Gasconade,GASCONADE,15342,1361669506.41504,174005.906547163,1,,,1,,,,,,,,,,,,864a67ba-7388-45d9-a632-451934916303,2020-03-24T20:48:38.049Z,mophep,2020-04-01T18:50:44.051Z,mophep,,,,,,,,,,
57,Morgan,MORGAN,19309,1588178706.90955,190776.557623454,1,,,1,,,,,,,,,,,,320a2ac5-1095-4e26-a315-51ae733f7912,2020-03-24T20:48:38.049Z,mophep,2020-03-30T19:20:22.954Z,mophep,,,,,,,,,,
58,Cole,COLE,71397,1034375108.98291,170700.784420703,26,,0,26,,,,,,,,,,,,bb130394-a77a-4cbb-80d2-e09be0d65d60,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:48:36.138Z,mophep,,,,,,,,,,
59,Franklin,FRANKLIN,93807,2407053352.27393,228728.655726073,23,,0,23,,,,,,,,,,,,9fb6e978-5b53-424d-9653-3879e8d74042,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:49:24.611Z,mophep,,,,,,,,,,
60,Henry,HENRY,21997,1895385621.4303,179389.86324577,1,1,1,,,,,,,,,,,,,4a34509b-d350-4193-b6e1-f78cd0194a3a,2020-03-24T20:48:38.049Z,mophep,2020-03-29T20:39:30.150Z,mophep,,,,,,,,,,
61,Benton,BENTON,17180,1947407347.90955,186084.270609353,3,,,3,,,,,,,,,,,,011476a7-16a2-447f-a010-d605f861522e,2020-03-24T20:48:38.049Z,mophep,2020-04-01T18:43:57.141Z,mophep,,,,,,,,,,
62,Jefferson,JEFFERSON,198099,1720703889.03833,205434.053097761,62,,8,54,0,,,,,,,,,,,b03b363c-41da-4c84-b178-352a9b354a8e,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:50:26.513Z,mophep,,,,,,,,,,
63,Bates,BATES,16653,2203448249.44971,232691.089374104,3,,,3,,,,,,,,,,,,d59cd98d-62ce-4828-a679-de48029df5f7,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:46:07.360Z,mophep,,,,,,,,,,
64,Miller,MILLER,23564,1553478696.93018,180693.798004324,0,,,,,,,,,,,,,,,140d3eed-2663-4f46-b76c-705d9ad1966d,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
65,Maries,MARIES,8903,1372262332.39722,161650.052568911,2,,,2,,,,,,,,,,,,2f3ff80f-01e6-46df-b686-19ad448c3e3e,2020-03-24T20:48:38.049Z,mophep,2020-04-01T18:57:13.303Z,mophep,,,,,,,,,,
66,Washington,WASHINGTON,23344,1975787929.30688,182679.997188363,0,,,,,,,,,,,,,,,e9c806c1-0e55-45b2-87a0-9608c20aa205,2020-03-24T20:48:38.049Z,mophep,2020-03-24T20:48:38.049Z,mophep,,,,,,,,,,
67,Crawford,CRAWFORD,22804,1925121882.86353,190922.740074078,1,,,1,,,,,,,,,,,,22d05345-7c6c-4ed7-abea-a5803bc0fc8f,2020-03-24T20:48:38.049Z,mophep,2020-03-30T19:18:33.634Z,mophep,,,,,,,,,,
68,Camden,CAMDEN,37051,1833153718.02893,237892.573512278,21,1,3,18,,,,,,,,,,,,2bffada7-e2e1-42b1-87f9-5a2d1fb6855c,2020-03-24T20:48:38.049Z,mophep,2020-04-03T18:46:45.084Z,mophep,,,,,,,,,,
