"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?",""
"Sierra","4/3/2020 17:43:13","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","7","0","7","0","","","","","","","","","","","","","","","","","","",""
"Siskiyou","4/3/2020 17:43:43","3","0","https://www.co.siskiyou.ca.us/publichealth","","104","10","91","3","","","","","","","","","","","","","","","","","","",""
"Solano","4/3/2020 14:06:59","61","1","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","","","","","","","","","","","","22","cumulative","","","","","","","BANG","","",""
"Sonoma","4/3/2020 14:07:25","95","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","1915","","","","","","","","","","15","18","","","","","","","","BANG","","",""
"Stanislaus","4/3/2020 17:44:05","58","0","http://schsa.org/publichealth/pages/corona-virus/","","","","1476","","","","","","","","","","","","","","","","","","","",""
"Sutter","4/3/2020 17:44:20","16","1","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Hospitalizations are reported together so I'm listing them in sutter county.","","","","","","","","","","","","3","","","","","","","","","","",""
"Tehama","4/3/2020 20:28:25","1","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","93","1","","","","","","","","","","","","","","","","","","",""
"Trinity","4/1/2020 17:26:53","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","","","","",""
"Tulare","4/3/2020 17:45:13","81","3","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","","","","","","4","","","","","","","","","","","",""
"Tuolumne","4/3/2020 17:46:28","1","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","245","6","238","1","","","","","","","","","","","","","1","","","","","",""
"Ventura","4/3/2020 17:47:19","189","6","https://www.vcemergency.com/","","3537","","","","","","","","","","50","42","ever","","","","","","","","","x",""
"Yolo","4/3/2020 17:48:10","37","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","441","","","","","","","","","","","17","ever","","","","","","","","","",""
"Yuba","4/3/2020 17:49:30","9","0","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","2","","","","","","","","","","","","","",""
