ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
42,42,5,009,BREVARD,Brevard,FL,19640,261,349,1115,1879,2125,2729,4423,3951,2102,557,149,0 to 119,58,11157,8378,105,19622,18,0,197,18990,107,716,87,817,18821,0,2,19620,744,61,10,2,414,388,3,805,14,25,130,126,136,113,130,74,40,29,0,0 to 99,43,546,77,66,116,211,470,124,182,3,92,3,0,16,817,392,422,805,12,0,33071,6,33896,33077,817,16,722,664,53,7.43388258345288,0.247147786992
43,43,53,105,POLK,Polk,FL,19128,449,507,1411,2387,2471,2745,3109,2994,1915,800,340,0 to 119,52,11074,7871,183,19035,93,0,396,17296,231,1583,141,1970,17145,1,12,19022,1777,179,13,1,1117,839,0,1956,26,62,232,291,320,279,260,205,174,119,2,0 to 103,46,1159,332,214,251,587,1068,301,578,9,405,5,0,78,1970,844,1126,1956,14,0,34020,79,36078,34099,1970,78,1279,709,56,3.74731907845249,0.477444147523754
44,44,49,097,OSCEOLA,Osceola,FL,13532,173,351,943,1852,1936,2236,2334,1788,885,322,712,0 to 155,50,7574,5886,72,13455,77,0,492,12148,390,976,211,1007,12478,2,45,13409,922,36,47,2,477,480,1,958,13,22,106,202,151,179,149,105,62,17,1,0 to 102,45,463,90,377,28,581,312,65,277,8,165,7,2,23,1007,516,490,958,49,0,19339,27,20389,19366,1007,23,798,286,50,3.37526858197538,0.357928282021791
45,45,28,055,HIGHLANDS,Highlands,FL,3782,56,58,178,387,340,440,604,717,624,358,20,0 to 119,62,2296,1449,37,3717,65,0,58,3538,47,202,23,215,3562,0,5,3712,180,33,2,0,111,102,0,213,4,9,19,28,30,33,43,26,19,4,0,0 to 91,51,137,40,28,8,86,113,14,54,1,47,1,0,9,215,104,111,213,2,0,6200,63,6481,6263,215,9,267,152,56,2.84124660964211,0.261466143584495
46,46,36,071,LEE,Lee,FL,27020,316,410,1891,3135,3318,3804,4601,4818,3214,1452,61,0 to 119,56,15555,11233,232,26063,956,1,583,24020,613,2562,172,3556,23442,1,21,26042,3307,166,78,5,1832,1634,7,3473,48,86,431,581,544,554,475,353,258,226,0,0 to 101,46,2063,494,100,816,1117,1515,841,821,15,527,13,4,143,3556,1680,1867,3472,83,1,41869,873,46309,42742,3556,143,2542,934,54,5.53875412350018,0.191375285005442
47,47,11,021,COLLIER,Collier,FL,16246,341,593,1398,1830,2005,2112,2445,2716,2088,692,26,0 to 105,54,8755,7419,72,15887,359,0,433,13487,356,2526,163,3097,13076,3,70,15814,2724,293,64,16,1466,1546,5,3017,84,176,467,489,544,440,386,241,185,85,0,0 to 101,41,1724,159,268,866,1592,719,706,430,20,289,11,6,64,3097,1593,1499,3017,80,0,24774,279,28159,25053,3097,64,2993,2003,57,5.51085434088275,0.469024646004233
48,48,13,025,DADE,Dade,FL,161814,1741,2538,12299,25688,25718,29456,27821,18943,10781,6216,613,0 to 225,49,84469,76178,1167,160372,1441,1,3967,145853,2785,16686,995,25080,136486,101,147,160126,23790,817,464,9,12227,12361,19,24607,221,431,2274,4326,4015,4541,3862,2536,1614,1248,12,0 to 108,47,13169,3824,1192,6422,13183,5057,6367,6037,48,3684,31,15,874,25080,12612,12445,24606,473,1,228135,967,254390,229102,25080,874,4216,3475,49,5.08399988470576,0.459639407492568
49,49,44,087,MONROE,Monroe,FL,3601,29,56,221,435,484,615,780,579,292,108,2,0 to 101,54,1904,1688,9,3526,75,0,1228,1986,83,795,120,158,3332,0,111,3422,126,20,8,4,68,78,0,146,2,6,9,18,19,25,25,25,17,12,0,3 to 100,54,109,6,1,30,37,74,35,22,3,14,2,0,4,158,85,73,146,12,0,4353,55,4566,4408,158,4,524,246,49,13.2628040836788,0.235931608548315
50,50,57,113,SANTA ROSA,Santa Rosa,FL,7019,228,264,571,922,981,1051,1163,1048,543,238,10,0 to 119,50,3849,3143,27,6952,67,0,96,6634,99,288,70,342,6674,1,2,6949,297,40,5,0,124,213,0,337,4,3,62,57,58,60,43,34,12,9,0,0 to 98,41,250,44,7,36,21,259,57,28,0,26,0,0,9,342,214,128,337,5,0,10812,62,11218,10874,342,9,801,257,49,3.552029247735,0.244558859494853
51,51,66,131,WALTON,Walton,FL,1666,52,40,105,174,214,247,292,249,158,132,3,0 to 101,54,926,703,37,1603,63,0,30,1509,15,192,43,174,1492,0,0,1603,128,23,20,3,85,66,0,151,5,9,16,20,30,22,32,21,13,6,0,0 to 101,48,137,10,1,3,40,105,6,27,5,21,2,0,9,174,75,99,151,23,0,2652,40,2870,2692,174,9,137,82,49,3.60138877830291,0.254870622087333
52,52,32,063,JACKSON,Jackson,FL,3032,25,34,244,515,523,528,478,308,231,140,6,0 to 105,48,1363,1575,94,3009,23,0,18,2618,19,311,26,330,2698,1,3,3005,283,38,8,1,73,248,0,321,2,7,30,77,79,62,52,14,6,1,0,0 to 87,40,133,134,19,35,29,186,106,40,2,25,0,0,2,330,252,78,321,9,0,4313,14,4665,4327,330,2,410,210,36,2.21646510608254,0.231093280808265
53,53,67,133,WASHINGTON,Washington,FL,905,12,16,54,95,110,142,195,127,99,55,0,0 to 119,56,537,346,22,899,6,0,30,747,9,129,14,96,808,0,1,898,74,20,2,0,49,45,0,94,0,2,4,10,9,10,22,16,16,7,0,9 to 99,59,68,18,1,7,1,85,8,8,0,19,0,0,11,96,45,51,94,2,0,1541,4,1642,1545,96,11,132,75,54,2.37953061790718,0.14998158443965
54,54,45,089,NASSAU,Nassau,FL,3264,46,52,227,331,376,449,627,599,382,171,4,0 to 103,57,1758,1311,195,3155,109,0,45,3141,28,77,33,111,3152,0,1,3154,83,20,6,2,51,52,0,103,2,1,14,20,22,13,14,15,7,3,0,1 to 89,43,78,16,2,7,1,92,10,30,1,16,0,0,1,111,55,56,103,8,0,5382,101,5595,5483,111,1,92,86,49,3.75942130773243,0.154419685909309
55,55,22,043,GLADES,Glades,FL,274,2,10,30,53,55,33,31,30,23,6,1,1 to 90,42,119,153,2,274,0,0,24,188,3,122,0,121,153,0,0,274,119,2,0,0,26,95,0,121,1,3,15,34,32,17,12,5,1,1,0,3 to 89,38,96,18,3,4,76,41,4,18,0,13,0,0,1,121,95,26,121,0,0,422,0,543,422,121,1,132,73,61,2.27684336624256,0.231957009552348
56,56,8,015,CHARLOTTE,Charlotte,FL,5515,61,52,250,460,529,756,1061,1054,738,548,6,0 to 119,61,3258,2190,67,5496,19,0,157,4964,62,572,23,581,4929,1,4,5491,433,145,2,1,355,222,1,578,5,8,23,60,37,66,108,86,85,103,0,0 to 101,63,473,54,15,36,37,494,47,104,1,135,1,0,75,581,224,356,578,3,0,9502,16,10102,9518,581,75,91,72,68,3.83218059315228,0.165856243943894
57,57,58,115,SARASOTA,Sarasota,FL,13312,154,175,691,1198,1225,1650,2453,2783,1992,950,41,0 to 119,61,7512,5628,172,13072,240,0,479,12368,190,1076,99,926,12379,2,5,13065,843,59,18,6,500,401,1,902,6,11,74,130,108,107,126,129,135,100,0,0 to 104,57,685,61,73,83,111,663,128,213,13,180,10,1,94,926,416,509,902,24,0,28698,216,29845,28914,926,94,405,299,64,2.51442395330883,0.137455100826111
