ï»¿OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
63,Bates,BATES,16320,2203448249.44971,232691.089374104,12,1,,3,,,,,,,,,,,,d59cd98d-62ce-4828-a679-de48029df5f7,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:24.990+00,mophep,,,,,,,,,,,
64,Miller,MILLER,25336,1553478696.93018,180693.798004324,11,0,,,,,,,,,,,,,,140d3eed-2663-4f46-b76c-705d9ad1966d,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:25.175+00,mophep,,,,,,,,,,,
65,Maries,MARIES,8769,1372262332.39722,161650.052568911,4,0,,2,,,,,,,,,,,,2f3ff80f-01e6-46df-b686-19ad448c3e3e,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:25.331+00,mophep,,,,,,,,,,,
66,Washington,WASHINGTON,24943,1975787929.30688,182679.997188363,19,1,,,,,,,,,,,,,,e9c806c1-0e55-45b2-87a0-9608c20aa205,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:25.487+00,mophep,,,,,,,,,,,
67,Crawford,CRAWFORD,23957,1925121882.86353,190922.740074078,10,0,,3,,,,,,,,,,,,22d05345-7c6c-4ed7-abea-a5803bc0fc8f,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:25.753+00,mophep,,,,,,,,,,,
68,Camden,CAMDEN,45815,1833153718.02893,237892.573512278,57,1,3,21,,,,,,,,,,,,2bffada7-e2e1-42b1-87f9-5a2d1fb6855c,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:26.144+00,mophep,,,,,,,,,,,
69,St Clair,ST CLAIR,9395,1817213587.4408,184944.663164138,2,0,,,,,,,,,,,,,,be1fcb89-d93c-4993-9cc5-609ccec2b124,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:27.331+00,mophep,,,,,,,,,,,
70,Phelps,PHELPS,44732,1744735939.29565,210174.544916673,15,0,,,,,,,,,,,,,,49e4b4e4-c771-48a6-9d62-7e57d780498a,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:27.503+00,mophep,,,,,,,,,,,
71,Ste Genevieve,STE GENEVIEVE,17888,1314257865.56763,175964.971877657,17,1,1,5,,,,,,,,,,,,2a5d39ea-0fb2-4041-bbbc-f8f06a0a7220,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:27.676+00,mophep,,,,,,,,,,,
72,Hickory,HICKORY,9509,1065749032.03088,145331.885361096,0,0,,,,,,,,,,,,,,d1fc782a-2676-4a0b-aae2-3623687231f5,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:27.862+00,mophep,,,,,,,,,,,
73,Vernon,VERNON,20528,2166177477.45935,206910.650605937,15,0,,,,,,,,,,,,,,e1c52a85-5acc-4ec1-a645-15914c069bc9,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:28.003+00,mophep,,,,,,,,,,,
74,St Francois,ST FRANCOIS,66692,1176598010.31128,197768.83173244,100,2,4,15,,,,,,,,,,,,031d345e-1cda-4ab9-bfc9-51b4f8b8868a,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:28.159+00,mophep,,,,,,,,,,,
75,Pulaski,PULASKI,52014,1428844100.64917,154094.633550644,116,1,1,11,,,,,,,,,,,,475b813e-6a9b-45d9-9b76-05138be09cc3,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:28.315+00,mophep,,,,,,,,,,,
76,Perry,PERRY,19150,1254989465.23169,189577.287610022,112,0,15,13,,,,,,,,,,,,538d38e0-b8d0-4b79-b148-034eb7acfa67,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:28.565+00,mophep,,,,,,,,,,,
77,Cedar,CEDAR,14165,1290413994.52417,152229.611940965,9,0,0,7,,,,,,,,,,,,ad405200-ee1f-4ef4-bf26-3bad8764092f,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:28.726+00,mophep,,,,,,,,,,,
78,Dallas,DALLAS,16762,1406475578.55298,168394.443356016,12,1,,1,,,,,,,,,,,,6d7e611c-5903-4ee6-ac32-793b7236a71c,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:28.909+00,mophep,,,,,,,,,,,
79,Laclede,LACLEDE,35713,1987120166.11853,205549.772496555,23,0,,,,,,,,,,,,,,a669ae31-67a6-4e9a-8243-952a3aecd849,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:29.066+00,mophep,,,,,,,,,,,
80,Polk,POLK,32201,1662482833.50122,170239.749176206,11,0,,1,,,,,,,,,,,,0941adbc-bd5c-4e7d-b06e-55432da0b9ae,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:29.222+00,mophep,,,,,,,,,,,
81,Dent,DENT,15441,1953530644.56396,215694.106436872,3,0,,,,,,,,,,,,,,a6fc251a-2719-4c6b-9a24-8fdca7c87879,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:29.456+00,mophep,,,,,,,,,,,
82,Iron,IRON,10177,1430257400.20972,216366.970070118,2,0,,,,,,,,,,,,,,7dfffdbf-6ce6-4a5f-8b62-2b30b35b6dc1,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:29.629+00,mophep,,,,,,,,,,,
83,Madison,MADISON,12188,1290523546.72729,144351.851788262,3,0,,1,,,,,,,,,,,,b4fbb545-7a71-4256-b864-7c0f06b16d35,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:29.879+00,mophep,,,,,,,,,,,
84,Barton,BARTON,11798,1544860517.61267,159956.857822053,21,0,,,,,,,,,,,,,,f110957e-304e-49a0-9f0a-1436499f285c,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:30.190+00,mophep,,,,,,,,,,,
85,Bollinger,BOLLINGER,12169,1610177731.87622,188320.913691066,12,0,,2,,,,,,,,,,,,5c5399ed-4e9c-4d11-9aa7-952882183f11,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:30.363+00,mophep,,,,,,,,,,,
86,Cape Girardeau,CAPE GIRARDEAU,78753,1519863089.88257,200276.52952856,126,3,1,19,,,,,,,,,,,,68b3c067-851c-4534-98b3-83273e180e04,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:30.613+00,mophep,,,,,,,,,,,
87,Reynolds,REYNOLDS,6254,2108756704.43384,227933.444270898,2,0,1,1,,,,,,,,,,,,01b210d2-f111-4858-bb14-8180ec0b1c37,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:30.831+00,mophep,,,,,,,,,,,
88,Texas,TEXAS,25571,3052131034.76758,228460.028217731,4,0,,0,,,,,,,,,,,,a6bfd490-d2a9-4bb0-a75f-610a1d83e1d0,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:30.987+00,mophep,,,,,,,,,,,
89,Dade,DADE,7569,1310383515.95776,145787.896442858,1,0,,,,,,,,,,,,,,f6420339-df3e-4b8f-a557-6301481f3ff1,2020/03/24 20:48:38.049+00,mophep,2020/06/25 17:34:31.128+00,mophep,,,,,,,,,,,
