OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
11,11,33,065,JEFFERSON,2000-05-16T00:00:00.000Z,17033402669.7849,749466.142282919,33,Jefferson,FL,11,33,65,125,6,4,4,9,16,15,26,18,14,12,1,0 to 96,58,81,42,2,122,3,0,4,81,40,32,5,26,99,0,0,122,19,0,5,2,12,12,0,24,0,0,1,1,1,2,6,7,4,4,0,22 to 95,66,10,10,3,1,3,19,2,4,2,5,0,0,1,26,14,12,24,2,0,98,1,125,99,26,1,43,18,1581350101.5302,228391.565390175
12,12,40,079,MADISON,2000-05-16T00:00:00.000Z,19954266828.3091,719422.161444634,40,Madison,FL,12,40,79,208,27,15,16,18,29,25,18,31,17,12,0,0 to 95,44,109,93,6,205,3,0,14,161,29,85,4,25,164,0,19,186,8,0,16,1,11,13,0,24,2,0,3,2,2,3,5,4,2,2,0,0 to 89,57,6,14,1,3,1,20,3,7,0,3,0,0,1,25,13,12,24,1,0,162,2,208,164,25,1,58,21,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,2000-05-16T00:00:00.000Z,23545304208.6892,1014156.81652576,39,Liberty,FL,13,39,77,41,2,2,6,10,6,4,6,4,1,0,0,0 to 76,35,24,15,2,41,0,0,1,39,1,2,0,2,39,0,0,41,0,0,2,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,39,0,41,39,2,0,12,7,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,105,2,2,14,15,13,13,20,16,7,3,0,0 to 93,49,59,41,5,103,2,0,8,90,7,12,3,3,101,0,1,103,3,0,0,0,3,0,0,3,0,0,0,1,0,0,2,0,0,0,0,32 to 62,56,3,0,0,0,0,3,0,1,0,0,0,0,0,3,0,3,3,0,0,100,1,105,101,3,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,905,9,14,62,118,148,193,172,107,60,22,0,0 to 99,50,491,361,53,903,2,0,38,843,24,64,29,58,846,1,0,902,14,0,43,1,24,33,0,57,0,0,3,10,12,15,8,7,2,1,0,21 to 93,47,41,8,3,5,12,38,7,19,1,9,1,0,2,58,34,24,57,1,0,845,1,905,846,58,2,30,25,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,625,25,26,44,94,97,81,124,88,31,11,4,0 to 118,48,331,252,42,617,8,0,116,457,50,101,17,42,573,0,10,610,11,0,30,1,23,18,0,41,1,0,5,8,3,8,12,4,1,0,0,1 to 76,48,33,4,1,3,4,33,4,1,0,5,0,0,0,42,19,23,41,1,0,569,4,625,573,42,0,7,5,2068684690.43686,276060.430857214
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,294,8,6,34,46,34,58,41,25,26,16,0,0 to 99,48,185,93,16,290,4,0,15,263,16,50,3,17,277,0,0,290,14,0,3,0,10,7,0,17,0,0,1,1,0,0,3,4,5,3,0,24 to 97,72,15,1,1,0,0,17,0,4,0,7,0,0,3,17,7,10,17,0,0,273,4,294,277,17,3,1,0,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,372,5,6,20,37,35,65,70,84,37,13,0,0 to 100,57,209,139,24,370,2,0,0,367,3,7,1,8,359,0,5,365,5,0,3,0,3,5,0,8,0,0,0,2,2,2,1,1,0,0,0,27 to 73,44,5,0,0,3,0,5,3,2,0,0,0,0,0,8,5,3,8,0,0,357,2,372,359,8,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,1429,21,13,79,146,183,224,299,244,156,62,2,0 to 99,56,807,591,31,1420,9,0,72,1279,69,115,55,156,1265,1,7,1413,7,0,141,8,64,83,1,148,0,0,10,13,19,23,37,21,27,6,0,19 to 92,58,102,6,14,26,24,100,24,56,2,38,1,0,4,156,89,66,148,8,0,1265,0,1429,1265,156,4,60,50,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,15782,392,379,1430,2850,2744,2653,2474,1674,800,351,35,0 to 119,45,9310,6391,81,15614,168,0,408,14930,429,560,263,977,14760,36,9,15570,63,2,872,40,474,461,0,935,10,22,111,164,174,175,158,93,48,22,0,0 to 100,45,467,147,196,125,274,507,154,256,8,148,4,2,19,977,480,497,935,42,0,14635,125,15782,14760,977,19,657,311,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,2706,57,57,166,332,379,459,483,370,279,123,1,0 to 100,53,1637,1022,47,2687,19,0,172,2383,131,312,31,437,2265,2,2,2683,54,0,381,2,251,180,4,435,1,8,19,36,45,78,55,76,87,32,0,2 to 98,61,263,65,35,72,40,284,111,58,1,84,1,1,34,437,182,251,435,2,0,2248,17,2706,2265,437,34,183,93,1945653927.12581,371198.171414394
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,3057,38,63,239,405,537,577,506,375,214,94,9,0 to 99,49,1752,1183,122,3052,5,0,74,2863,110,255,40,252,2802,1,2,3049,28,0,222,2,150,100,0,250,0,0,14,21,31,39,47,48,34,18,0,17 to 95,59,136,41,16,57,19,173,58,64,0,48,0,0,11,252,101,151,250,2,0,2799,3,3057,2802,252,11,123,102,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,98,2,1,11,17,11,15,15,20,4,2,0,0 to 89,49,51,45,2,94,4,0,3,93,2,3,3,4,94,0,0,94,0,0,2,2,1,1,0,2,0,0,0,0,1,0,0,3,0,0,0,39 to 73,70,2,0,0,0,0,2,0,0,2,0,2,0,0,4,2,2,2,2,0,92,2,98,94,4,0,0,0,1653184151.65315,165534.73009074
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,3144,50,44,233,389,429,507,566,532,282,110,2,0 to 119,53,1897,1211,36,3137,7,0,431,2543,161,280,82,130,2823,2,189,2947,20,0,107,3,69,58,0,127,1,0,7,18,23,28,31,14,6,2,0,2 to 88,51,99,19,9,0,22,105,0,28,2,16,0,0,3,130,59,71,127,3,0,2820,3,3144,2823,130,3,197,125,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,5994,65,101,319,674,703,962,1273,1125,540,224,8,0 to 104,56,3314,2516,164,5963,31,0,117,5664,193,287,118,356,5632,2,4,5957,85,0,262,9,151,196,0,347,1,3,20,46,52,62,55,71,26,20,0,1 to 97,54,211,37,67,32,40,229,78,84,5,58,4,0,10,356,200,156,347,9,0,5610,22,5994,5632,356,10,381,157,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,166,5,4,15,14,30,26,23,34,11,3,1,0 to 90,51,93,72,1,166,0,0,7,153,6,13,0,4,161,0,1,165,1,0,3,0,3,1,0,4,0,0,1,0,1,1,0,1,0,0,0,24 to 66,46,1,2,0,1,0,3,1,4,0,2,0,0,0,4,1,3,4,0,0,161,0,166,161,4,0,18,16,1823798262.39212,235232.973119088
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,3999,103,91,273,518,527,643,645,588,464,143,4,0 to 101,52,2236,1723,40,3937,62,0,81,3703,206,201,76,213,3775,0,11,3926,16,0,185,12,102,99,0,201,1,8,12,20,33,37,33,36,31,2,0,1 to 86,52,91,20,66,24,57,115,29,90,9,52,3,0,7,213,107,106,201,12,0,3725,50,3999,3775,213,7,263,104,2995995460.71371,331014.242454318
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,415,11,13,40,61,58,61,73,53,32,13,0,0 to 118,49,261,150,4,415,0,0,13,391,10,28,2,12,403,0,0,415,2,0,10,0,9,3,0,12,0,0,0,1,4,2,3,0,1,1,0,33 to 93,48,7,2,1,2,2,8,2,4,0,2,0,0,0,12,3,9,12,0,0,403,0,415,403,12,0,36,22,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,2000-05-16T00:00:00.000Z,16171035313.1481,751914.035739446,60,Sumter,FL,29,60,119,1621,16,14,40,79,67,133,224,643,366,38,1,0 to 96,69,854,707,60,1621,0,0,93,1393,117,144,51,153,1440,2,26,1593,38,0,115,0,59,94,0,153,0,0,3,4,11,22,24,53,31,5,0,17 to 92,66,127,7,5,14,7,131,15,45,0,34,0,0,11,153,94,59,153,0,0,1440,0,1621,1440,153,11,48,39,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,2000-05-16T00:00:00.000Z,9616121249.97192,520365.445917892,57,Seminole,FL,30,59,117,4341,87,97,363,746,805,792,664,498,170,117,2,0 to 104,45,2530,1779,32,4331,10,0,175,3925,226,300,89,328,4003,3,7,4321,32,0,290,6,171,150,1,322,3,4,30,57,44,66,45,51,17,11,0,1 to 100,48,220,40,51,11,114,183,25,148,4,76,1,0,5,328,152,175,322,6,0,3999,4,4341,4003,328,5,384,159,893350621.597626,158549.770327082
31,31,48,095,ORANGE,2000-05-16T00:00:00.000Z,28006104673.618,903213.715428867,48,Orange,FL,31,48,95,17631,475,496,1528,3118,3240,3205,2756,1703,772,330,8,0 to 120,44,9893,7658,80,17265,365,1,423,16689,463,697,271,1222,16392,3,14,17249,96,4,1064,58,553,594,13,1160,16,15,125,207,222,259,193,104,57,24,0,0 to 101,46,510,142,301,207,316,397,447,371,32,183,28,1,27,1222,629,580,1159,62,1,16089,303,17631,16392,1222,27,576,380,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,2000-05-16T00:00:00.000Z,16847060705.6176,796979.404269785,9,Citrus,FL,32,9,17,1308,20,29,81,162,162,185,233,231,144,57,4,0 to 97,56,722,443,143,1304,4,0,36,1153,112,153,24,92,1214,1,1,1302,48,0,44,0,45,47,0,92,1,4,5,7,6,12,24,15,12,6,0,3 to 93,60,61,0,5,26,7,60,25,24,0,23,0,0,8,92,47,45,92,0,0,1210,4,1308,1214,92,8,324,123,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,2000-05-16T00:00:00.000Z,13561044546.5447,658252.887531729,27,Hernando,FL,33,27,53,1317,19,19,97,194,193,220,241,185,110,38,1,0 to 97,50,771,539,7,1303,14,0,46,1209,62,105,37,85,1232,0,0,1303,36,1,45,3,41,40,0,81,0,2,5,16,11,11,18,15,6,1,0,9 to 85,49,46,5,7,23,10,30,41,27,2,19,2,1,3,85,41,44,81,4,0,1222,10,1317,1232,85,3,47,33,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,2000-05-16T00:00:00.000Z,8169203571.8812,1167816.84045851,52,Pinellas,FL,34,52,103,10748,157,158,700,1565,1516,1799,1958,1557,850,465,23,0 to 120,52,6399,4317,32,10602,146,0,686,9693,342,922,317,611,10062,9,66,10529,75,6,495,35,289,281,0,570,1,4,40,84,59,104,119,95,55,50,0,1 to 101,55,451,71,32,16,51,492,27,153,15,122,14,1,17,611,307,304,570,41,0,9959,103,10748,10062,611,17,309,219,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,2000-05-16T00:00:00.000Z,19295996990.3474,731987.008657942,61,Suwannee,FL,35,61,121,470,17,5,32,69,62,63,82,71,38,31,0,0 to 118,53,311,145,14,470,0,0,43,322,92,112,5,102,368,0,0,470,81,0,21,0,72,30,0,102,0,1,9,12,12,9,14,17,14,14,0,5 to 102,62,68,30,0,4,3,94,5,22,0,27,0,0,8,102,30,72,102,0,0,368,0,470,368,102,8,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,2000-05-16T00:00:00.000Z,22997044775.8865,1114099.40129032,16,Duval,FL,36,16,31,18000,286,345,1523,3392,3068,3005,3000,1899,940,512,30,0 to 118,46,10173,7091,736,17915,85,0,304,17264,411,242,48,901,17017,10,72,17833,101,7,784,9,467,399,19,885,7,14,72,148,158,142,163,103,62,31,1,0 to 97,49,182,161,44,498,25,330,530,109,6,78,3,0,16,901,406,473,885,16,0,16948,69,18000,17017,901,16,592,527,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,2000-05-16T00:00:00.000Z,15264572234.9149,634013.230316393,34,Lafayette,FL,37,34,67,55,3,0,5,5,15,4,3,9,6,5,0,0 to 118,44,30,24,1,55,0,0,7,48,0,8,0,1,54,0,0,55,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,54,0,55,54,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,2000-05-16T00:00:00.000Z,15857514470.4584,850272.421627332,23,Gulf,FL,38,23,45,112,3,4,5,18,14,18,21,19,8,2,0,1 to 91,52,65,45,2,110,2,0,15,96,1,29,8,1,111,0,0,110,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,109,2,112,111,1,0,5,2,1469866107.27026,258929.917930346
39,39,63,125,UNION,2000-05-16T00:00:00.000Z,6963394478.96307,420643.595360959,63,Union,FL,39,63,125,171,4,4,16,23,42,30,18,22,7,5,0,1 to 118,43,96,70,5,171,0,0,11,156,4,15,4,2,168,0,1,170,0,0,2,0,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,1,0,1,1,0,0,0,0,0,0,2,1,1,2,0,0,168,0,171,168,2,0,4,3,646977045.561768,128178.538552252
40,40,4,007,BRADFORD,2000-05-16T00:00:00.000Z,8359862626.37378,548326.687246681,4,Bradford,FL,40,4,7,616,5,6,58,69,67,73,99,76,85,73,5,0 to 107,58,398,208,10,616,0,0,23,555,37,98,0,42,571,0,3,613,29,0,13,0,34,8,0,42,0,2,3,1,5,3,2,6,11,9,0,8 to 107,74,39,3,0,0,0,41,1,3,0,9,0,0,2,42,8,34,42,0,0,571,0,616,571,42,2,57,38,776744615.959412,167178.838252791
41,41,65,129,WAKULLA,2000-05-16T00:00:00.000Z,17022505120.6189,916733.867149366,66,Wakulla,FL,41,65,129,240,3,5,22,50,40,47,39,21,9,3,1,0 to 93,44,136,102,2,238,2,0,8,219,12,22,2,15,225,0,0,238,2,0,12,1,10,4,0,14,0,0,2,5,1,6,0,1,0,0,0,21 to 65,35,5,9,0,0,0,14,0,5,0,5,0,0,1,15,4,11,14,1,0,224,1,240,225,15,1,40,18,1579533632.64177,279225.038340218
42,42,5,009,BREVARD,2000-05-16T00:00:00.000Z,28936951380.6763,2600567.11621827,5,Brevard,FL,42,5,9,6086,81,106,350,703,751,907,1343,1168,513,163,1,0 to 103,56,3547,2469,70,6077,9,0,86,5903,92,214,53,223,5858,3,2,6072,30,2,185,6,108,107,0,215,2,5,15,28,31,34,50,30,21,7,0,1 to 94,53,144,42,11,18,32,164,19,63,2,39,2,0,7,223,109,114,215,8,0,5857,1,6086,5858,223,7,205,154,2687643838.87906,793218.333609179
43,43,53,105,POLK,2000-05-16T00:00:00.000Z,56039729499.5993,1273587.97322649,53,Polk,FL,43,53,105,5382,124,121,412,779,817,888,875,739,436,188,3,0 to 102,49,3085,2151,146,5361,21,0,221,4961,193,338,110,351,5021,3,7,5351,80,1,265,5,188,149,8,345,1,5,13,47,50,60,59,49,40,27,0,3 to 102,54,217,67,39,22,107,204,34,149,3,95,1,0,14,351,151,192,345,6,0,5006,15,5382,5021,351,14,347,180,5206715917.89822,388118.956177661
44,44,49,097,OSCEOLA,2000-05-16T00:00:00.000Z,41974373975.6891,1149911.15232981,49,Osceola,FL,44,49,97,3794,55,110,304,668,719,697,595,384,196,60,6,0 to 100,45,2158,1617,19,3771,23,0,299,3118,358,455,157,416,3313,1,64,3709,26,2,381,7,199,205,3,407,2,6,31,52,64,89,84,61,25,2,0,0 to 94,50,193,29,168,17,226,126,55,188,4,117,5,1,5,416,211,201,407,9,0,3302,11,3794,3313,416,5,325,69,3899316052.50861,350452.549474464
45,45,28,055,HIGHLANDS,2000-05-16T00:00:00.000Z,30858531275.5408,973257.170083551,28,Highlands,FL,45,28,55,623,14,6,38,92,85,95,101,94,71,25,2,0 to 95,53,368,234,21,611,12,0,27,549,43,47,15,71,549,1,2,608,13,0,57,1,33,37,0,70,1,1,5,10,5,10,14,12,12,1,0,0 to 85,59,34,20,15,1,23,40,7,33,1,25,1,0,7,71,38,33,70,1,0,538,11,623,549,71,7,67,22,2866885704.30579,296636.719911829
46,46,36,071,LEE,2000-05-16T00:00:00.000Z,22734524817.4646,1913267.0220598,36,Lee,FL,46,36,71,6777,93,93,453,963,1041,1201,1203,969,558,199,4,0 to 119,51,4005,2664,108,6726,50,1,230,5972,536,570,128,789,5926,2,60,6666,63,4,692,30,378,367,10,755,5,7,54,102,118,124,134,130,85,30,0,1 to 100,54,362,71,20,302,120,329,306,206,12,167,10,1,29,789,387,392,754,34,1,5911,15,6777,5926,789,29,1205,422,2112333669.17714,583283.842331616
47,47,11,021,COLLIER,2000-05-16T00:00:00.000Z,55941206045.6423,1903355.15661929,11,Collier,FL,47,11,21,4368,61,70,258,550,600,657,729,724,520,196,3,0 to 103,54,2501,1851,16,4205,163,0,187,3838,326,469,135,473,3875,1,19,4185,126,16,284,47,208,202,0,410,6,7,27,63,55,67,92,69,63,24,0,0 to 101,56,287,18,35,70,129,205,76,102,16,63,7,2,9,473,238,235,410,63,0,3775,100,4368,3875,473,9,668,476,5197102107.68439,580181.883282756
48,48,13,025,MIAMI-DADE,2000-05-16T00:00:00.000Z,55073375763.8941,1774363.00496543,13,Dade,FL,48,13,25,60712,557,765,3966,9962,10245,11730,10334,7111,3775,1964,302,-50 to 119,48,31557,28150,1005,60431,280,1,1223,57170,2113,3185,608,9840,50457,177,238,60021,426,6,9301,107,4653,5012,62,9727,34,74,693,1652,1590,1979,1655,1161,647,337,18,0 to 105,49,4281,1224,427,3795,4028,1749,3950,1907,21,953,10,1,227,9840,5092,4684,9726,113,1,50294,163,60712,50457,9840,227,2096,1393,5114451079.58835,540836.793924443
49,49,44,087,MONROE,2000-05-16T00:00:00.000Z,28308543761.6011,4591181.83897766,44,Monroe,FL,49,44,87,1007,12,13,53,117,145,186,224,167,68,21,1,0 to 97,54,540,462,5,976,31,0,211,714,79,116,66,73,895,0,39,940,15,3,51,4,31,35,0,66,0,3,6,12,9,13,13,11,6,0,0,6 to 80,51,54,5,0,7,17,42,7,14,2,10,1,0,3,73,38,35,66,7,0,874,21,1007,895,73,3,198,100,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,2000-05-16T00:00:00.000Z,28109274128.0588,1198564.1555946,55,Santa Rosa,FL,50,57,113,2153,109,105,201,346,361,344,304,218,104,57,4,0 to 102,43,1273,867,13,2149,4,0,55,2003,88,115,44,141,2010,1,1,2147,36,0,104,1,43,97,0,140,2,0,14,20,25,28,20,18,7,7,0,0 to 94,49,100,19,0,21,5,113,22,21,0,20,0,0,6,141,97,44,140,1,0,2007,3,2153,2010,141,6,482,77,2596863920.94926,364280.718031263
