OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,C_HospYes_Res,C_HospYes_NonRes,C_EDYes_Res,C_EDYes_NonRes
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,194,5,7,18,28,28,33,25,30,16,4,0,0,0,0,1,1,1,3,0,0,0,48,0 to 118,52,33 to 64,6,0,129,65,0,194,0,0,20,173,1,3,1,2,4,1,1,0,192,6,186,0,2,8,14,4,6,3,3,6,0,0,186,0,194,186,6,0,7,6,2900663690.96646,339394.964008615,1,0,2,0
29,29,60,119,SUMTER,2000-05-16T00:00:00.000Z,16171035313.1481,751914.035739446,60,Sumter,FL,29,60,119,1017,10,11,23,32,35,76,147,430,232,21,0,0,0,1,0,4,8,14,36,24,4,69,0 to 96,69,18 to 92,91,0,569,419,29,1017,0,0,88,886,43,52,5,34,62,2,27,7,1002,91,902,9,15,88,31,73,91,51,40,91,0,0,910,0,1017,910,91,7,40,37,1502516062.89801,229328.389599522,27,0,34,0
30,30,59,117,SEMINOLE,2000-05-16T00:00:00.000Z,9616121249.97192,520365.445917892,57,Seminole,FL,30,59,117,2443,54,56,220,437,472,420,335,285,87,76,1,0,1,19,41,31,49,29,38,7,3,44,0 to 104,48,6 to 100,212,0,1479,944,20,2433,10,0,166,2199,78,88,24,106,149,21,48,1,2427,218,2207,2,16,126,60,128,218,98,120,212,6,0,2204,4,2443,2208,218,1,357,261,893350621.597626,158549.770327082,47,1,102,4
31,31,48,095,ORANGE,2000-05-16T00:00:00.000Z,28006104673.618,903213.715428867,48,Orange,FL,31,48,95,8595,314,230,775,1575,1587,1417,1220,839,434,201,3,8,6,70,137,158,174,138,77,38,18,43,0 to 101,46,0 to 101,774,0,4937,3620,38,8407,187,1,317,8129,149,176,432,216,315,403,106,11,8574,824,7745,5,21,235,125,228,824,440,379,773,50,1,7613,137,8595,7750,824,11,565,404,2601855780.29929,275135.911496092,94,12,201,15
32,32,9,017,CITRUS,2000-05-16T00:00:00.000Z,16847060705.6176,796979.404269785,9,Citrus,FL,32,9,17,738,11,13,43,85,91,98,135,139,88,32,3,0,0,4,5,5,6,15,10,7,3,57,0 to 97,60,17 to 88,55,0,416,240,82,735,3,0,111,608,19,22,16,17,31,6,18,5,733,55,677,1,5,32,67,51,55,26,29,55,0,0,675,3,738,678,55,5,183,92,1565249379.23035,242867.273750112,18,0,17,0
33,33,27,053,HERNANDO,2000-05-16T00:00:00.000Z,13561044546.5447,658252.887531729,27,Hernando,FL,33,27,53,810,15,12,64,115,121,127,154,124,56,22,0,0,0,3,14,5,7,11,12,4,1,51,0 to 97,49,19 to 85,55,0,485,319,6,801,9,0,87,692,31,32,10,15,43,4,10,1,808,57,749,2,2,43,74,43,57,30,27,55,2,0,742,7,810,749,57,1,28,18,1259956856.20596,200494.167365377,8,2,13,2
34,34,52,103,PINELLAS,2000-05-16T00:00:00.000Z,8169203571.8812,1167816.84045851,52,Pinellas,FL,34,52,103,7489,117,114,481,1107,1036,1223,1361,1139,603,292,16,0,3,30,66,46,75,89,61,20,5,52,0 to 104,52,6 to 95,361,0,4409,3055,25,7366,123,0,514,6704,271,215,67,113,281,42,72,10,7409,395,7002,12,80,486,85,185,395,205,190,361,34,0,6920,88,7489,7008,395,10,306,233,758940582.722305,356104.408630079,60,12,100,13
35,35,61,121,SUWANNEE,2000-05-16T00:00:00.000Z,19295996990.3474,731987.008657942,61,Suwannee,FL,35,61,121,234,4,3,19,34,32,42,40,35,20,5,0,0,1,7,7,7,5,8,6,6,0,51,0 to 92,46,5 to 84,47,0,169,57,8,234,0,0,65,165,4,14,25,8,22,20,5,0,234,47,187,0,0,38,23,36,47,11,36,47,0,0,187,0,234,187,47,0,7,5,1792465815.52835,223150.095858967,5,0,8,0
36,36,16,031,DUVAL,2000-05-16T00:00:00.000Z,22997044775.8865,1114099.40129032,16,Duval,FL,36,16,31,9774,144,178,759,1887,1766,1646,1504,985,511,370,24,2,4,43,93,88,89,99,65,46,24,45,0 to 118,50,1 to 97,543,0,5598,3662,514,9731,43,0,169,9561,44,57,441,59,103,400,54,10,9681,557,9110,14,93,242,131,231,557,249,281,543,14,0,9086,28,9774,9114,557,10,388,340,2136692125.83844,339628.979868484,51,3,55,4
37,37,34,067,LAFAYETTE,2000-05-16T00:00:00.000Z,15264572234.9149,634013.230316393,34,Lafayette,FL,37,34,67,31,2,0,3,4,8,3,2,4,2,3,0,0,0,0,0,0,1,0,0,0,0,44,0 to 118,47,47 to 47,1,0,16,15,0,31,0,0,7,24,0,0,1,0,1,0,0,0,31,1,30,0,0,4,12,1,1,0,1,1,0,0,30,0,31,30,1,0,0,0,1417838543.00769,193229.836834708,0,0,0,0
