ï»¿OBJECTID,CORR_NOMB,SHAPE_Leng,CORR_FEAC,ID1,CORR_LEY,ORDEN_CORR,PROV_ID,DIST_ID,CORR_ID,CODIGO,CAMPO,ID2,TIPO,Cantidad,Hospitalizado,Aislamiento_domiciliario,Fallecido,UCI,Recuperado,ORIG_FID
81,PALMIRA,91321.21461,1233360000000,29,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,03,05,05,030505,2018,82,R,,,,,,,81
82,VIENTO FRIO,36162.60809,1233360000000,22,LEY 13 DEL 6 DE FEBRERO DE 2002,0,03,05,08,030508,2018,83,R,,,,,,,82
83,SANTA ROSA,35114.03515,1222732800000,37,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,01,14,030114,2016,84, ,1,1,0,0,0,0,83
84,SAN JUAN,70598.34521,1220140800000,45,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,01,13,030113,2018,85,R,17,0,17,0,0,0,84
85,CACIQUE,25279.5513,1233360000000,10,LEY 2 DEL  27 DE OCTUBRE DE 1982,0,03,04,02,030402,2018,86,R,,,,,,,85
86,MIRAMAR,28189.28919,1233360000000,27,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,03,05,03,030503,2018,87,R,,,,,,,86
87,PIÃA,31796.11008,1143763200000,52,LEY 24 DE ENERO DE 1984,0,03,02,06,030206,2017,88, ,,,,,,,87
88,NUEVO CHAGRES (CABECERA),14483.17237,1143763200000,3,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,03,02,01,030201,2017,89, ,,,,,,,88
89,PALMAS BELLAS,63324.07271,1143763200000,4,LEY 24 DE ENERO DE 1984,0,03,02,05,030205, ,90, ,1,0,1,0,0,0,89
90,EL GUABO,53121.41031,1143763200000,33,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,02,03,030203,2018,91, ,,,,,,,90
91,ACHIOTE,56882.1459,1143763200000,4,LEY 24 DE ENERO DE 1984,0,03,02,02,030202, ,92, ,,,,,,,91
92,EL GUASIMO,92479.52767,1259539200000,39,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,03,03,03,030303,2017,93, ,,,,,,,92
93,MIGUEL DE LA BORDA (CABECERA),126903.42538,1262131200000,355,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,03,03,01,030301,2017,94, ,,,,,,,93
94,GOBEA,47635.01808,1258934400000,31,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,03,03,04,030304,2017,95, ,,,,,,,94
95,SALUD,60688.9358,1143763200000,7,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,03,02,07,030207, ,96, ,,,,,,,95
96,NOMBRE DE DIOS,79874.00212,1233360000000,52,LEY 13 DEL 6 DE FEBRERO DE 2002,0,03,05,04,030504,2018,97,R,,,,,,,96
97,ISLA GRANDE,47364.64638,1234656000000,47,LEY 2 DEL  27 DE OCTUBRE DE 1982,0,03,04,04,030404,2018,98,R,,,,,,,97
98,MARIA CHIQUITA,67949.06869,1238457600000,40,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,04,05,030405,2018,99,R,2,1,0,0,1,0,98
99,PORTOBELO (CABECERA),120808.90818,1230768000000,48,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,04,01,030401,2018,100,R,,,,,,,99
100,PALENQUE (CABECERA),69382.58896,1233360000000,50,LEY 13 DEL 6 DE FEBRERO DE 2002,0,03,05,01,030501,2018,101,R,,,,,,,100
101,CUANGO,39233.57416,1233360000000,9,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,05,02,030502,2018,102,R,,,,,,,101
102,BUENA VISTA,67836.49993,1199750400000,36,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,01,03,030103,2018,103,R,3,0,1,1,1,0,102
103,LIMON,128732.54102,1222732800000,58,LEY 27 DEL 1 DE OCTUBRE 1982,0,03,01,08,030108,2017,104, ,,,,,,,103
104,CIRICITO,250394.20313,1225324800000,15,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,03,01,05,030105,2018,105,R,,,,,,,104
105,PUERTO LINDO O GARROTE,42719.78978,1233360000000,37,LEY 2 DEL  27 DE OCTUBRE DE 1982,0,03,04,03,030403,2018,106,R,,,,,,,105
106,SALAMANCA,121221.48727,1251676800000,1,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,01,12,030112,2016,107, ,3,0,2,0,0,0,106
107,RIO INDIO,69868.90488,1258934400000,94,LEY 1 DEL 27 DE OCTUBRE DE 1982,0,03,03,05,030305,2017,108, ,1,0,0,0,1,0,107
108,COCLE DEL NORTE,292665.74663,1256860800000,70,LEY 2 DEL 21 DE OCTUBRE DE 1981,0,03,03,02,030302,2018,109, ,1,0,0,0,0,1,108
109,MANUEL ORTEGA,157497.99187,1264896000000,16,LEY 22 DEL 8 DE NOVIEMBRE DE 1983,0,11,01,03,110103,2017,110, ,1,0,1,0,0,0,109
110,JINGURUDO,143889.10319,1262217600000,22,LEY 22 DEL 8 DE NOVIEMBRE DE 1983,0,11,02,02,110202,2017,111, ,,,,,,,110
111,RIO SABALO,150213.11336,1261785600000,46,LEY 22 DEL 8 DE NOVIEMBRE DE 1983,0,11,02,01,110201,2017,112, ,,,,,,,111
112,LAJAS BLANCAS,260093.66478,1264896000000,39,LEY 22 DEL 8 DE NOVIEMBRE DE 1983,0,11,01,02,110102,2017,113, ,3,0,3,0,0,0,112
113,NIBA,63597.38998,1143763200000,13,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,01,08,120108,2018,114,R,,,,,,,113
114,HATO JULI,16544.73202,1151625600000,9,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,02,06,120206,2018,115,R,,,,,,,114
115,QUEBRADA DE LORO,29596.53203,1151625600000,1,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,02,07,120207,2018,116,R,,,,,,,115
116,BAKAMA,54515.19286,1225411200000,120,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,03,03,120303,2018,117,R,,,,,,,116
117,EL PAREDON,112683.60102,,6,LEY 58 DEL 29 DE JULIO DE 1998,0,12,05,06,120506,2018,118,R,,,,,,,117
118,BOCA DE BALSA,66687.69237,1141171200000,2,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,01,02,120102,2018,119,R,,,,,,,118
119,NAMNONI,34304.11044,1149033600000,21,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,01,07,120107,2018,120,R,,,,,,,119
120,HATO COROTI,38828.81162,1151625600000,98,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,02,03,120203,2018,121,R,,,,,,,120
121,HATO JOBO,34866.00681,1146441600000,10,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,02,05,120205,2018,122,R,,,,,,,121
122,CERRO DE PATENA,40729.13237,1149033600000,32,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,01,05,120105,2018,123,R,,,,,,,122
123,HATO CULANTRO,42144.5299,1149033600000,132,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,02,04,120204,2018,124,R,,,,,,,123
124,CERRO IGLESIAS (CABECERA),30217.85894,1260835200000,6,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,04,01,120401,2018,125,R,,,,,,,124
125,CASCABEL,60692.43911,1149033600000,1,LEY 69 DEL 28 DE OCTUBRE DE 1998,0,12,02,02,120202,2018,126,R,,,,,,,125
