OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
11,11,33,065,JEFFERSON,Jefferson,FL,127,6,4,5,9,16,15,26,19,14,12,1,0 to 96,58,80,45,2,124,3,0,4,82,41,32,90,5,26,101,0,0,124,5,19,2,0,12,12,0,24,0,0,1,1,1,2,6,7,4,4,0,22 to 95,66,11,9,3,1,3,19,2,4,2,6,0,0,1,26,14,12,24,2,0,100,1,127,101,26,1,43,11,1581350101.5302,228391.565390175
12,12,40,079,MADISON,Madison,FL,222,27,16,18,20,28,25,21,33,20,14,0,0 to 95,46,122,98,2,218,4,0,14,155,53,95,122,5,35,185,0,2,216,16,17,2,0,16,17,0,33,2,0,4,2,2,4,6,7,3,5,0,0 to 89,61,8,21,1,3,1,25,7,7,0,3,0,0,2,35,18,17,33,2,0,183,2,222,185,35,2,59,15,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,Liberty,FL,41,2,2,6,10,6,4,6,4,1,0,0,0 to 76,35,24,15,2,41,0,0,1,39,1,2,39,0,2,39,0,0,41,2,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,39,0,41,39,2,0,13,4,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,Hamilton,FL,115,3,2,15,19,14,13,21,17,7,4,0,0 to 95,48,65,45,5,113,2,0,9,97,9,15,97,3,6,108,0,1,113,2,4,0,0,6,0,0,6,0,0,0,2,1,0,3,0,0,0,0,32 to 64,50,4,2,0,0,0,6,0,3,0,0,0,0,0,6,0,6,6,0,0,107,1,115,108,6,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,Bay,FL,944,9,16,67,122,151,198,178,113,65,25,0,0 to 99,50,514,377,53,942,2,0,37,879,28,66,849,29,60,883,1,0,941,44,15,1,0,24,35,0,59,0,1,3,10,12,16,8,7,2,1,0,14 to 93,47,43,8,3,5,14,38,7,20,1,9,1,0,2,60,36,24,59,1,0,882,1,944,883,60,2,31,26,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,Columbia,FL,677,26,27,49,105,107,90,132,91,34,12,4,0 to 118,47,362,267,48,669,8,0,131,483,63,120,540,17,44,624,0,9,663,32,11,1,0,24,19,0,43,1,0,5,10,3,8,12,4,1,0,0,1 to 76,46,36,4,2,1,5,36,2,1,0,6,0,0,0,44,20,24,43,1,0,620,4,677,624,44,0,7,5,2068684690.43686,276060.430857214
17,17,2,003,BAKER,Baker,FL,309,10,6,35,49,35,61,43,27,26,17,0,0 to 99,48,192,100,17,305,4,0,15,278,16,50,256,3,17,292,0,0,305,3,14,0,0,10,7,0,17,0,0,1,1,0,0,3,4,5,3,0,24 to 97,72,15,1,1,0,0,17,0,4,0,7,0,0,3,17,7,10,17,0,0,288,4,309,292,17,3,1,0,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,Holmes,FL,393,6,6,20,39,39,66,77,88,38,14,0,0 to 100,58,219,149,25,391,2,0,0,388,5,8,384,1,8,379,0,6,385,3,5,0,0,3,5,0,8,0,0,0,2,2,2,1,1,0,0,0,27 to 73,44,5,0,0,3,0,5,3,2,0,0,0,0,0,8,5,3,8,0,0,377,2,393,379,8,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,Martin,FL,1474,22,14,81,150,185,232,309,254,160,63,4,0 to 99,56,827,617,30,1464,10,0,74,1318,82,121,1297,56,162,1306,0,6,1459,146,7,9,0,66,87,0,153,1,1,10,14,19,25,37,21,28,6,0,3 to 92,58,102,6,17,28,27,100,26,58,2,39,1,0,4,162,94,68,153,9,0,1306,0,1474,1306,162,4,61,51,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,16114,400,388,1451,2898,2800,2697,2534,1727,822,362,35,0 to 119,45,9484,6550,80,15940,174,0,410,15246,458,571,15278,265,986,15080,36,12,15893,878,64,42,2,477,465,0,942,10,22,113,164,174,178,159,95,48,23,0,0 to 100,45,467,149,199,127,275,510,157,261,9,150,5,2,21,986,485,501,942,44,0,14951,129,16114,15080,986,21,657,311,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,Manatee,FL,2758,57,59,170,336,385,466,493,378,284,128,2,0 to 100,53,1669,1045,44,2739,19,0,192,2389,177,358,2369,31,448,2305,2,3,2734,392,54,2,0,262,184,0,446,1,8,19,37,49,79,55,79,88,33,0,2 to 98,61,278,68,35,65,44,298,104,66,1,98,1,1,34,448,186,262,446,2,0,2288,17,2758,2305,448,34,183,92,1945653927.12581,371198.171414394
22,22,10,019,CLAY,Clay,FL,3166,42,68,246,427,548,597,521,388,223,97,9,0 to 99,49,1817,1227,122,3161,5,0,73,2963,130,276,2849,41,259,2905,1,1,3159,228,29,2,0,153,104,0,257,0,0,15,21,32,42,47,50,34,18,0,17 to 95,59,138,45,16,58,19,178,60,69,0,52,0,0,12,259,105,154,257,2,0,2902,3,3166,2905,259,12,126,105,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,Hardee,FL,99,2,1,11,18,11,15,15,20,4,2,0,0 to 89,49,52,45,2,95,4,0,3,94,2,3,93,3,4,95,0,0,95,2,0,2,0,1,1,0,2,0,0,0,0,1,0,0,3,0,0,0,39 to 73,70,2,0,0,0,0,2,0,0,2,0,2,0,0,4,2,2,2,2,0,93,2,99,95,4,0,0,0,1653184151.65315,165534.73009074
24,24,42,083,MARION,Marion,FL,3326,53,51,238,405,463,532,597,563,306,116,2,0 to 119,53,2010,1279,37,3318,8,0,474,2675,177,296,2946,84,132,2939,2,253,3064,109,20,3,0,71,58,0,129,1,0,7,19,23,28,31,15,6,2,0,2 to 88,51,101,19,9,0,22,107,0,28,2,19,0,0,3,132,59,73,129,3,0,2935,4,3326,2939,132,3,195,115,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,Volusia,FL,6158,67,102,329,687,712,980,1288,1157,568,260,8,0 to 102,56,3417,2577,164,6126,32,0,122,5806,230,320,5717,121,376,5776,2,4,6120,272,94,9,1,164,202,0,366,1,3,21,51,52,65,55,72,28,28,0,1 to 102,54,230,41,66,29,42,248,76,89,5,63,4,0,13,376,206,170,366,10,0,5754,22,6158,5776,376,13,403,171,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,Dixie,FL,171,5,4,15,15,30,26,26,34,12,3,1,0 to 90,51,96,74,1,171,0,0,7,158,6,13,158,0,4,166,0,1,170,3,1,0,0,3,1,0,4,0,0,1,0,1,1,0,1,0,0,0,24 to 66,46,1,2,0,1,0,3,1,4,0,2,0,0,0,4,1,3,4,0,0,166,0,171,166,4,0,23,19,1823798262.39212,235232.973119088
27,27,35,069,LAKE,Lake,FL,4119,105,93,276,530,541,658,676,606,479,150,5,0 to 101,52,2295,1784,40,4057,62,0,84,3813,222,212,3830,77,214,3893,1,11,4045,186,16,12,0,103,99,0,202,1,7,12,20,33,38,33,37,31,2,0,1 to 86,52,94,20,68,20,60,117,25,91,10,53,4,1,7,214,106,108,202,12,0,3843,50,4119,3893,214,7,271,96,2995995460.71371,331014.242454318
28,28,38,075,LEVY,Levy,FL,434,11,14,43,63,59,64,77,55,32,15,1,0 to 118,49,272,157,5,434,0,0,13,405,16,33,399,2,13,418,0,3,431,11,2,0,0,9,4,0,13,0,0,1,1,4,2,3,0,1,1,0,16 to 93,48,7,3,1,2,2,9,2,5,0,2,0,0,0,13,4,9,13,0,0,418,0,434,418,13,0,37,22,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,Sumter,FL,1655,16,14,42,81,70,139,228,656,370,38,1,0 to 96,69,861,729,65,1653,2,0,93,1398,164,171,1432,52,164,1464,1,26,1626,123,41,0,0,60,104,0,164,0,0,4,4,14,24,27,55,31,5,0,17 to 92,66,138,9,5,12,8,138,18,50,0,39,0,0,12,164,104,60,164,0,0,1462,2,1655,1464,164,12,48,39,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,Seminole,FL,4457,90,97,370,771,824,812,682,516,174,119,2,0 to 104,45,2591,1835,31,4447,10,0,176,4035,246,308,4061,88,333,4115,3,6,4438,294,33,6,0,174,153,0,327,3,4,30,58,46,66,45,52,17,12,0,1 to 100,48,223,38,50,16,116,186,25,150,5,78,1,0,7,333,155,178,327,6,0,4111,4,4457,4115,333,7,385,155,893350621.597626,158549.770327082
31,31,48,095,ORANGE,Orange,FL,19000,494,550,1641,3329,3481,3442,3036,1845,827,346,9,0 to 120,45,10608,8309,83,18631,368,1,443,17972,585,777,17936,287,1258,17722,3,17,18612,1100,96,58,4,574,610,12,1196,17,17,126,212,234,265,198,105,59,24,1,0 to 101,45,533,159,305,199,347,426,423,411,33,204,29,1,29,1258,646,600,1195,62,1,17416,306,19000,17722,1258,29,576,380,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,Citrus,FL,1331,20,29,81,166,166,188,238,235,146,59,3,0 to 97,56,734,449,148,1327,4,0,39,1173,119,157,1150,24,92,1237,1,1,1325,43,49,0,0,45,47,0,92,1,4,5,7,6,12,24,15,12,6,0,3 to 93,60,62,0,6,24,7,62,23,26,0,25,0,0,9,92,47,45,92,0,0,1233,4,1331,1237,92,9,338,81,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,Hernando,FL,1331,20,20,97,197,197,221,243,186,110,39,1,0 to 97,50,780,543,8,1315,16,0,46,1219,66,109,1185,37,83,1248,0,0,1315,42,35,5,1,39,38,0,77,0,2,4,16,11,11,17,15,6,1,0,9 to 85,49,50,5,3,19,11,33,33,27,2,19,2,1,3,83,40,43,77,6,0,1238,10,1331,1248,83,3,41,24,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,Pinellas,FL,11278,158,158,732,1639,1591,1902,2073,1629,893,480,23,0 to 120,52,6733,4514,31,11129,149,0,704,10163,411,1003,9954,321,641,10537,9,91,11030,525,75,35,6,312,288,0,600,1,4,42,88,62,108,125,98,61,52,0,1 to 101,55,475,75,35,15,52,521,27,159,15,130,14,1,21,641,314,327,600,41,0,10430,107,11278,10537,641,21,309,219,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,Suwannee,FL,483,17,5,34,72,62,63,83,75,39,32,1,0 to 118,54,317,153,13,483,0,0,45,328,110,122,356,5,104,379,0,0,483,21,83,0,0,74,30,0,104,0,1,10,12,12,9,14,17,15,14,0,5 to 102,62,70,30,0,4,3,96,5,24,0,29,0,0,9,104,30,74,104,0,0,379,0,483,379,104,9,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,Duval,FL,18920,302,357,1790,3508,3164,3132,3122,1985,994,532,34,0 to 118,46,10592,7608,720,18820,100,0,307,18159,454,251,18618,51,936,17903,11,70,18739,814,101,12,9,483,414,18,915,8,15,73,157,163,145,166,108,65,35,1,0 to 97,49,199,170,50,496,27,356,532,117,8,84,4,0,17,936,424,491,915,21,0,17824,79,18920,17903,936,17,611,544,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,Lafayette,FL,56,3,0,5,6,15,4,3,9,6,5,0,0 to 118,44,31,24,1,56,0,0,8,48,0,8,48,0,1,55,0,0,56,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,55,0,56,55,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,Gulf,FL,112,3,4,5,18,14,18,21,19,8,2,0,1 to 91,52,65,45,2,110,2,0,15,96,1,29,75,8,1,111,0,0,110,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,109,2,112,111,1,0,5,2,1469866107.27026,258929.917930346
39,39,63,125,UNION,Union,FL,180,4,4,17,26,43,30,20,23,8,5,0,1 to 118,43,102,72,6,180,0,0,13,163,4,16,160,4,3,174,0,3,177,2,1,0,0,2,1,0,3,0,0,0,1,0,0,2,0,0,0,0,25 to 60,55,2,0,0,1,0,2,1,0,0,0,0,0,0,3,1,2,3,0,0,174,0,180,174,3,0,4,3,646977045.561768,128178.538552252
40,40,4,007,BRADFORD,Bradford,FL,626,5,6,59,73,69,76,100,77,84,73,4,0 to 107,57,406,210,10,626,0,0,23,569,34,102,524,0,42,582,0,2,624,13,29,0,0,34,8,0,42,0,2,3,1,5,3,2,6,11,9,0,8 to 107,74,39,3,0,0,0,41,1,3,0,9,0,0,2,42,8,34,42,0,0,582,0,626,582,42,2,66,34,776744615.959412,167178.838252791
41,41,65,129,WAKULLA,Wakulla,FL,246,3,5,22,50,40,48,43,21,10,3,1,0 to 93,45,139,105,2,244,2,0,8,225,13,24,220,2,16,230,0,0,244,13,2,1,0,11,4,0,15,0,0,2,5,1,6,1,1,0,0,0,21 to 65,40,6,9,0,0,0,15,0,5,0,5,0,0,1,16,4,12,15,1,0,229,1,246,230,16,1,41,18,1579533632.64177,279225.038340218
42,42,5,009,BREVARD,Brevard,FL,6276,87,110,363,730,778,936,1391,1190,522,168,1,0 to 103,56,3663,2543,70,6267,9,0,86,6083,107,223,5999,54,226,6045,3,2,6262,187,31,6,2,111,107,0,218,2,5,15,29,31,35,51,30,21,7,0,1 to 94,53,150,43,12,13,34,170,14,67,2,41,2,0,7,226,109,117,218,8,0,6044,1,6276,6045,226,7,206,154,2687643838.87906,793218.333609179
43,43,53,105,POLK,Polk,FL,5593,136,126,421,811,846,917,905,772,455,201,3,0 to 102,49,3204,2248,141,5571,22,0,221,5141,231,367,5115,111,364,5220,2,7,5562,277,81,5,1,202,155,1,358,1,5,13,51,51,64,59,49,43,28,0,3 to 102,54,226,68,43,21,107,216,35,169,3,117,1,0,16,364,157,206,358,6,0,5204,16,5593,5220,364,16,347,177,5206715917.89822,388118.956177661
44,44,49,097,OSCEOLA,Osceola,FL,3986,55,119,320,705,742,737,624,403,207,68,6,0 to 100,45,2270,1701,15,3963,23,0,300,3296,390,464,3364,158,427,3498,1,60,3904,389,28,8,2,209,208,0,417,2,7,31,56,65,91,84,62,26,3,0,0 to 100,50,208,30,164,15,237,129,51,188,5,118,6,1,6,427,215,212,417,10,0,3487,11,3986,3498,427,6,339,75,3899316052.50861,350452.549474464
45,45,28,055,HIGHLANDS,Highlands,FL,639,14,6,38,93,87,97,105,98,74,25,2,0 to 95,53,372,245,22,627,12,0,27,565,47,53,571,15,71,567,1,0,626,57,13,1,0,33,37,0,70,1,1,5,10,5,10,14,12,12,1,0,0 to 85,59,34,20,15,1,23,40,7,33,1,26,1,0,7,71,38,33,70,1,0,556,11,639,567,71,7,67,20,2866885704.30579,296636.719911829
46,46,36,071,LEE,Lee,FL,6878,95,93,457,975,1055,1214,1223,984,568,209,5,0 to 119,51,4069,2712,97,6826,51,1,243,6022,613,601,6148,129,821,6000,2,55,6771,722,64,31,4,401,385,0,786,6,7,53,102,123,130,142,134,87,36,1,1 to 100,54,397,80,24,285,129,370,287,220,12,175,10,1,30,821,406,415,785,35,1,5985,15,6878,6000,821,30,1260,407,2112333669.17714,583283.842331616
47,47,11,021,COLLIER,Collier,FL,4470,65,70,266,560,613,673,743,738,536,203,3,0 to 103,54,2555,1897,18,4304,166,0,190,3924,356,485,3849,136,487,3964,1,18,4285,294,130,47,16,216,208,0,424,6,7,27,64,55,70,94,73,67,24,0,0 to 101,56,300,19,35,70,137,212,75,109,16,68,7,2,11,487,244,243,424,63,0,3861,103,4470,3964,487,11,706,451,5197102107.68439,580181.883282756
48,48,13,025,MIAMI-DADE,Dade,FL,66057,584,800,4381,10802,11089,12751,11352,7666,4027,2117,488,0 to 119,49,34237,30798,1022,65758,298,1,1389,61883,2785,3811,61609,637,10289,55334,164,270,65328,9739,431,113,6,4853,5251,66,10170,37,77,735,1730,1663,2046,1738,1199,675,364,25,0 to 103,49,4436,1290,436,4008,4175,1820,4175,2199,22,1107,11,1,252,10289,5335,4886,10169,119,1,55158,176,66057,55334,10289,252,2091,1388,5114451079.58835,540836.793924443
49,49,44,087,MONROE,Monroe,FL,1035,12,12,55,119,151,191,231,171,71,21,1,0 to 97,54,557,473,5,1002,33,0,217,735,83,123,847,65,73,920,0,42,963,51,14,4,4,31,34,0,65,0,3,6,11,10,13,13,11,6,0,0,6 to 80,51,53,5,0,7,17,41,7,13,3,9,2,0,3,73,38,35,65,8,0,898,22,1035,920,73,3,198,90,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,Santa Rosa,FL,2218,110,108,209,356,372,344,308,225,107,73,6,0 to 102,43,1308,896,14,2214,4,0,53,2066,99,117,2057,44,140,2076,1,1,2212,103,36,1,0,42,97,0,139,2,0,14,20,25,27,20,18,7,7,0,0 to 94,48,102,19,1,17,4,118,17,21,0,20,0,0,6,140,97,43,139,1,0,2073,3,2218,2076,140,6,482,65,2596863920.94926,364280.718031263
51,51,66,131,WALTON,Walton,FL,492,22,11,38,48,81,95,80,71,26,20,0,0 to 97,49,259,216,17,479,13,0,19,458,15,54,409,29,32,459,1,0,478,20,4,6,2,16,8,0,24,0,0,3,4,5,7,4,3,5,1,0,20 to 90,50,23,1,0,0,1,22,1,7,2,5,2,0,0,32,12,20,24,8,0,454,5,492,459,32,0,37,17,2708101782.46999,370154.781284707
52,52,32,063,JACKSON,Jackson,FL,330,8,7,27,50,45,64,56,37,29,7,0,0 to 96,49,189,134,7,322,8,0,18,293,19,25,289,16,11,319,0,0,322,5,5,0,1,8,2,0,10,0,2,1,4,2,1,1,0,0,0,0,11 to 57,33,3,6,0,1,1,8,1,3,0,0,0,0,0,11,3,8,10,1,0,312,7,330,319,11,0,32,13,2452499072.79567,223828.324060307
53,53,67,133,WASHINGTON,Washington,FL,251,1,1,8,23,38,49,54,45,23,9,0,3 to 103,55,148,86,17,250,1,0,28,214,9,32,211,8,10,240,0,1,249,5,5,0,0,5,5,0,10,0,0,0,3,0,3,4,0,0,0,0,25 to 62,54,10,0,0,0,0,10,0,0,0,1,0,0,0,10,5,5,10,0,0,239,1,251,240,10,0,28,15,1594396648.51196,243766.072259733
54,54,45,089,NASSAU,Nassau,FL,1183,15,16,100,157,175,185,204,149,114,68,0,0 to 103,51,615,394,174,1141,42,0,26,1129,28,33,1128,22,46,1137,0,0,1141,36,8,0,2,26,18,0,44,0,0,5,6,7,6,7,10,4,1,0,20 to 89,50,29,6,1,8,0,35,9,16,0,10,0,0,0,46,19,27,44,2,0,1097,40,1183,1137,46,0,22,19,1641620662.32831,388721.737801268
55,55,22,043,GLADES,Glades,FL,45,1,1,3,9,6,6,8,4,4,3,0,1 to 90,50,22,23,0,45,0,0,2,40,3,5,40,0,5,40,0,0,45,3,2,0,0,2,3,0,5,0,0,0,1,0,0,1,1,1,1,0,30 to 89,67,2,3,0,0,0,4,1,3,0,3,0,0,1,5,3,2,5,0,0,40,0,45,40,5,1,14,3,2551976411.00452,236757.936928168
56,56,8,015,CHARLOTTE,Charlotte,FL,1463,15,14,79,147,165,201,272,269,187,112,2,0 to 98,58,856,581,26,1447,16,0,68,1333,62,112,1339,12,154,1301,2,6,1440,85,68,0,1,91,62,0,153,0,0,5,14,5,17,29,34,25,25,0,15 to 96,68,109,18,4,22,4,116,33,26,0,29,0,0,11,154,63,91,153,1,0,1287,14,1463,1301,154,11,79,61,1825525431.11919,398247.923422686
57,57,58,115,SARASOTA,Sarasota,FL,3706,42,61,207,377,436,520,647,635,468,310,3,0 to 115,58,2124,1514,68,3597,109,0,353,3163,190,550,3075,81,302,3401,1,2,3594,244,42,10,6,162,124,0,286,2,1,11,27,27,41,46,63,51,33,0,0 to 102,64,232,14,25,15,36,220,30,124,11,99,8,0,31,302,134,168,286,16,0,3308,93,3706,3401,302,31,221,116,1509311882.53409,264158.506465067
58,58,14,027,DESOTO,Desoto,FL,447,12,4,19,65,61,71,76,68,48,22,1,0 to 93,53,227,182,38,445,2,0,8,391,48,84,360,3,24,422,0,1,444,18,6,0,0,9,15,0,24,0,0,0,5,1,3,7,3,3,2,0,27 to 92,60,19,1,0,4,5,12,7,9,0,8,0,0,4,24,15,9,24,0,0,420,2,447,422,24,4,3,0,1654926851.96404,168390.780925558
59,59,18,035,FLAGLER,Flagler,FL,1069,11,9,56,122,158,151,212,215,107,27,1,0 to 98,56,599,431,39,1061,8,0,23,1009,37,63,973,33,78,990,1,0,1060,57,17,4,0,42,32,0,74,0,0,2,9,10,8,25,19,5,0,0,17 to 77,59,54,8,10,2,12,60,2,12,2,8,2,0,2,78,33,45,74,4,0,986,4,1069,990,78,2,57,27,1294754947.55994,220559.838719988
