Report Date,FIPS,Locality,Health District,Total Cases
3/31/2020,51101,King William,Three Rivers,1
3/31/2020,51103,Lancaster,Three Rivers,1
3/31/2020,51107,Loudoun,Loudoun,87
3/31/2020,51117,Mecklenburg,Southside,4
3/31/2020,51121,Montgomery,New River,1
3/31/2020,51125,Nelson,Thomas Jefferson,2
3/31/2020,51135,Nottoway,Piedmont,1
3/31/2020,51137,Orange,Rappahannock Rapidan,2
3/31/2020,51139,Page,Lord Fairfax,1
3/31/2020,51147,Prince Edward,Piedmont,2
3/31/2020,51157,Rappahannock,Rappahannock Rapidan,0
3/31/2020,51159,Richmond County,Three Rivers,0
3/31/2020,51161,Roanoke County,Alleghany,3
3/31/2020,51169,Scott,Lenowisco,0
3/31/2020,51171,Shenandoah,Lord Fairfax,7
3/31/2020,51173,Smyth,Mount Rogers,1
3/31/2020,51175,Southampton,Western Tidewater,1
3/31/2020,51177,Spotsylvania,Rappahannock,7
3/31/2020,51179,Stafford,Rappahannock,24
3/31/2020,51181,Surry,Crater,1
3/31/2020,51183,Sussex,Crater,0
3/31/2020,51191,Washington,Mount Rogers,2
3/31/2020,51195,Wise,Lenowisco,0
3/31/2020,51530,Buena Vista City,Central Shenandoah,0
3/31/2020,51540,Charlottesville,Thomas Jefferson,14
3/31/2020,51570,Colonial Heights,Chesterfield,0
3/31/2020,51580,Covington,Alleghany,0
3/31/2020,51595,Emporia,Crater,0
3/31/2020,51610,Falls Church,Fairfax,0
3/31/2020,51630,Fredericksburg,Rappahannock,1
3/31/2020,51640,Galax,Mount Rogers,1
3/31/2020,51650,Hampton,Hampton,13
3/31/2020,51670,Hopewell,Crater,4
3/31/2020,51678,Lexington,Central Shenandoah,0
3/31/2020,51683,Manassas City,Prince William,8
3/31/2020,51720,Norton,Lenowisco,0
3/31/2020,51730,Petersburg,Crater,2
3/31/2020,51735,Poquoson,Peninsula,2
3/31/2020,51740,Portsmouth,Portsmouth,12
3/31/2020,51750,Radford,New River,1
3/31/2020,51760,Richmond City,Richmond,26
3/31/2020,51770,Roanoke City,Roanoke,6
3/31/2020,51790,Staunton,Central Shenandoah,0
3/31/2020,51800,Suffolk,Western Tidewater,4
3/31/2020,51810,Virginia Beach,Virginia Beach,65
