"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","recovered"
"Marin","4/18/2020 17:33:41","189","10","https://coronavirus.marinhhs.org/surveillance","They sometimes miss our cutoff for reporting sat EOD because they post updates late, so day-to-day change might be off.","2644","","","","138"
"Mariposa","4/18/2020 17:05:14","0","0","https://www.mariposacounty.org/1592/COVID-19-Information","These numbers do not include additional testing through the commercial lab system, hospitals and clinics. Although Mariposa County Public Health does not receive information on the number of tests sent through those systems, Public Health is notified of all positive result tests.","90","1","89","0",""
"Mendocino","4/17/2020 17:55:29","4","0","https://www.mendocinocounty.org/community/novel-coronavirus","","492","14","474","4",""
"Merced","4/18/2020 17:06:06","85","3","http://www.co.merced.ca.us/3362/Coronavirus-Media","","","","","","28"
"Modoc","4/17/2020 14:42:45","0","0","https://www.modocsheriff.us/modoc-covid-19-incident-updates","they weirdly link to the sheriff instead of the public health department","65","9","56","0",""
"Mono","4/17/2020 17:56:19","23","1","https://coronavirus.monocounty.ca.gov/","Their numbers are reported on the Inyo county page.","141","","121","23",""
"Monterey","4/18/2020 17:08:43","136","3","https://www.co.monterey.ca.us/government/departments-a-h/health/diseases/2019-novel-coronavirus-2019-ncov/2019-novel-coronavirus-2019-ncov-local-data","Number of tests only updated on Mondays, according to their site. Total number of tests only results received.","2290","","","","24"
"Napa","4/18/2020 17:09:31","47","2","https://legacy.livestories.com/s/v2/coronavirus-report-for-napa-county-ca/9065d62d-f5a6-445f-b2a9-b7cf30b846dd/","Napa has some competing info on different sites, so be careful.","1006","212","747","47",""
"Nevada","4/17/2020 17:56:37","36","1","https://www.mynevadacounty.com/2956/COVID-19-Cases-in-Nevada-County","","","","","",""
"Orange","4/18/2020 17:10:37","1556","32","https://occovid19.ochealthinfo.com/coronavirus-in-oc","","17616","","","",""
"Placer","4/18/2020 17:11:23","131","8","https://www.placer.ca.gov/6448/Cases-in-Placer","","","","3196","",""
"Plumas","4/17/2020 17:57:22","4","0","https://www.plumascounty.us/2669/Novel-Coronavirus-2019","positive cases updated, but not testing results","352","11","337","4","3"
"Riverside","4/18/2020 17:12:30","2602","74","https://www.rivcoph.org/coronavirus","","32779","","","","610"
"Sacramento","4/18/2020 17:13:14","914","33","https://www.saccounty.net/COVID-19/Pages/default.aspx","","","","","",""
"San Benito","4/18/2020 17:14:14","44","2","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","686","34","608","44","40"
"San Bernardino","4/18/2020 17:14:52","1219","57","http://wp.sbcounty.gov/dph/coronavirus/","","12472","","","",""
"San Diego","4/18/2020 17:15:46","2213","71","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","31639","","","",""
"San Francisco","4/18/2020 17:16:59","1137","20","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","10007","","","",""
"San Joaquin","4/18/2020 17:17:18","410","17","http://www.sjcphs.org/","","","","","",""
"San Luis Obispo","4/18/2020 17:18:19","131","1","https://www.emergencyslo.org/en/positive-case-details.aspx","Testing numbers don't include private labs positives or negatives.","833","","785","48","110"
"San Mateo","4/18/2020 17:20:14","838","28","https://www.smchealth.org/coronavirus","Their portal says it was updated on the previous day, but the numbers aren't reported until the next day. So, for example, it says ""data last updated April 8th"" but those numbers are reported on the 9th.","8029","168","7058","803",""
"Santa Barbara","4/18/2020 17:21:44","385","4","https://publichealthsbc.org/","","2110","","1722","385","170"
"Santa Clara","4/17/2020 18:01:51","1870","73","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","17774","244","15008","1833",""
"Santa Cruz","4/18/2020 17:22:44","101","2","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","2622","","48"
"Shasta","4/18/2020 17:24:11","26","3","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","953","26","13"
"Sierra","4/17/2020 15:09:24","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","13","0","13","0",""
"Siskiyou","4/18/2020 17:26:08","5","0","https://www.co.siskiyou.ca.us/publichealth","","215","8","202","5","4"
"Solano","4/17/2020 18:04:12","169","2","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","2324","","","",""
"Sonoma","4/18/2020 17:27:01","180","2","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","4346","","","","87"
"Stanislaus","4/18/2020 17:27:31","206","4","http://schsa.org/publichealth/pages/corona-virus/","","","","2974","","92"
"Sutter","4/18/2020 17:28:33","25","2","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Testing is reported together, so I'm placing it in sutter/","1192","158","","","13"
"Tehama","4/18/2020 17:28:54","1","0","https://www.tehamacohealthservices.net/","","","","175","",""
"Trinity","4/17/2020 18:05:37","0","0","https://www.trinitycounty.org/Public-Health","","58","","58","",""
"Tulare","4/18/2020 17:29:57","397","17","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","39"
"Tuolumne","4/17/2020 18:06:17","1","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","425","17","406","2",""
"Ventura","4/18/2020 17:31:03","416","13","https://www.vcemergency.com/","","7207","","","","207"
"Yolo","4/17/2020 18:06:40","126","8","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","1317","","","",""
"Yuba","4/18/2020 17:32:39","16","1","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","11"
