OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
24,24,42,083,MARION,Marion,FL,4035,59,54,274,471,534,626,732,689,406,187,3,0 to 119,54,2455,1541,39,4026,9,0,504,3338,177,422,86,151,3682,2,200,3825,128,20,3,0,82,66,0,148,1,1,7,22,27,31,35,17,6,4,0,2 to 96,51,113,23,11,1,24,122,2,29,2,20,0,0,4,151,67,84,148,3,0,3677,5,4035,3682,151,4,212,114,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,Volusia,FL,7771,77,131,432,834,886,1250,1627,1482,707,330,15,0 to 117,56,4171,3178,422,7738,33,0,121,7310,230,395,121,434,7333,3,1,7734,327,97,9,1,176,248,0,424,1,4,23,58,60,81,70,78,29,29,1,1 to 102,53,239,52,73,60,44,267,113,102,5,74,4,0,17,434,252,182,424,10,0,7310,23,7771,7333,434,17,428,179,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,Dixie,FL,191,6,4,18,18,33,29,28,35,15,4,1,0 to 90,51,108,81,2,191,0,0,8,176,6,14,0,5,185,0,1,190,4,1,0,0,4,1,0,5,0,0,1,0,1,1,0,1,0,1,0,24 to 86,53,1,3,0,1,0,4,1,5,0,2,0,0,0,5,1,4,5,0,0,185,0,191,185,5,0,24,17,1823798262.39212,235232.973119088
27,27,35,069,LAKE,Lake,FL,4988,119,112,326,607,631,795,860,769,580,182,7,0 to 101,53,2756,2109,123,4923,65,0,84,4640,222,237,79,222,4751,1,14,4908,194,16,12,0,107,103,0,210,1,7,12,23,33,41,34,38,31,2,0,1 to 86,52,104,27,68,11,62,132,16,92,10,54,4,1,10,222,110,112,210,12,0,4698,53,4988,4751,222,10,283,103,2995995460.71371,331014.242454318
28,28,38,075,LEVY,Levy,FL,506,12,14,50,76,64,76,97,63,34,19,1,0 to 118,50,319,178,9,506,0,0,13,474,16,36,2,13,493,0,0,506,11,2,0,0,9,4,0,13,0,0,1,1,4,2,3,0,1,1,0,16 to 93,48,7,3,1,2,2,9,2,5,0,2,0,0,0,13,4,9,13,0,0,493,0,506,493,13,0,37,23,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,Sumter,FL,1762,16,15,49,82,74,151,244,700,387,42,2,0 to 96,69,910,773,79,1755,7,0,95,1502,164,177,52,171,1567,0,24,1731,128,43,0,0,61,109,1,171,0,0,5,4,14,26,30,56,31,5,0,17 to 92,66,149,13,2,7,9,154,8,51,0,39,0,0,12,171,109,61,171,0,0,1560,7,1762,1567,171,12,48,39,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,Seminole,FL,5539,97,122,456,895,965,1005,888,712,252,144,3,0 to 118,47,3209,2287,43,5529,10,0,180,5096,246,332,90,357,5175,3,4,5522,313,38,6,0,185,166,0,351,3,5,33,65,52,67,45,52,20,15,0,1 to 100,48,250,43,41,17,128,199,24,153,5,79,1,0,8,357,168,189,351,6,0,5171,4,5539,5175,357,8,384,151,893350621.597626,158549.770327082
31,31,48,095,ORANGE,Orange,FL,22351,552,638,1912,3796,4025,4061,3672,2269,1013,400,13,0 to 120,45,12454,9803,94,21948,402,1,465,21204,585,870,300,1322,21012,3,14,21932,1163,97,58,4,608,650,2,1260,19,18,136,222,244,276,211,109,62,25,0,0 to 101,45,584,168,362,146,421,463,376,445,35,229,30,2,30,1322,685,635,1259,62,1,20672,340,22351,21012,1322,30,577,380,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,Citrus,FL,1520,21,32,92,182,181,219,269,276,172,72,4,0 to 98,56,828,527,165,1516,4,0,39,1349,119,161,24,97,1421,1,1,1514,44,53,0,0,49,48,0,97,2,4,6,8,6,14,24,15,12,6,0,0 to 93,58,64,1,8,24,10,64,23,26,0,25,0,0,11,97,48,49,97,0,0,1417,4,1520,1421,97,11,343,80,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,Hernando,FL,1549,24,24,107,229,219,260,277,223,136,49,1,0 to 97,51,890,650,9,1533,16,0,51,1430,66,117,37,88,1461,0,0,1533,45,37,5,1,41,41,0,82,1,2,4,17,12,13,17,15,6,1,0,1 to 85,49,54,5,3,20,12,35,35,29,2,20,2,1,3,88,43,45,82,6,0,1451,10,1549,1461,88,3,48,31,1259956856.20596,200494.167365377
