OBJECTID,CNTYNAME,CNTYFIPS,ADPHDistrict,CONFIRMED,DIED,Shape__Area,Shape__Length,GlobalID,LabTestCount
27401,Marengo,01091,Southwestern,41,3,0.243586589216875,2.64368581241414,5f1b532d-c2f2-4ebb-97eb-3e3465c6c62e,397
27402,Tuscaloosa,01125,West Central,192,0,0.338742577944004,2.90058009044742,aeec349f-ff76-41c3-8e98-3851a1671fdf,3144
27403,Morgan,01103,Northern,64,0,0.152203319983528,1.80617511452274,aeca2267-fe4f-4452-8e6b-8dd418c83cfb,1175
27404,Shelby,01117,Northeastern,311,9,0.202879219246825,2.52559193618872,c7767db7-ea72-4684-a7ce-f7c9d5cc798f,3282
27405,St. Clair,01115,Northeastern,64,0,0.164611790120262,2.46182521198285,1c545836-5738-4243-8415-6f4804641ffb,934
27406,Clay,01027,Northeastern,19,1,0.151874743437702,2.02332180215824,3b35a84a-761b-4d5c-93c4-87f85525eaf4,209
27407,Lauderdale,01077,Northern,31,2,0.184043571131042,2.55716948814366,1de1b78d-891b-4308-9094-31bea438571c,1298
27408,Dallas,01047,Southwestern,33,2,0.246497505086154,3.13752996820932,57e910b4-fbf2-4e4c-a303-d91905ad73b1,439
27409,Lee,01081,East Central,365,24,0.153274187500529,2.0496448391292,7d7a2eea-74d3-4246-a3ed-43e0becd68b6,2599
27410,Perry,01105,West Central,9,0,0.18021159047953,2.14838023913143,5f5b8e0b-194b-4ad7-99b5-26be3f830311,199
27411,Walker,01127,West Central,92,0,0.20307720239839,2.39750884765462,6a18687b-a1de-4f34-bbe6-e7f22939c6c5,768
27412,Bullock,01011,East Central,12,0,0.154671563531792,2.06480197165101,f77166d4-8be0-4815-a708-5803ec39ecc0,90
27413,Butler,01013,Southeastern,32,1,0.191776547733298,1.83587954870993,8b8c9f71-e98a-4e7f-a82d-9f81e35e1606,207
27414,Cleburne,01029,Northeastern,12,1,0.141259985723536,2.17578212063938,96221320-99cd-4f6f-bc65-8d69b8cf2524,76
27415,Mobile,01097,Mobile,917,41,0.307697348295278,4.83629332281426,f9eeced7-0810-4b18-a85a-1c946dd28539,6599
27416,Monroe,01099,Southwestern,12,1,0.254517578378227,2.83753802882174,afad835f-b8de-4ac7-8d43-fe420c8a46d5,153
27417,Talladega,01121,Northeastern,57,2,0.190828489604655,2.7296175303427,c6fd9e0f-ebc2-4dbe-aaf4-92f3c455149a,1000
27418,Barbour,01005,Southeastern,33,0,0.223267704174077,2.69097505269632,ffe41b3a-7898-4f31-bf55-40d55e21c680,248
27419,Chilton,01021,West Central,51,1,0.174837510280213,2.09165532433194,a15a5214-723e-48b3-a5a5-87625c4d82cc,486
27420,Etowah,01055,Northeastern,125,8,0.138757597037284,2.10053621990475,327854d7-6f0c-4fdd-8d2f-458f9524fb93,1061
27421,Randolph,01111,Northeastern,60,4,0.14646191250813,1.58584516900329,9fd3c9cf-1917-48ba-8ef7-6cc5e6ec734c,258
27422,Limestone,01083,Northern,41,0,0.155003206122046,1.71814668265853,b1e6b0e4-a4f6-41f1-8e63-2553740691d8,990
27423,Winston,01133,Northern,11,0,0.159972008442992,1.68720534678178,337cab9d-3fc5-4ce7-b449-2c89b004e5e6,313
27424,Henry,01067,Southeastern,22,1,0.139761467476774,1.63725823418183,baa9d226-871e-4e90-807f-493282da2fba,158
27425,Tallapoosa,01123,East Central,274,17,0.191182308914904,2.16459004269042,dd8b4a54-7604-4116-bb60-9374803ad24d,1277
27426,Bibb,01007,West Central,38,0,0.156476914356972,1.8951692775798,4df69502-3111-4324-bb31-6bfed9e1be1e,506
27427,Coffee,01031,Southeastern,95,0,0.167143203828118,1.67989540600381,e2c92d33-31e5-4d6f-9d6e-0a182d1ef197,605
27428,DeKalb,01049,Northeastern,70,2,0.197848401841384,2.21695752803772,4af43fae-cf82-4905-ab7a-fa8dc82f98e0,876
27429,Geneva,01061,Southeastern,8,0,0.141768015065281,1.83488097279248,3a425eed-d26f-46d0-abb3-7c4dee51b082,156
