ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
45,45,28,055,HIGHLANDS,Highlands,FL,3773,56,58,178,386,335,439,601,718,624,358,20,0 to 119,62,2293,1443,37,3708,65,0,60,3536,47,196,21,206,3562,0,5,3703,171,33,2,0,107,97,0,204,4,9,19,28,27,32,40,24,19,4,0,0 to 91,50,127,41,28,8,81,109,14,54,1,47,1,0,9,206,99,107,204,2,0,6121,63,6393,6184,206,9,260,145,56,2.84124660964211,0.261466143584495
46,46,36,071,LEE,Lee,FL,26935,314,410,1867,3121,3302,3788,4594,4815,3212,1451,61,0 to 119,56,15518,11187,230,25978,956,1,579,23969,613,2520,172,3475,23437,1,22,25956,3228,164,78,5,1794,1593,5,3392,46,86,407,567,534,538,467,350,255,225,0,0 to 101,46,2027,489,98,778,1096,1495,801,811,15,517,13,4,139,3475,1639,1829,3391,83,1,41631,873,45989,42504,3475,139,2504,895,54,5.53875412350018,0.191375285005442
47,47,11,021,COLLIER,Collier,FL,16125,339,580,1370,1809,1982,2098,2435,2710,2087,691,24,0 to 105,54,8694,7363,68,15768,357,0,422,13433,356,2462,163,2992,13062,3,68,15697,2621,293,62,16,1415,1496,3,2914,84,168,442,469,522,428,377,235,183,84,0,0 to 101,41,1670,157,265,822,1537,706,671,423,20,288,11,6,61,2992,1542,1447,2914,78,0,24418,279,27698,24697,2992,61,2920,1930,57,5.51085434088275,0.469024646004233
48,48,13,025,DADE,Dade,FL,161093,1727,2515,12199,25524,25603,29339,27727,18898,10747,6203,611,0 to 225,49,84134,75790,1169,159652,1440,1,3932,145374,2785,16457,990,24376,136478,102,137,159415,23087,817,463,9,11883,12002,19,23904,207,409,2179,4163,3899,4427,3776,2491,1580,1233,12,0 to 108,48,12910,3746,1183,6065,12910,4966,6028,5942,46,3642,31,15,864,24376,12251,12102,23903,472,1,224798,967,250352,225765,24376,864,4051,3310,49,5.08399988470576,0.459639407492568
49,49,44,087,MONROE,Monroe,FL,3570,27,55,219,427,476,611,778,576,291,108,2,0 to 101,54,1888,1673,9,3493,77,0,1197,1995,83,786,119,150,3308,0,112,3390,118,20,8,4,65,73,0,138,0,6,8,16,19,23,24,25,17,12,0,5 to 100,55,103,6,1,28,34,71,33,19,3,13,2,0,4,150,80,70,138,12,0,4297,55,4502,4352,150,4,484,206,49,13.2628040836788,0.235931608548315
50,50,57,113,SANTA ROSA,Santa Rosa,FL,7000,228,264,559,922,981,1049,1159,1047,543,238,10,0 to 119,50,3836,3137,27,6933,67,0,94,6629,99,278,69,330,6666,1,3,6929,285,40,5,0,114,211,0,325,4,3,52,57,58,59,42,34,12,9,0,0 to 98,42,241,44,6,34,20,250,55,28,0,26,0,0,9,330,212,118,325,5,0,10742,62,11136,10804,330,9,766,222,49,3.552029247735,0.244558859494853
51,51,66,131,WALTON,Walton,FL,1655,52,40,104,172,211,244,291,248,158,132,3,0 to 101,55,918,700,37,1593,62,0,30,1503,15,187,42,165,1490,0,0,1593,120,23,19,3,80,63,0,143,5,9,15,20,28,19,31,19,13,6,0,0 to 101,47,130,10,1,2,37,102,4,26,5,20,2,0,9,165,72,93,143,22,0,2594,40,2803,2634,165,9,123,68,49,3.60138877830291,0.254870622087333
52,52,32,063,JACKSON,Jackson,FL,3030,25,33,244,515,522,528,478,308,231,140,6,0 to 105,48,1362,1574,94,3007,23,0,18,2616,19,310,26,329,2697,1,3,3003,282,38,8,1,72,248,0,320,2,7,30,77,78,62,52,14,6,1,0,0 to 87,40,132,133,20,35,29,184,107,40,2,25,0,0,2,329,252,77,320,9,0,4250,14,4602,4264,329,2,409,209,36,2.21646510608254,0.231093280808265
53,53,67,133,WASHINGTON,Washington,FL,906,12,16,55,95,110,142,195,127,99,55,0,0 to 119,56,537,346,23,900,6,0,30,749,9,127,14,96,809,0,1,899,75,19,2,0,49,44,1,94,0,2,5,9,9,10,22,16,16,7,0,9 to 99,59,66,18,1,9,1,83,10,8,0,19,0,0,11,96,44,51,94,2,0,1513,4,1614,1517,96,11,131,74,54,2.37953061790718,0.14998158443965
54,54,45,089,NASSAU,Nassau,FL,3253,46,52,227,330,371,447,624,599,382,171,4,0 to 103,57,1752,1306,195,3144,109,0,46,3137,28,74,32,101,3151,0,1,3143,79,14,6,2,46,47,0,93,2,1,14,19,17,12,11,15,7,3,0,1 to 89,44,72,14,2,5,1,87,5,28,1,16,0,0,1,101,50,51,93,8,0,5319,101,5522,5420,101,1,90,84,49,3.75942130773243,0.154419685909309
