OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
14,14,24,047,HAMILTON,2000-05-16T00:00:00.000Z,14477960107.7779,763034.416582444,24,Hamilton,FL,14,24,47,75,1,1,11,10,11,7,15,10,7,2,0,0 to 93,50,40,29,6,73,2,0,8,61,12,2,2,72,0,1,73,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,56 to 62,59,2,0,0,0,0,2,0,1,0,0,0,0,0,2,0,2,2,0,0,71,1,75,72,2,0,2,0,1344926537.82205,232510.619937192
15,15,3,005,BAY,2000-05-16T00:00:00.000Z,20842319162.9517,1834701.30277606,3,Bay,FL,15,3,5,610,7,11,45,90,94,133,102,75,39,14,0,0 to 99,49,318,244,48,608,2,0,27,563,46,27,38,572,0,0,608,16,21,0,37,0,0,2,7,7,10,5,6,0,1,0,21 to 93,47,24,5,3,5,6,24,7,13,1,5,1,0,1,38,22,16,37,1,0,571,1,610,572,38,1,31,28,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,449,18,23,34,55,73,61,91,60,24,7,3,0 to 118,48,240,189,20,444,5,0,107,306,89,17,27,415,0,7,439,14,12,0,26,1,0,2,5,2,3,10,3,1,0,0,1 to 76,57,21,3,1,1,4,20,2,0,0,4,0,0,0,27,13,14,26,1,0,413,2,449,415,27,0,8,7,2068684690.43686,276060.430857214
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,235,6,6,24,38,28,43,33,21,23,13,0,0 to 99,49,148,71,16,232,3,0,15,204,50,3,17,218,0,0,232,10,7,0,17,0,0,1,1,0,0,4,4,4,3,0,24 to 97,71,15,1,1,0,0,17,0,4,0,7,0,0,2,17,7,10,17,0,0,215,3,235,218,17,2,1,0,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,93,4,3,8,13,12,19,13,14,5,1,1,0 to 100,48,53,28,12,92,1,0,0,93,3,1,2,86,0,5,87,0,2,0,2,0,0,0,1,1,0,0,0,0,0,0,27 to 39,33,2,0,0,0,0,2,0,2,0,0,0,0,0,2,2,0,2,0,0,85,1,93,86,2,0,3,3,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,1178,17,12,62,115,147,191,240,207,132,55,0,0 to 99,56,660,489,29,1171,7,0,67,1060,83,49,129,1042,0,7,1164,51,70,1,122,0,0,6,11,7,20,35,18,26,6,0,19 to 92,61,93,2,7,20,10,91,21,38,2,28,1,0,3,129,75,53,122,7,0,1042,0,1178,1042,129,3,59,52,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,12448,328,292,1149,2272,2162,2057,1898,1333,647,302,8,0 to 119,45,7392,4986,70,12312,136,0,352,11750,438,237,813,11604,26,5,12282,385,389,2,776,9,20,96,134,138,154,129,77,37,19,0,0 to 100,45,384,125,168,99,221,429,126,216,5,127,2,1,16,813,405,406,776,37,0,11506,98,12448,11604,813,16,654,330,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,1759,27,34,119,230,256,300,322,244,163,63,1,0 to 100,52,1055,667,37,1743,16,0,124,1586,155,25,252,1504,1,2,1740,133,115,3,251,0,2,11,26,31,46,39,45,44,8,0,14 to 91,57,158,34,15,44,12,161,78,35,1,48,1,0,15,252,116,133,251,1,0,1489,15,1759,1504,252,15,182,102,1945653927.12581,371198.171414394
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,2167,27,50,154,296,408,431,362,255,131,45,8,0 to 99,48,1208,839,120,2163,4,0,64,2013,187,39,165,1998,1,3,2159,97,67,0,164,0,0,8,11,22,28,32,31,22,11,0,18 to 95,59,89,29,15,31,14,117,33,52,0,38,0,0,9,165,68,97,164,1,0,1995,3,2167,1998,165,9,47,31,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,77,2,1,9,17,8,11,13,12,3,1,0,0 to 89,47,43,32,2,74,3,0,2,73,3,2,3,74,0,0,74,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,39 to 73,71,1,0,0,0,0,1,0,0,2,0,2,0,0,3,1,2,1,2,0,73,1,77,74,3,0,0,0,1653184151.65315,165534.73009074
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,2209,36,33,171,256,312,356,397,384,187,75,2,0 to 119,53,1332,843,34,2203,6,0,328,1759,141,76,101,1873,3,232,1969,54,44,0,98,1,0,4,14,20,24,23,11,3,1,0,2 to 88,49,75,14,9,0,18,80,0,24,2,13,0,0,3,101,45,56,98,3,0,1871,2,2209,1873,101,3,125,87,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,2634,49,40,139,343,368,418,500,462,220,91,4,0 to 101,54,1564,1049,21,2616,18,0,98,2402,173,102,216,2412,3,3,2610,106,101,0,207,1,1,13,32,28,32,30,51,20,8,0,1 to 92,55,131,23,35,18,22,141,44,65,5,45,4,0,7,216,105,111,207,9,0,2403,9,2634,2412,216,7,336,165,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,115,3,4,10,13,24,14,14,24,6,2,1,0 to 86,47,65,49,1,115,0,0,7,108,8,0,2,112,0,1,114,1,1,0,2,0,0,1,0,0,0,0,1,0,0,0,24 to 66,45,0,2,0,0,0,1,1,2,0,1,0,0,0,2,1,1,2,0,0,112,0,115,112,2,0,9,9,1823798262.39212,235232.973119088
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,2946,85,57,210,414,388,488,475,410,324,92,3,0 to 101,51,1683,1228,35,2924,22,0,73,2717,153,67,162,2763,3,18,2903,80,75,0,155,0,3,5,13,24,30,29,30,27,1,0,11 to 86,56,73,16,47,19,40,93,22,74,7,41,2,0,4,162,79,83,155,7,0,2748,15,2946,2763,162,4,241,174,2995995460.71371,331014.242454318
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,294,6,10,30,46,42,40,49,40,23,8,0,0 to 118,48,191,100,3,294,0,0,9,281,22,1,7,287,0,0,294,4,3,0,7,0,0,0,1,1,1,3,0,0,1,0,33 to 93,57,3,2,0,2,0,5,2,2,0,1,0,0,0,7,3,4,7,0,0,287,0,294,287,7,0,10,9,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,2000-05-16T00:00:00.000Z,16171035313.1481,751914.035739446,60,Sumter,FL,29,60,119,1229,13,12,35,58,50,100,178,491,264,27,1,0 to 96,69,677,497,55,1229,0,0,88,1033,117,48,112,1090,1,26,1202,52,60,0,112,0,0,2,2,6,10,17,43,28,4,0,18 to 92,68,93,1,1,17,3,91,18,39,0,27,0,0,9,112,60,52,112,0,0,1090,0,1229,1090,112,9,46,41,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,2000-05-16T00:00:00.000Z,9616121249.97192,520365.445917892,57,Seminole,FL,30,59,117,3261,65,73,287,578,615,575,472,384,120,91,1,0 to 104,45,1964,1273,24,3251,10,0,147,2934,220,83,268,2973,9,11,3231,139,123,0,262,0,2,24,44,36,59,39,45,10,9,0,6 to 100,49,193,33,32,4,99,153,10,125,4,65,1,0,2,268,125,143,262,6,0,2969,4,3261,2973,268,2,375,220,893350621.597626,158549.770327082
31,31,48,095,ORANGE,2000-05-16T00:00:00.000Z,28006104673.618,903213.715428867,48,Orange,FL,31,48,95,11961,375,299,1040,2163,2218,2111,1808,1140,557,247,3,0 to 101,44,6903,5007,51,11730,230,1,341,11289,472,196,1024,10875,40,22,11669,454,509,5,968,11,11,96,167,198,221,161,88,50,21,0,0 to 101,46,430,116,255,167,203,305,460,276,21,139,18,1,13,1024,540,479,967,56,1,10701,174,11961,10875,1024,13,572,409,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,2000-05-16T00:00:00.000Z,16847060705.6176,796979.404269785,9,Citrus,FL,32,9,17,1022,15,22,62,127,130,143,181,185,108,45,4,0 to 97,56,568,338,116,1019,3,0,35,911,131,21,72,942,3,5,1011,36,36,0,72,0,1,4,5,6,8,22,12,10,4,0,12 to 88,60,39,0,1,32,4,39,29,21,0,21,0,0,7,72,36,36,72,0,0,939,3,1022,942,72,7,242,125,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,2000-05-16T00:00:00.000Z,13561044546.5447,658252.887531729,27,Hernando,FL,33,27,53,1099,17,16,81,163,162,181,202,156,88,32,1,0 to 97,50,657,435,7,1086,13,0,44,999,98,35,71,1027,0,1,1085,33,34,0,67,0,0,4,17,7,10,15,13,4,1,0,18 to 85,49,39,3,3,22,8,26,33,22,2,13,2,0,2,71,35,36,67,4,0,1018,9,1099,1027,71,2,29,19,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,2000-05-16T00:00:00.000Z,8169203571.8812,1167816.84045851,52,Pinellas,FL,34,52,103,9055,135,139,599,1342,1277,1503,1651,1329,716,347,17,0 to 105,52,5367,3662,26,8919,136,0,582,8225,668,292,479,8498,9,69,8842,217,225,0,442,1,4,39,74,50,91,97,77,32,14,0,1 to 98,53,314,57,22,49,38,342,62,127,15,78,14,1,13,479,248,231,442,37,0,8400,98,9055,8498,479,13,307,234,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,2000-05-16T00:00:00.000Z,19295996990.3474,731987.008657942,61,Suwannee,FL,35,61,121,354,10,4,27,56,46,53,58,55,30,15,0,0 to 118,52,245,96,13,354,0,0,42,241,87,4,68,286,0,0,354,51,17,0,68,0,1,8,10,8,6,11,11,8,5,0,5 to 90,56,44,21,0,3,4,60,4,11,0,14,0,0,1,68,17,51,68,0,0,286,0,354,286,68,1,7,5,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,2000-05-16T00:00:00.000Z,22997044775.8865,1114099.40129032,16,Duval,FL,36,16,31,13306,204,239,1087,2597,2369,2236,2114,1355,664,417,24,0 to 118,45,7495,5076,735,13256,50,0,268,12724,230,46,691,12525,11,79,13166,349,307,21,677,4,8,59,117,112,112,128,76,48,25,2,1 to 97,50,151,109,29,388,15,253,409,81,4,63,3,0,13,691,314,353,677,14,0,12489,36,13306,12525,691,13,482,434,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,2000-05-16T00:00:00.000Z,15264572234.9149,634013.230316393,34,Lafayette,FL,37,34,67,39,2,0,3,4,10,3,3,5,4,5,0,0 to 118,45,20,18,1,39,0,0,4,35,7,0,1,38,0,0,39,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,38,0,39,38,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,2000-05-16T00:00:00.000Z,15857514470.4584,850272.421627332,23,Gulf,FL,38,23,45,92,3,3,5,15,11,16,16,14,8,1,0,1 to 91,50,54,37,1,90,2,0,15,76,24,8,1,91,0,0,90,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,89,2,92,91,1,0,5,2,1469866107.27026,258929.917930346
39,39,63,125,UNION,2000-05-16T00:00:00.000Z,6963394478.96307,420643.595360959,63,Union,FL,39,63,125,125,4,2,7,18,32,21,15,16,6,4,0,1 to 118,44,66,55,4,125,0,0,10,111,12,4,2,121,0,2,123,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,1,0,1,1,0,0,0,0,0,0,2,1,1,2,0,0,121,0,125,121,2,0,4,3,646977045.561768,128178.538552252
40,40,4,007,BRADFORD,2000-05-16T00:00:00.000Z,8359862626.37378,548326.687246681,4,Bradford,FL,40,4,7,307,4,4,22,34,31,40,44,40,52,34,2,0 to 100,59,191,106,10,307,0,0,17,256,69,0,30,263,0,14,293,25,5,0,30,0,2,2,0,5,0,2,6,7,6,0,8 to 100,72,24,2,0,4,0,24,6,2,0,6,0,0,1,30,5,25,30,0,0,263,0,307,263,30,1,28,16,776744615.959412,167178.838252791
41,41,65,129,WAKULLA,2000-05-16T00:00:00.000Z,17022505120.6189,916733.867149366,66,Wakulla,FL,41,65,129,191,3,5,18,39,32,40,26,16,8,3,1,0 to 93,44,105,84,2,191,0,0,7,172,16,1,12,179,0,0,191,8,4,0,12,0,0,0,5,1,5,0,1,0,0,0,26 to 65,40,4,8,0,0,0,12,0,4,0,5,0,0,1,12,4,8,12,0,0,179,0,191,179,12,1,35,17,1579533632.64177,279225.038340218
42,42,5,009,BREVARD,2000-05-16T00:00:00.000Z,28936951380.6763,2600567.11621827,5,Brevard,FL,42,5,9,3114,45,56,178,391,441,458,675,530,242,97,1,0 to 103,54,1834,1233,47,3107,7,0,74,2983,158,42,148,2759,204,3,2900,72,70,0,142,1,3,8,20,24,24,29,17,16,6,0,1 to 94,52,101,23,9,9,22,110,10,58,2,37,2,0,6,148,72,76,142,6,0,2758,1,3114,2759,148,6,208,167,2687643838.87906,793218.333609179
43,43,53,105,POLK,2000-05-16T00:00:00.000Z,56039729499.5993,1273587.97322649,53,Polk,FL,43,53,105,4243,96,90,320,621,634,697,691,605,349,138,2,0 to 100,50,2472,1676,95,4225,18,0,198,3896,265,100,270,3956,3,14,4208,144,120,0,264,1,5,11,40,37,45,53,43,25,10,0,3 to 97,54,154,47,28,35,74,135,55,123,2,81,1,0,9,270,122,148,264,6,0,3944,12,4243,3956,270,9,288,216,5206715917.89822,388118.956177661
44,44,49,097,OSCEOLA,2000-05-16T00:00:00.000Z,41974373975.6891,1149911.15232981,49,Osceola,FL,44,49,97,2784,34,68,229,505,550,484,435,288,143,41,7,0 to 97,45,1592,1176,16,2770,14,0,241,2276,360,144,333,2374,10,67,2695,155,169,1,325,1,2,26,41,52,72,71,48,18,2,0,0 to 94,50,167,24,118,16,164,106,55,149,4,95,5,0,5,333,175,157,325,8,0,2370,4,2784,2374,333,5,274,99,3899316052.50861,350452.549474464
45,45,28,055,HIGHLANDS,2000-05-16T00:00:00.000Z,30858531275.5408,973257.170083551,28,Highlands,FL,45,28,55,487,11,2,29,71,65,73,79,79,55,21,2,0 to 95,53,279,186,22,478,9,0,20,429,32,15,61,422,2,2,474,28,32,0,60,1,1,4,10,5,7,12,10,10,1,0,0 to 85,56,28,15,15,2,22,30,8,27,1,19,1,0,5,61,33,28,60,1,0,414,8,487,422,61,5,61,21,2866885704.30579,296636.719911829
46,46,36,071,LEE,2000-05-16T00:00:00.000Z,22734524817.4646,1913267.0220598,36,Lee,FL,46,36,71,5860,82,73,396,835,877,1043,1019,854,496,181,4,0 to 100,51,3483,2273,104,5817,42,1,172,5286,393,98,642,5191,3,24,5792,306,292,16,614,5,6,41,75,92,103,106,113,75,26,0,0 to 100,54,251,35,15,313,66,230,318,131,10,116,9,1,18,642,306,319,613,28,1,5178,13,5860,5191,642,18,751,433,2112333669.17714,583283.842331616
47,47,11,021,COLLIER,2000-05-16T00:00:00.000Z,55941206045.6423,1903355.15661929,11,Collier,FL,47,11,21,3569,31,49,223,456,485,536,602,601,427,157,2,0 to 103,55,2046,1510,13,3426,143,0,180,3206,373,133,376,3178,1,14,3411,156,160,0,316,3,2,22,50,40,54,75,57,55,18,0,0 to 101,58,219,10,24,63,88,160,68,78,16,45,7,2,5,376,195,181,316,60,0,3095,83,3569,3178,376,5,494,383,5197102107.68439,580181.883282756
48,48,13,025,MIAMI-DADE,2000-05-16T00:00:00.000Z,55073375763.8941,1774363.00496543,13,Dade,FL,48,13,25,42611,420,570,2661,7162,7351,8188,7018,5197,2683,1259,102,0 to 119,48,22090,19778,743,42417,193,1,722,40558,1644,462,7459,34500,452,200,41768,3510,3804,77,7391,27,50,523,1276,1240,1530,1234,878,462,221,18,0 to 103,49,3081,854,289,3167,2877,1234,3280,1150,19,581,8,3,109,7459,3850,3532,7390,68,1,34377,123,42611,34500,7459,109,2101,1619,5114451079.58835,540836.793924443
49,49,44,087,MONROE,2000-05-16T00:00:00.000Z,28308543761.6011,4591181.83897766,44,Monroe,FL,49,44,87,790,8,6,49,96,131,140,171,125,46,17,1,0 to 97,52,443,342,5,766,24,0,161,571,104,62,64,651,0,75,691,28,30,0,58,0,1,6,10,8,12,11,10,6,0,0,14 to 80,52,32,3,0,23,8,28,22,13,1,9,0,0,3,64,33,31,58,6,0,633,18,790,651,64,3,165,102,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,2000-05-16T00:00:00.000Z,28109274128.0588,1198564.1555946,55,Santa Rosa,FL,50,57,113,1637,91,88,159,276,280,260,226,167,72,18,0,0 to 102,42,965,662,10,1634,3,0,55,1510,88,41,113,1522,1,1,1632,34,79,0,113,2,0,13,16,21,22,17,16,5,1,0,0 to 88,47,78,16,0,19,4,90,19,15,0,15,0,0,4,113,79,34,113,0,0,1519,3,1637,1522,113,4,468,127,2596863920.94926,364280.718031263
51,51,66,131,WALTON,2000-05-16T00:00:00.000Z,29260992908.4669,1216747.48888053,67,Walton,FL,51,66,131,344,17,8,31,31,58,70,60,42,18,9,0,0 to 97,48,182,147,15,332,12,0,18,313,50,29,29,313,1,1,330,15,6,0,21,0,0,3,3,4,6,4,3,5,1,0,20 to 90,52,21,0,0,0,1,19,1,6,2,4,2,0,0,29,10,19,21,8,0,309,4,344,313,29,0,30,21,2708101782.46999,370154.781284707
52,52,32,063,JACKSON,2000-05-16T00:00:00.000Z,26457674355.9754,735287.597926583,32,Jackson,FL,52,32,63,204,4,2,19,36,32,39,32,22,15,3,0,0 to 94,48,118,82,4,198,6,0,18,178,20,16,6,198,0,0,198,5,0,0,5,0,0,0,3,2,1,0,0,0,0,0,28 to 47,35,2,3,0,0,0,5,0,2,0,0,0,0,0,6,1,5,5,1,0,193,5,204,198,6,0,24,17,2452499072.79567,223828.324060307
53,53,67,133,WASHINGTON,2000-05-16T00:00:00.000Z,17212291868.187,801011.879871898,68,Washington,FL,53,67,133,112,1,1,3,17,21,19,21,17,7,4,1,3 to 103,51,59,35,18,112,0,0,22,84,22,6,4,103,0,5,107,1,3,0,4,0,0,0,2,0,2,0,0,0,0,0,25 to 53,37,4,0,0,0,0,4,0,0,0,1,0,0,0,4,3,1,4,0,0,103,0,112,103,4,0,22,17,1594396648.51196,243766.072259733
