"county","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","ICU","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","updated","",""
"Santa Cruz","34","0","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","","","","","","","","","","","","","","","","","",""
"Shasta","3","1","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","6","82","3","","2","","1","","","","","","","","","","","",""
"Sierra County","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","5","2","3","0","","","","","","","","","","","","","","","",""
"Siskiyou County","3","0","https://www.co.siskiyou.ca.us/publichealth","","60","9","48","3","","","","","","","","","","","","","","","",""
"Solano County","34","0","http://www.solanocounty.com/depts/ph/ncov.asp","","","","","","","","","","","","","9","","","","","","","",""
"Sonoma","50","1","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","","","854","49","","9","","7","11","12","8","","","","","","","","",""
"Stanislaus County","23","0","http://schsa.org/publichealth/pages/corona-virus/","","","","783","","","","","","","","","","","","","","","","",""
"Sutter","2","0","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent.","","","","","","","","","","","","","","","","","","","",""
"Tehama","0","0","https://www.tehamacohealthservices.net/services/communicable-diseases/#current-events","","","","","","","","","","","","","","","","","","","","",""
"Trinity","0","0","https://www.trinitycounty.org/Public-Health","","","","","","","","","","","","","","","","","","","","",""
"Tulare","24","0","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","15","","3","","6","1","","","","","","","","",""
"Tuolumne County","0","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","145","20","125","0","","","","","","","","","","","","","","","",""
"Ventura","61","1","https://www.vcemergency.com/","","","","","","","","","","","","","","","","","","","","",""
"Yolo County","16","1","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","","","","","","","","","","","","","","","","","","","",""
"Yuba","3","0","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","2","","","","","","","","","","",""
