OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,PUI_FLRes,PUI_NonRes,C_AllResTypes,C_FLResOnly,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUIFLResOut,PUINotFLRes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths1,EverMon,MonNow,Shape__Area,Shape__Length
16,16,12,023,COLUMBIA,2000-05-16T00:00:00.000Z,22266487302.2026,905417.470831242,12,Columbia,FL,16,12,23,83,8,5,4,8,9,12,16,12,8,0,1,0,0,0,0,0,2,0,1,0,0,0,1 to 82,46,46 to 70,79,1,3,3,49,34,0,82,1,0,0,3,0,3,0,0,0,83,3,79,1,32,3,1,2,3,0,0,78,1,130,79,3,0,1,1,0.193837653608398,2.63367861758089
17,17,2,003,BAKER,2000-05-16T00:00:00.000Z,16362161453.2611,602717.294368568,2,Baker,FL,17,2,3,46,0,3,2,6,3,12,5,5,7,3,0,0,0,0,0,0,0,2,1,2,2,0,5 to 97,53,55 to 97,39,0,7,7,33,12,1,45,1,0,5,1,1,5,0,2,0,46,7,39,0,12,7,3,4,7,0,0,38,1,49,39,7,0,1,0,0.14260223695328,1.77124518958546
18,18,30,059,HOLMES,2000-05-16T00:00:00.000Z,13514831669.2324,577279.375441074,30,Holmes,FL,18,30,59,20,2,2,0,2,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2 to 79,44,NA,20,0,0,0,15,5,0,20,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,0,0,20,0,25,20,0,0,2,2,0.11799293374952,1.73644592186921
19,19,43,085,MARTIN,2000-05-16T00:00:00.000Z,18163212069.3958,1014294.81270012,43,Martin,FL,19,43,85,152,0,3,13,9,16,21,18,35,20,17,0,0,0,0,1,2,6,2,2,4,0,0,11 to 99,58,32 to 80,135,0,17,17,90,57,5,152,0,0,12,0,5,16,0,1,0,152,17,135,0,14,17,11,6,17,0,0,135,0,154,135,17,0,33,27,0.153458428359954,2.97866994052085
20,20,29,057,HILLSBOROUGH,2000-05-16T00:00:00.000Z,29564028944.0196,1177196.95995299,29,Hillsborough,FL,20,29,57,2837,105,83,278,551,492,418,381,293,160,74,2,1,5,22,37,30,32,22,18,6,1,0,0 to 102,44,3 to 86,2663,0,174,168,1667,1152,18,2802,35,0,58,74,42,118,35,21,2,2837,174,2663,0,144,174,86,86,168,6,0,2634,29,2844,2663,174,2,457,184,0.251838053049141,3.45236135962878
21,21,41,081,MANATEE,2000-05-16T00:00:00.000Z,20940887080.7074,1218253.44408563,41,Manatee,FL,21,41,81,229,6,5,14,22,22,37,34,51,21,17,0,0,1,0,1,1,5,9,8,4,0,0,1 to 100,54,14 to 83,200,0,29,29,130,99,0,225,4,0,3,17,9,12,4,13,1,229,29,200,0,25,29,15,14,29,0,0,196,4,235,200,29,1,95,37,0.177648040277973,3.59179695002848
22,22,10,019,CLAY,2000-05-16T00:00:00.000Z,17948500957.6093,603117.810216635,10,Clay,FL,22,10,19,254,1,6,15,25,40,58,53,31,19,6,0,0,0,2,4,0,4,4,4,3,1,0,1 to 97,51,21 to 94,232,0,22,22,152,102,0,252,2,0,10,1,11,11,0,11,4,254,22,232,0,35,22,12,10,22,0,0,230,2,257,232,22,4,28,19,0.155892403786538,1.77574995677039
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,8,0,0,0,0,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36 to 71,59,NA,8,0,0,0,4,4,0,7,1,0,0,0,0,0,0,0,0,8,0,8,0,1,0,0,0,0,0,0,7,1,8,8,0,0,0,0,0.15097302169238,1.60075687912497
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,303,8,6,26,25,39,47,53,58,28,13,0,0,0,0,2,2,2,2,1,0,0,0,0 to 119,52,28 to 68,294,0,9,8,181,117,5,302,1,0,7,0,2,9,0,0,0,303,9,294,0,28,9,2,7,8,1,0,294,0,483,294,9,0,49,45,0.399426439007584,3.40272879514356
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,456,11,11,30,68,74,58,73,80,40,10,1,0,0,3,4,7,9,4,12,3,1,0,0 to 94,50,17 to 89,413,0,43,42,288,166,2,452,4,0,27,4,12,29,3,11,0,456,43,413,0,29,43,18,25,42,1,0,410,3,461,413,43,0,146,104,0.289588880470774,5.33119702136491
