OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
23,23,25,049,HARDEE,2000-05-16T00:00:00.000Z,17792803499.7252,543261.536630456,25,Hardee,FL,23,25,49,80,2,1,10,17,8,11,14,13,3,1,0,0 to 89,48,43,35,2,78,2,0,2,76,3,2,3,77,0,0,78,1,1,0,2,0,0,0,0,1,0,0,2,0,0,0,39 to 73,71,2,0,0,0,0,2,0,1,1,1,1,0,0,3,1,2,2,1,0,76,1,80,77,3,0,0,0,1653184151.65315,165534.73009074
24,24,42,083,MARION,2000-05-16T00:00:00.000Z,46334209241.8729,1151393.60736949,42,Marion,FL,24,42,83,2587,41,38,191,315,362,413,461,449,223,92,2,0 to 119,53,1542,995,50,2580,7,0,380,2071,187,80,106,2145,2,334,2245,56,47,0,103,1,0,5,14,20,25,24,11,4,2,0,2 to 88,49,78,16,9,0,19,84,0,25,2,14,0,0,3,106,48,58,103,3,0,2142,3,2587,2145,106,3,147,97,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,2000-05-16T00:00:00.000Z,33645647575.2893,1837935.99794766,65,Volusia,FL,25,64,127,3684,55,60,185,447,457,589,768,667,326,126,4,0 to 101,55,2115,1539,30,3661,23,0,108,3413,215,106,243,3430,0,11,3650,116,118,0,234,1,1,15,34,32,40,36,54,21,9,0,1 to 97,54,146,30,43,15,25,164,45,77,5,49,4,0,8,243,122,121,234,9,0,3416,14,3684,3430,243,8,359,169,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,2000-05-16T00:00:00.000Z,19634949247.4401,771892.949471238,15,Dixie,FL,26,15,29,127,4,4,12,13,25,16,16,26,7,3,1,0 to 90,48,70,56,1,127,0,0,7,117,11,0,3,123,0,1,126,2,1,0,3,0,0,1,0,1,0,0,1,0,0,0,24 to 66,40,0,2,0,1,0,2,1,3,0,1,0,0,0,3,1,2,3,0,0,123,0,127,123,3,0,9,9,1823798262.39212,235232.973119088
27,27,35,069,LAKE,2000-05-16T00:00:00.000Z,32245515394.3939,1085414.36113151,35,Lake,FL,27,35,69,3124,87,67,222,428,416,513,498,444,346,100,3,0 to 101,51,1780,1307,37,3099,25,0,75,2874,165,75,180,2924,0,20,3079,86,84,1,171,0,7,7,13,25,33,31,34,29,1,0,5 to 86,56,77,17,54,23,44,99,28,79,9,46,3,0,5,180,89,90,171,9,0,2908,16,3124,2924,180,5,249,136,2995995460.71371,331014.242454318
28,28,38,075,LEVY,2000-05-16T00:00:00.000Z,31222846964.6387,1113561.30402576,38,Levy,FL,28,38,75,323,6,11,33,49,49,43,58,42,24,8,0,0 to 118,48,202,118,3,323,0,0,11,308,24,2,9,314,0,0,323,6,3,0,9,0,0,0,1,3,1,3,0,0,1,0,33 to 93,48,5,2,0,2,1,6,2,3,0,1,0,0,0,9,3,6,9,0,0,314,0,323,314,9,0,13,12,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,2000-05-16T00:00:00.000Z,16171035313.1481,751914.035739446,60,Sumter,FL,29,60,119,1254,13,12,35,59,53,103,182,497,271,28,1,0 to 96,69,686,514,54,1254,0,0,91,1051,124,49,114,1108,1,31,1222,53,61,0,114,0,0,2,2,6,10,17,43,29,5,0,18 to 92,68,107,1,1,5,3,106,5,41,0,29,0,0,11,114,61,53,114,0,0,1108,0,1254,1108,114,11,46,41,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,2000-05-16T00:00:00.000Z,9616121249.97192,520365.445917892,57,Seminole,FL,30,59,117,3431,71,75,301,605,652,600,498,402,128,98,1,0 to 104,45,2044,1362,25,3421,10,0,164,3072,248,84,284,3135,1,11,3409,146,131,1,278,1,2,26,47,38,58,41,47,13,11,0,1 to 100,49,198,38,36,6,99,165,14,131,4,66,1,0,2,284,133,150,278,6,0,3131,4,3431,3135,284,2,381,212,893350621.597626,158549.770327082
31,31,48,095,ORANGE,2000-05-16T00:00:00.000Z,28006104673.618,903213.715428867,48,Orange,FL,31,48,95,12925,392,331,1124,2321,2390,2286,1965,1237,604,272,3,0 to 120,44,7416,5450,59,12661,263,1,360,12173,542,223,1072,11845,1,7,12654,471,534,6,1011,15,11,105,172,204,229,171,92,52,21,0,0 to 101,46,459,123,263,166,255,336,420,310,26,156,22,1,19,1072,569,497,1010,61,1,11643,202,12925,11845,1072,19,572,408,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,2000-05-16T00:00:00.000Z,16847060705.6176,796979.404269785,9,Citrus,FL,32,9,17,1093,17,22,65,141,136,153,194,196,117,47,5,0 to 97,56,607,362,124,1090,3,0,35,972,132,23,74,1016,1,2,1087,37,37,0,74,0,1,5,5,6,8,22,12,10,5,0,12 to 93,60,40,0,1,33,4,40,30,22,0,22,0,0,8,74,37,37,74,0,0,1013,3,1093,1016,74,8,284,163,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,2000-05-16T00:00:00.000Z,13561044546.5447,658252.887531729,27,Hernando,FL,33,27,53,1144,17,16,84,169,170,191,208,161,93,34,1,0 to 97,50,676,461,7,1130,14,0,46,1042,101,35,73,1071,0,0,1130,34,35,0,69,0,0,4,17,7,10,15,14,5,1,0,18 to 85,54,42,3,3,21,8,27,34,25,2,16,2,1,2,73,36,37,69,4,0,1061,10,1144,1071,73,2,32,21,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,2000-05-16T00:00:00.000Z,8169203571.8812,1167816.84045851,52,Pinellas,FL,34,52,103,9513,137,146,623,1403,1342,1585,1737,1400,754,368,18,0 to 105,52,5648,3837,28,9373,140,0,639,8591,739,303,513,8928,9,63,9302,233,240,0,473,1,4,39,75,53,94,106,80,37,24,0,1 to 98,53,360,59,23,31,44,385,44,132,15,87,14,1,14,513,266,247,473,40,0,8829,99,9513,8928,513,14,306,231,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,2000-05-16T00:00:00.000Z,19295996990.3474,731987.008657942,61,Suwannee,FL,35,61,121,392,11,5,30,58,50,55,69,61,32,21,0,0 to 118,53,267,111,14,392,0,0,43,267,97,4,81,310,0,1,391,61,20,0,81,0,1,9,10,9,7,12,15,9,9,0,5 to 93,59,55,22,0,4,4,72,5,14,0,18,0,0,3,81,20,61,81,0,0,310,0,392,310,81,3,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,2000-05-16T00:00:00.000Z,22997044775.8865,1114099.40129032,16,Duval,FL,36,16,31,14232,219,255,1179,2773,2511,2398,2279,1468,701,423,26,0 to 118,45,8011,5468,753,14179,53,0,275,13608,233,46,746,13407,7,72,14100,377,332,23,732,4,9,60,122,123,119,138,88,55,26,2,1 to 97,50,163,126,30,413,16,278,438,91,6,66,3,0,14,746,339,381,732,14,0,13368,39,14232,13407,746,14,532,484,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,2000-05-16T00:00:00.000Z,15264572234.9149,634013.230316393,34,Lafayette,FL,37,34,67,41,2,0,3,4,11,3,3,6,4,5,0,0 to 118,45,22,18,1,41,0,0,4,37,8,0,1,40,0,0,41,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,40,0,41,40,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,2000-05-16T00:00:00.000Z,15857514470.4584,850272.421627332,23,Gulf,FL,38,23,45,97,3,3,5,17,13,16,16,15,8,1,0,1 to 91,49,57,38,2,95,2,0,15,81,24,8,1,96,0,0,95,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,94,2,97,96,1,0,5,2,1469866107.27026,258929.917930346
39,39,63,125,UNION,2000-05-16T00:00:00.000Z,6963394478.96307,420643.595360959,63,Union,FL,39,63,125,131,4,2,7,18,33,23,16,17,7,4,0,1 to 118,45,69,58,4,131,0,0,10,117,13,4,2,126,0,3,128,1,1,0,2,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,1,0,1,1,0,0,0,0,0,0,2,1,1,2,0,0,126,0,131,126,2,0,4,3,646977045.561768,128178.538552252
40,40,4,007,BRADFORD,2000-05-16T00:00:00.000Z,8359862626.37378,548326.687246681,4,Bradford,FL,40,4,7,330,4,5,26,37,34,43,47,44,53,35,2,0 to 100,58,204,116,10,330,0,0,18,275,85,0,35,290,0,5,325,29,6,0,35,0,2,2,1,5,1,2,6,9,7,0,8 to 100,73,29,2,0,4,0,29,6,2,0,9,0,0,1,35,6,29,35,0,0,290,0,330,290,35,1,28,10,776744615.959412,167178.838252791
