OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
59,59,18,035,FLAGLER,2000-05-16T00:00:00.000Z,13936478366.7697,723300.597094917,18,Flagler,FL,59,18,35,255,1,1,16,27,32,34,50,66,19,9,0,0,0,1,1,2,2,10,8,1,0,55,1 to 93,58,17 to 77,23,0,144,108,3,252,3,0,22,215,18,16,2,7,20,1,4,1,255,25,229,1,0,4,52,14,25,14,11,23,2,0,228,1,255,229,25,1,58,32,1294754947.55994,220559.838719988
60,60,26,051,HENDRY,2000-05-16T00:00:00.000Z,33164247954.1707,952053.303145101,26,Hendry,FL,60,26,51,79,0,4,4,13,16,6,16,8,6,6,0,0,0,0,1,1,1,0,1,0,0,50,7 to 90,46,28 to 70,4,0,42,34,3,78,1,0,8,70,1,2,0,2,2,0,2,0,76,4,72,0,3,8,4,0,4,2,2,4,0,0,71,1,79,72,4,0,9,8,3080878042.06929,290231.154940413
61,61,31,061,INDIAN RIVER,2000-05-16T00:00:00.000Z,14211052094.6021,768080.956031033,31,Indian River,FL,61,31,61,426,7,5,22,29,38,64,85,96,59,20,1,0,1,2,5,1,9,7,11,5,0,57,0 to 105,55,8 to 84,35,0,250,170,6,417,9,0,48,341,37,20,5,16,30,5,6,0,411,41,370,0,15,44,17,26,41,25,16,35,6,0,369,1,426,370,41,0,99,61,1319798862.49319,234087.653130679
62,62,6,011,BROWARD,2000-05-16T00:00:00.000Z,33839548761.036,958026.061896544,6,Broward,FL,62,6,11,13196,119,168,946,2217,2443,2470,2236,1552,702,327,16,2,6,130,226,271,266,275,187,84,33,48,0 to 106,49,0 to 97,1447,0,6371,5337,1488,13073,123,0,917,11799,480,406,678,397,694,632,155,17,13123,1481,11634,8,73,508,694,715,1481,796,623,1447,34,0,11552,84,13196,11636,1481,17,936,704,3142374056.01305,291881.846057183
63,63,17,033,ESCAMBIA,2000-05-16T00:00:00.000Z,19152061307.8204,1448408.40435881,17,Escambia,FL,63,17,33,1159,51,42,114,219,169,189,180,118,59,18,0,1,1,17,21,19,14,15,10,2,1,44,0 to 100,41,2 to 94,93,0,705,445,9,1053,106,0,62,1059,38,53,34,14,74,23,4,0,1156,101,1055,0,3,52,45,19,101,51,49,93,8,0,957,98,1159,1055,101,0,103,75,1767890300.40206,439974.169549806
64,64,47,093,OKEECHOBEE,2000-05-16T00:00:00.000Z,24844271086.3607,893974.023125111,47,Okeechobee,FL,64,47,93,69,1,3,6,5,13,7,14,9,9,1,1,0,0,0,0,1,0,0,0,0,0,50,4 to 91,41,41 to 41,1,0,31,32,6,68,1,0,22,40,7,0,1,0,1,0,0,0,66,1,65,0,3,25,2,1,1,1,0,1,0,0,64,1,69,65,1,0,2,1,2307690905.70045,272539.677334045
65,65,19,037,FRANKLIN,2000-05-16T00:00:00.000Z,15589551427.4073,1467124.86409578,19,Franklin,FL,65,19,37,21,0,1,3,0,1,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,55,7 to 84,NA,NA,0,0,8,12,1,21,0,0,4,16,1,0,0,0,0,0,0,0,21,0,21,0,0,6,1,0,0,0,0,0,0,0,21,0,21,21,0,0,4,4,1445840682.56789,446544.245992026
66,66,1,001,ALACHUA,2000-05-16T00:00:00.000Z,27023240533.1793,892726.558557937,1,Alachua,FL,66,1,1,1666,65,26,291,362,242,195,197,171,63,35,19,1,0,22,19,9,12,17,11,2,1,41,0 to 118,42,2 to 91,90,0,1002,632,32,1639,27,0,167,1465,34,38,36,21,49,32,14,0,1651,95,1553,3,15,70,66,17,95,43,52,90,5,0,1532,22,1666,1554,95,0,62,50,2510756491.26947,272135.471452184
67,67,55,109,ST. JOHNS,2000-05-16T00:00:00.000Z,17847916417.1672,1130719.73111295,58,St. Johns,FL,67,55,109,1361,25,31,82,191,244,252,237,174,85,38,2,1,3,5,11,9,19,24,24,5,1,49,0 to 96,53,0 to 91,99,0,749,552,60,1356,5,0,153,1138,70,49,19,34,63,16,23,2,1322,102,1219,1,39,118,109,88,102,55,44,99,3,0,1218,2,1361,1220,102,2,134,115,1658206648.51031,344848.248220385
68,999,999,999,Unknown,,,,64,Unknown,FL,68,999,999,37,0,0,3,9,2,5,5,5,4,3,1,0,0,2,1,0,0,2,1,1,2,52,21 to 95,58,23 to 87,6,0,20,16,1,22,15,0,0,37,0,0,9,0,0,9,0,0,29,9,20,0,8,0,0,0,9,3,6,6,3,0,10,10,37,20,9,0,12,11,426757389.663452,73231.2921286601
