ï»¿FID,IACountyID,FIPS,Name,State,Confirmed,Recovered,Deaths,last_updated,Country,pop_est_2018,SHAPE_Length,SHAPE_Area
74,91,19181,Warren,IA,39,,0,2020/05/08 15:59:59,USA,51056,1.70656061378754,0.159602417083592
75,61,19121,Madison,IA,10,,1,2020/05/08 15:59:59,USA,16249,1.60028745529922,0.15659955195822
76,62,19123,Mahaska,IA,20,,1,2020/05/08 15:59:59,USA,22000,1.61487375875982,0.15983170541375
77,63,19125,Marion,IA,13,,0,2020/05/08 15:59:59,USA,33407,1.60953916629708,0.158906678664242
78,58,19115,Louisa,IA,281,,3,2020/05/08 15:59:59,USA,11169,1.75283719716366,0.11609984092493
79,65,19129,Mills,IA,7,,0,2020/05/08 15:59:59,USA,15063,1.5081338641808,0.122132457358878
80,69,19137,Montgomery,IA,3,,0,2020/05/08 15:59:59,USA,10003,1.42941494131685,0.117877281210496
81,2,19003,Adams,IA,0,,0,2020/05/08 15:59:59,USA,3645,1.4306796476061,0.11799264030139
82,44,19087,Henry,IA,42,,1,2020/05/08 15:59:59,USA,20067,1.39048367232224,0.120982880824429
83,51,19101,Jefferson,IA,6,,0,2020/05/08 15:59:59,USA,18381,1.44973415457871,0.121161607057882
84,88,19175,Union,IA,1,,0,2020/05/08 15:59:59,USA,12359,1.43050961959233,0.11811537729096
85,90,19179,Wapello,IA,192,,0,2020/05/08 15:59:59,USA,35205,1.44530198981096,0.120895576009114
86,20,19039,Clarke,IA,5,,0,2020/05/08 15:59:59,USA,9423,1.43809321574798,0.119709743384459
87,59,19117,Lucas,IA,0,,0,2020/05/08 15:59:59,USA,8645,1.44258508735791,0.120474549754265
88,68,19135,Monroe,IA,2,,0,2020/05/08 15:59:59,USA,7790,1.4424093876936,0.120378125777524
89,29,19057,Des Moines,IA,31,,1,2020/05/08 15:59:59,USA,39138,1.5740585098343,0.118960734514964
90,36,19071,Fremont,IA,1,,0,2020/05/08 15:59:59,USA,6993,1.62288194461822,0.142660581927864
91,73,19145,Page,IA,10,,0,2020/05/08 15:59:59,USA,15249,1.59150363876605,0.147859442418914
92,87,19173,Taylor,IA,1,,0,2020/05/08 15:59:59,USA,6191,1.57094727247982,0.147630696055921
93,80,19159,Ringgold,IA,0,,0,2020/05/08 15:59:59,USA,4968,1.56326766465177,0.148728871032954
94,89,19177,Van Buren,IA,8,,0,2020/05/08 15:59:59,USA,7020,1.53592818808525,0.135569861036805
95,26,19051,Davis,IA,8,,0,2020/05/08 15:59:59,USA,9017,1.52608960383686,0.139392794520039
96,27,19053,Decatur,IA,0,,0,2020/05/08 15:59:59,USA,7890,1.55809398057972,0.147367102513795
97,93,19185,Wayne,IA,1,,0,2020/05/08 15:59:59,USA,6401,1.5512558166716,0.14558185877792
98,4,19007,Appanoose,IA,6,,3,2020/05/08 15:59:59,USA,12437,1.54004938261221,0.142517166196449
99,56,19111,Lee,IA,18,,0,2020/05/08 15:59:59,USA,34055,2.02947882948175,0.148544768599792
100,,,County Info Pending,IA,17,,,2020/05/08 15:59:59,Unknown,,0.0109425719999763,6.80092135452429e-06
