ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
14,14,24,047,HAMILTON,Hamilton,FL,220,7,3,28,30,20,31,36,40,13,10,2,0 to 118,51,117,82,21,217,3,0,9,203,9,18,4,8,212,0,0,217,3,4,0,1,6,1,0,7,0,0,0,3,2,0,3,0,0,0,0,27 to 64,42,4,3,0,0,0,6,1,3,1,0,0,0,0,8,1,7,7,1,0,210,2,220,212,8,0,3,1,1344926537.82205,232510.619937192,50
15,15,3,005,BAY,Bay,FL,1801,20,21,128,227,261,339,332,216,133,76,48,0 to 101,51,966,783,52,1796,5,0,38,1722,28,81,30,76,1723,2,0,1794,58,17,1,0,30,45,0,75,1,1,3,13,13,19,13,9,3,1,0,2 to 93,48,58,9,4,4,18,50,7,22,1,9,1,1,3,76,46,30,75,1,0,1719,4,1801,1723,76,3,35,28,1930770661.49939,558412.990825665,50
16,16,12,023,COLUMBIA,Columbia,FL,1521,46,48,99,190,210,206,300,239,120,58,5,0 to 118,52,747,688,86,1511,10,0,149,1266,63,199,17,102,1413,0,6,1506,77,24,1,0,44,57,0,101,2,2,9,19,15,23,22,8,2,0,0,0 to 80,46,58,37,4,2,8,90,3,5,0,9,0,0,2,102,58,44,101,1,0,1405,8,1515,1413,102,2,8,6,2068684690.43686,276060.430857214,46
17,17,2,003,BAKER,Baker,FL,489,13,10,50,76,60,91,79,49,35,26,0,0 to 99,49,285,183,21,485,4,0,20,450,16,57,3,24,465,0,0,485,7,17,0,0,16,8,0,24,0,0,1,2,3,1,5,4,5,3,0,24 to 97,65,18,5,1,0,0,23,1,6,0,8,0,0,3,24,8,16,24,0,0,461,4,489,465,24,3,3,2,1520245937.66486,183737.354704368,70
18,18,30,059,HOLMES,Holmes,FL,525,10,7,31,60,55,88,100,108,50,16,0,0 to 92,56,298,209,18,519,6,0,1,519,5,11,1,10,515,0,0,519,4,6,0,0,4,6,0,10,1,0,0,2,3,2,1,1,0,0,0,1 to 73,42,7,1,1,1,0,9,1,2,0,0,0,0,0,10,6,4,10,0,0,509,6,525,515,10,0,5,4,1251550190.83949,175658.620344926,44
19,19,43,085,MARTIN,Martin,FL,2270,43,42,144,239,282,338,462,390,237,88,5,0 to 99,56,1252,984,34,2257,13,0,92,2049,82,187,61,243,2021,0,6,2252,226,7,10,0,104,129,0,233,5,5,22,30,34,39,47,24,30,7,0,2 to 92,50,141,5,49,38,81,115,37,73,2,44,1,1,6,243,136,107,233,10,0,2019,2,2264,2021,243,6,62,51,1686613017.08661,308980.48751506,55
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,28344,664,675,2382,4571,4382,4583,4775,3597,1796,876,43,0 to 119,48,16529,11698,117,28086,258,0,460,27188,458,890,284,1371,26922,38,13,28036,1237,82,49,3,682,636,1,1319,13,27,137,227,221,226,218,146,101,55,0,0 to 104,47,654,244,258,163,355,743,221,338,10,276,7,3,37,1371,661,709,1319,52,0,26717,205,28331,26922,1371,37,669,322,2746844886.16013,358788.307034344,45
21,21,41,081,MANATEE,Manatee,FL,7062,148,162,409,726,792,1015,1366,1270,791,337,46,0 to 102,57,4097,2652,313,7029,33,0,363,6385,177,662,36,742,6313,6,1,7022,681,57,4,0,434,304,0,738,4,19,32,68,93,119,115,118,118,56,0,1 to 101,58,461,131,51,95,123,479,136,114,2,175,2,1,72,742,306,436,738,4,0,6284,29,7061,6313,742,72,183,92,1945653927.12581,371198.171414394,57
22,22,10,019,CLAY,Clay,FL,4643,70,100,369,597,753,846,784,617,351,147,9,0 to 99,50,2681,1846,116,4632,11,0,77,4345,130,319,41,293,4349,1,0,4631,256,35,2,0,173,118,0,291,0,1,16,26,38,48,51,55,38,20,0,6 to 95,58,166,56,17,52,22,214,55,96,0,72,0,0,19,293,119,174,291,2,0,4340,9,4643,4349,293,19,164,135,1667659896.51059,183856.484298748,59
23,23,25,049,HARDEE,Hardee,FL,263,10,13,29,48,29,38,41,36,11,8,0,0 to 94,46,157,102,4,259,4,0,15,192,2,36,3,35,228,0,0,259,20,13,2,0,22,11,0,33,0,4,4,8,2,6,4,6,1,0,0,10 to 83,39,13,18,2,0,5,28,0,10,2,6,2,0,0,35,12,23,33,2,0,226,2,263,228,35,0,41,37,1653184151.65315,165534.73009074,50
24,24,42,083,MARION,Marion,FL,6152,83,87,430,725,771,907,1119,1079,672,278,1,0 to 168,55,3733,2382,37,6132,20,0,790,5111,177,675,109,202,5586,1,363,5768,176,21,4,1,110,87,0,197,3,1,12,29,36,40,40,24,11,6,0,1 to 96,50,147,32,13,5,36,156,5,38,3,29,0,0,5,202,88,114,197,5,0,5571,15,5789,5586,202,5,242,115,4305055841.62241,350920.190673371,51
25,25,64,127,VOLUSIA,Volusia,FL,12234,103,184,625,1360,1414,1937,2613,2286,1163,527,22,0 to 117,56,6605,4877,752,12182,52,0,146,11659,230,511,128,537,11687,10,0,12172,424,101,11,1,211,314,0,525,2,4,28,72,69,101,93,103,34,31,0,0 to 102,54,316,108,87,14,72,418,35,130,5,96,4,0,28,537,319,218,525,12,0,11647,40,12234,11687,537,28,494,174,3125661534.15881,560414.737839251,53
26,26,15,029,DIXIE,Dixie,FL,277,8,5,22,33,45,36,50,44,23,10,1,0 to 118,52,161,113,3,277,0,0,8,255,6,18,0,12,265,0,0,277,9,3,0,0,10,2,0,12,0,0,2,0,2,1,4,1,1,1,0,21 to 86,58,7,4,0,1,0,10,2,5,0,2,0,0,0,12,2,10,12,0,0,265,0,277,265,12,0,32,4,1823798262.39212,235232.973119088,46
27,27,35,069,LAKE,Lake,FL,8334,139,158,476,850,968,1220,1477,1615,1093,311,27,0 to 101,57,4302,3289,743,8258,76,0,92,7951,222,261,83,237,8081,5,11,8242,209,16,12,0,113,112,0,225,1,8,13,27,33,42,37,41,33,2,0,1 to 86,52,113,32,71,9,67,145,13,97,10,59,4,1,14,237,119,118,225,12,0,8017,64,8323,8081,237,14,303,91,2995995460.71371,331014.242454318,52
28,28,38,075,LEVY,Levy,FL,848,13,20,72,110,101,110,143,133,92,53,1,0 to 118,54,535,303,10,848,0,0,14,742,16,139,2,20,828,0,0,848,17,3,0,0,16,4,0,20,0,0,2,2,4,3,4,1,1,3,0,16 to 99,50,14,3,1,2,3,15,2,6,0,2,0,0,0,20,4,16,20,0,0,828,0,848,828,20,0,36,8,2900663690.96646,339394.964008615,53
29,29,60,119,SUMTER,Sumter,FL,2255,16,16,59,112,109,197,325,878,480,59,4,0 to 118,68,1115,1040,100,2244,11,0,100,1923,164,248,53,239,1991,1,24,2219,188,47,3,1,64,171,0,235,0,0,6,6,24,36,35,86,38,8,0,17 to 97,65,196,29,5,5,14,214,7,56,0,41,0,0,14,239,174,65,235,4,0,1984,7,2231,1991,239,14,50,38,1502516062.89801,229328.389599522,66
30,30,59,117,SEMINOLE,Seminole,FL,9745,146,259,768,1404,1520,1697,1703,1430,550,261,7,0 to 118,49,5644,4024,77,9729,16,0,197,9229,246,396,90,410,9323,9,3,9717,359,45,6,0,218,186,0,404,6,8,39,71,60,75,53,58,23,17,0,0 to 100,47,303,58,43,0,151,253,0,167,5,94,1,0,10,410,188,222,404,6,0,9313,10,9742,9323,410,10,393,156,893350621.597626,158549.770327082,47
31,31,48,095,ORANGE,Orange,FL,34142,708,902,2816,5568,5854,6127,5904,3845,1742,639,37,0 to 120,47,19043,14966,133,33531,610,1,503,32760,585,1104,325,1478,32616,32,16,33484,1313,97,64,4,691,718,1,1410,20,26,160,256,264,307,233,118,66,27,1,0 to 101,45,652,202,438,118,542,554,314,512,38,266,34,5,35,1478,757,720,1409,68,1,32074,542,34126,32616,1478,35,601,404,2601855780.29929,275135.911496092,45
32,32,9,017,CITRUS,Citrus,FL,1951,24,35,115,223,217,282,357,378,230,87,3,0 to 98,57,1060,708,183,1946,5,0,41,1768,119,179,24,102,1846,2,1,1944,44,58,0,0,51,51,0,102,2,4,8,8,6,14,26,15,12,7,0,0 to 93,58,68,1,9,24,12,68,22,28,0,27,0,0,11,102,51,51,102,0,0,1842,4,1950,1846,102,11,349,55,1565249379.23035,242867.273750112,58
33,33,27,053,HERNANDO,Hernando,FL,2090,33,36,161,305,289,362,368,294,177,64,1,0 to 97,51,1238,840,12,2073,17,0,54,1960,66,132,38,98,1992,0,0,2073,54,38,5,1,45,47,0,92,1,4,6,20,13,14,18,15,6,1,0,1 to 85,48,81,9,2,0,22,70,0,31,2,21,2,1,5,98,49,49,92,6,0,1981,11,2090,1992,98,5,49,26,1259956856.20596,200494.167365377,49
34,34,52,103,PINELLAS,Pinellas,FL,18725,237,217,1143,2393,2406,2967,3587,2950,1704,1071,50,0 to 120,54,11078,7593,54,18532,193,0,1043,17084,411,1969,338,828,17671,10,216,18308,701,84,37,6,432,353,0,785,1,6,54,105,86,140,150,115,84,87,0,1 to 101,56,597,112,47,29,65,668,52,233,18,230,15,1,59,828,380,448,785,43,0,17523,148,18509,17671,828,59,316,226,758940582.722305,356104.408630079,56
35,35,61,121,SUWANNEE,Suwannee,FL,1253,25,20,88,162,148,145,181,157,143,175,9,0 to 118,56,869,365,19,1253,0,0,53,1054,110,462,5,145,1108,0,0,1253,51,94,0,0,100,45,0,145,0,3,12,13,19,16,16,19,27,20,0,5 to 102,63,97,40,1,7,7,130,8,27,0,35,0,0,18,145,45,100,145,0,0,1108,0,1253,1108,145,18,6,4,1792465815.52835,223150.095858967,63
36,36,16,031,DUVAL,Duval,FL,31180,442,613,2690,5157,4721,4988,5608,3923,1965,980,93,0 to 119,49,17360,13035,785,30920,260,0,442,29962,454,946,149,1088,29997,14,81,30825,944,111,23,10,560,495,0,1055,11,20,96,171,179,170,197,130,74,40,0,0 to 100,49,460,372,80,143,95,796,164,229,11,177,8,1,29,1088,512,573,1055,33,0,29770,227,31099,29997,1088,29,716,632,2136692125.83844,339628.979868484,50
37,37,34,067,LAFAYETTE,Lafayette,FL,92,3,0,9,13,19,8,7,15,9,9,0,0 to 118,46,49,42,1,92,0,0,10,82,0,10,0,3,89,0,0,92,2,1,0,0,2,1,0,3,0,0,0,1,0,1,0,0,0,1,0,27 to 98,47,3,0,0,0,1,2,0,1,0,1,0,0,0,3,1,2,3,0,0,89,0,92,89,3,0,0,0,1417838543.00769,193229.836834708,47
38,38,23,045,GULF,Gulf,FL,161,3,4,5,21,17,24,32,36,15,4,0,1 to 91,56,93,67,1,159,2,0,15,145,1,39,8,1,160,0,0,159,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,158,2,161,160,1,0,6,3,1469866107.27026,258929.917930346,42
39,39,63,125,UNION,Union,FL,285,6,6,27,44,61,40,40,36,19,6,0,0 to 118,44,159,120,6,285,0,0,13,265,4,35,4,5,278,0,2,283,3,2,0,0,3,2,0,5,0,0,0,2,0,0,3,0,0,0,0,25 to 60,55,4,0,1,0,0,5,0,1,0,0,0,0,0,5,2,3,5,0,0,278,0,283,278,5,0,8,6,646977045.561768,128178.538552252,55
40,40,4,007,BRADFORD,Bradford,FL,883,13,13,80,113,101,117,146,110,102,84,4,0 to 118,55,565,307,11,883,0,0,27,814,34,133,1,48,834,0,1,882,9,39,0,0,40,8,0,48,0,2,3,2,6,4,3,6,12,10,0,8 to 107,72,44,4,0,0,0,48,0,4,0,10,0,0,2,48,8,40,48,0,0,834,0,882,834,48,2,112,80,776744615.959412,167178.838252791,74
41,41,65,129,WAKULLA,Wakulla,FL,583,7,13,47,84,79,99,97,84,44,28,1,0 to 102,51,352,229,2,580,3,0,10,546,13,169,2,29,553,0,1,579,18,9,2,0,19,8,0,27,0,0,4,5,3,9,4,2,1,1,0,19 to 86,46,12,13,2,0,0,27,0,5,0,5,0,0,1,29,8,21,27,2,0,552,1,582,553,29,1,59,27,1579533632.64177,279225.038340218,43
42,42,5,009,BREVARD,Brevard,FL,11694,160,208,634,1211,1357,1681,2673,2311,1148,306,5,0 to 119,57,6781,4827,86,11682,12,0,127,11427,107,301,67,326,11364,3,1,11678,280,36,8,2,164,152,0,316,2,5,23,36,43,52,70,43,32,20,0,1 to 99,55,231,53,13,19,42,255,19,84,2,50,2,0,9,326,154,172,316,10,0,11362,2,11693,11364,326,9,215,157,2687643838.87906,793218.333609179,53
43,43,53,105,POLK,Polk,FL,9767,221,204,733,1377,1385,1533,1576,1370,925,438,5,0 to 103,51,5719,3882,166,9723,44,0,260,8992,231,612,120,601,9157,3,6,9714,473,120,7,1,369,224,0,593,1,5,36,86,84,90,86,83,71,59,0,3 to 102,54,335,134,68,56,148,367,78,258,4,201,1,0,31,601,227,374,593,8,0,9121,36,9761,9157,601,31,512,282,5206715917.89822,388118.956177661,56
44,44,49,097,OSCEOLA,Osceola,FL,7824,86,229,572,1229,1332,1432,1381,918,451,179,15,0 to 109,48,4342,3429,53,7782,42,0,338,6952,390,588,168,554,7218,11,41,7731,498,32,22,2,268,261,1,530,3,10,38,87,84,103,100,77,37,15,0,0 to 102,49,259,46,207,18,304,172,54,209,5,135,6,2,12,554,281,272,530,24,0,7201,17,7783,7218,554,12,404,59,3899316052.50861,350452.549474464,50
45,45,28,055,HIGHLANDS,Highlands,FL,1616,29,20,72,167,162,188,248,336,280,111,3,0 to 100,61,946,643,27,1577,39,0,35,1516,47,84,16,93,1516,1,6,1570,75,17,1,0,46,46,0,92,1,2,6,12,12,11,20,13,15,1,0,0 to 85,55,49,23,18,2,30,55,7,39,1,30,1,0,8,93,47,46,92,1,0,1478,38,1610,1516,93,8,99,37,2866885704.30579,296636.719911829,56
46,46,36,071,LEE,Lee,FL,13662,166,180,964,1822,1988,2231,2346,1984,1312,659,10,0 to 119,52,8089,5378,195,13380,281,1,356,12215,613,1173,151,1219,12431,4,8,13369,1054,121,39,5,618,555,2,1175,9,10,76,136,170,192,195,177,133,121,0,0 to 101,55,735,184,35,221,260,688,227,399,13,299,12,3,62,1219,581,636,1174,44,1,12194,237,13654,12431,1219,62,1536,352,2112333669.17714,583283.842331616,54
47,47,11,021,COLLIER,Collier,FL,6697,116,129,423,770,847,1006,1114,1088,856,345,3,0 to 105,55,3849,2830,18,6455,242,0,193,5927,356,701,139,712,5976,2,7,6446,464,178,53,17,330,312,0,642,10,17,53,76,73,101,126,98,106,52,0,0 to 101,56,464,46,50,82,221,334,87,163,18,121,9,4,27,712,351,361,642,70,0,5804,172,6690,5976,712,27,870,445,5197102107.68439,580181.883282756,57
48,48,13,025,MIAMI-DADE,Dade,FL,107253,910,1380,7699,17134,17398,20154,18569,12555,7000,3918,536,0 to 135,49,55063,51003,1187,106770,482,1,2502,98779,2785,8178,796,13664,93099,185,305,106283,12944,567,146,7,6444,7058,9,13511,54,119,1061,2253,2159,2634,2248,1532,947,632,25,0 to 105,49,6808,2030,548,4125,6526,2766,4219,3538,35,1976,24,7,468,13664,7166,6487,13510,153,1,92772,327,106948,93099,13664,468,2142,1421,5114451079.58835,540836.793924443,49
49,49,44,087,MONROE,Monroe,FL,1562,14,23,83,159,229,268,360,256,120,49,1,0 to 101,55,840,716,6,1517,45,0,453,1000,83,224,70,80,1459,0,23,1494,58,14,4,4,35,37,0,72,0,3,6,11,13,16,15,10,6,0,0,6 to 80,49,58,5,0,9,18,45,9,13,3,9,2,0,3,80,41,39,72,8,0,1422,37,1539,1459,80,3,228,58,2629619857.16548,1399292.97354894,49
50,50,57,113,SANTA ROSA,Santa Rosa,FL,3924,156,161,332,530,561,557,605,515,320,179,8,0 to 119,49,2337,1565,22,3917,7,0,59,3746,99,135,47,162,3759,2,1,3914,121,40,1,0,54,107,0,161,3,1,16,23,28,29,27,21,7,7,0,0 to 94,48,114,26,2,19,8,135,18,23,0,23,0,0,9,162,107,55,161,1,0,3753,6,3923,3759,162,9,519,70,2596863920.94926,364280.718031263,49
51,51,66,131,WALTON,Walton,FL,796,28,19,60,85,109,129,147,122,59,36,2,0 to 97,52,419,346,31,772,24,0,20,743,15,74,30,51,744,1,0,771,31,11,7,2,26,16,0,42,0,0,3,7,7,7,7,9,7,4,0,20 to 94,58,37,4,0,1,1,40,1,7,2,6,2,0,1,51,20,31,42,9,0,729,15,796,744,51,1,46,20,2708101782.46999,370154.781284707,49
52,52,32,063,JACKSON,Jackson,FL,769,9,10,50,120,106,163,151,95,49,16,0,0 to 97,50,380,378,11,760,9,0,18,720,19,38,16,74,695,0,0,760,67,6,0,1,12,61,0,73,1,2,1,23,22,12,11,0,2,0,0,4 to 82,39,34,29,4,6,4,23,46,4,0,1,0,0,0,74,62,12,73,1,0,687,8,769,695,74,0,69,34,2452499072.79567,223828.324060307,36
53,53,67,133,WASHINGTON,Washington,FL,334,2,3,15,37,44,61,72,52,36,12,0,2 to 103,55,193,123,18,333,1,0,28,289,9,38,9,12,322,0,0,333,6,6,0,0,5,7,0,12,0,0,0,3,0,3,6,0,0,0,0,25 to 62,54,12,0,0,0,0,12,0,0,0,1,0,0,0,12,7,5,12,0,0,321,1,334,322,12,0,42,10,1594396648.51196,243766.072259733,54
54,54,45,089,NASSAU,Nassau,FL,1802,23,28,143,224,257,276,326,244,175,106,0,0 to 103,53,956,661,185,1737,65,0,26,1732,28,47,23,60,1742,0,0,1737,45,13,0,2,33,25,0,58,0,0,6,9,11,8,8,11,5,2,0,15 to 89,49,47,7,2,2,1,56,1,22,0,13,0,1,1,60,26,34,58,2,0,1679,63,1802,1742,60,1,35,32,1641620662.32831,388721.737801268,49
55,55,22,043,GLADES,Glades,FL,85,1,2,9,11,14,8,14,10,13,3,0,1 to 90,51,48,35,2,85,0,0,2,78,3,6,0,6,79,0,0,85,4,2,0,0,3,3,0,6,0,0,0,1,0,1,1,1,1,1,0,30 to 89,61,3,3,0,0,0,5,1,3,0,3,0,0,1,6,3,3,6,0,0,79,0,85,79,6,1,18,0,2551976411.00452,236757.936928168,61
56,56,8,015,CHARLOTTE,Charlotte,FL,3206,26,25,155,276,334,440,607,520,423,398,2,0 to 102,60,1943,1235,28,3189,17,0,97,2917,62,268,13,312,2887,1,6,3183,215,96,0,1,203,108,0,311,1,2,9,25,13,28,56,53,52,73,0,3 to 101,70,233,34,7,37,12,251,48,43,1,62,1,0,31,312,109,203,311,1,0,2872,15,3200,2887,312,31,80,59,1825525431.11919,398247.923422686,68
57,57,58,115,SARASOTA,Sarasota,FL,6109,99,82,352,621,677,849,1062,1051,787,526,3,0 to 115,58,3522,2485,102,5954,155,0,368,5476,190,662,83,416,5690,1,2,5951,350,50,10,6,232,168,0,400,2,1,18,36,44,54,61,76,71,53,0,0 to 102,63,317,24,31,28,42,308,50,157,10,135,7,1,54,416,178,238,400,16,0,5551,139,6107,5690,416,54,222,116,1509311882.53409,264158.506465067,64
58,58,14,027,DESOTO,Desoto,FL,1283,19,9,64,154,183,274,320,153,72,32,3,0 to 94,53,424,808,51,1275,8,0,8,1199,48,118,4,42,1236,0,5,1270,32,10,0,0,16,26,0,42,0,0,1,7,4,6,10,6,4,4,0,21 to 92,60,29,1,0,12,6,19,17,13,0,12,0,0,5,42,26,16,42,0,0,1228,8,1278,1236,42,5,38,34,1654926851.96404,168390.780925558,62
59,59,18,035,FLAGLER,Flagler,FL,2067,26,17,98,231,289,314,412,385,225,69,1,0 to 98,56,1203,822,42,2052,15,0,46,1954,37,131,35,147,1916,4,0,2048,126,17,4,0,84,59,0,143,0,1,9,17,18,22,36,31,12,1,0,7 to 87,56,99,16,22,6,17,118,8,23,2,15,2,0,3,147,60,87,143,4,0,1905,11,2067,1916,147,3,58,29,1294754947.55994,220559.838719988,56
