OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
17,17,2,003,BAKER,Baker,FL,325,10,6,35,50,39,61,48,30,28,18,0,0 to 99,48,199,108,18,321,4,0,17,290,16,53,256,3,20,305,0,0,321,5,15,0,0,13,7,0,20,0,0,1,1,2,0,4,4,5,3,0,24 to 97,70,17,2,1,0,0,19,1,5,0,8,0,0,3,20,7,13,20,0,0,301,4,325,305,20,3,3,2,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,Holmes,FL,460,7,6,25,48,47,76,86,99,49,17,0,0 to 100,58,263,174,23,458,2,0,0,454,5,10,384,1,9,445,0,6,452,3,6,0,0,3,6,0,9,0,0,0,2,3,2,1,1,0,0,0,27 to 73,44,6,1,1,1,0,8,1,2,0,0,0,0,0,9,6,3,9,0,0,443,2,460,445,9,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,Martin,FL,1566,22,16,84,163,195,249,336,262,171,64,4,0 to 99,56,872,664,30,1556,10,0,75,1404,82,126,1297,57,169,1392,0,5,1552,153,7,9,0,70,90,0,160,1,1,10,17,19,27,39,21,28,6,0,3 to 92,57,105,6,19,30,32,101,27,58,2,39,1,0,5,169,97,72,160,9,0,1392,0,1566,1392,169,5,61,51,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,17113,417,416,1535,3036,2951,2839,2710,1863,900,409,37,0 to 119,45,10047,6986,80,16934,179,0,415,16216,458,601,15278,267,1022,16044,36,11,16888,911,67,42,2,497,481,0,978,10,24,119,167,183,186,160,100,50,23,0,0 to 100,45,485,158,206,129,288,531,159,268,9,155,5,2,21,1022,501,521,978,44,0,15910,134,17113,16044,1022,21,659,313,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,Manatee,FL,3126,69,67,194,384,437,517,545,434,327,150,2,0 to 100,53,1888,1188,50,3107,19,0,239,2688,177,424,2369,33,491,2630,2,3,3102,434,55,2,0,285,203,1,489,1,8,21,42,59,88,63,84,91,34,0,2 to 98,59,301,81,39,68,53,327,109,85,1,125,1,1,42,491,205,285,489,2,0,2613,17,3126,2630,491,42,183,92,1945653927.12581,371198.171414394
22,22,10,019,CLAY,Clay,FL,3342,47,75,261,452,574,624,542,418,237,103,9,0 to 99,49,1915,1305,122,3337,5,0,68,3114,130,285,2849,42,266,3074,1,1,3335,235,29,2,0,157,107,0,264,0,0,15,21,35,43,48,51,34,19,0,17 to 95,59,146,48,16,54,21,188,55,73,0,56,0,0,14,266,108,158,264,2,0,3071,3,3342,3074,266,14,159,135,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,Hardee,FL,109,2,1,11,21,13,18,16,21,4,2,0,0 to 89,48,58,49,2,105,4,0,4,102,2,6,93,3,9,100,0,0,105,7,0,2,0,4,3,0,7,0,0,0,0,2,3,0,4,0,0,0,35 to 74,50,2,3,0,2,0,5,2,1,2,1,2,0,0,9,4,5,7,2,0,98,2,109,100,9,0,7,7,1653184151.65315,165534.73009074
24,24,42,083,MARION,Marion,FL,3824,56,53,260,438,509,597,694,655,386,173,3,0 to 119,54,2325,1461,38,3816,8,0,509,3123,177,320,2946,86,148,3427,2,247,3568,125,20,3,0,82,63,0,145,1,1,7,21,27,31,34,17,5,4,0,2 to 96,51,111,23,10,1,24,119,2,29,2,20,0,0,4,148,64,84,145,3,0,3423,4,3824,3427,148,4,211,115,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,Volusia,FL,7012,74,118,377,771,801,1121,1472,1325,646,296,11,0 to 108,56,3788,2891,333,6980,32,0,120,6575,230,388,5717,122,428,6580,2,2,6976,323,95,9,1,173,245,0,418,1,4,23,57,60,81,68,77,28,29,0,1 to 102,53,235,49,72,62,44,260,114,102,5,74,4,0,15,428,249,179,418,10,0,6558,22,7012,6580,428,15,426,178,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,Dixie,FL,182,5,4,18,17,30,27,27,35,14,4,1,0 to 90,51,103,77,2,182,0,0,8,167,6,14,158,0,5,176,0,1,181,4,1,0,0,4,1,0,5,0,0,1,0,1,1,0,1,0,1,0,24 to 86,53,1,2,0,2,0,3,2,4,0,2,0,0,0,5,1,4,5,0,0,176,0,182,176,5,0,24,17,1823798262.39212,235232.973119088
