OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
11,11,33,065,JEFFERSON,Jefferson,FL,138,7,4,5,10,18,18,29,19,14,12,2,0 to 96,56,86,49,3,135,3,0,4,90,41,35,5,27,109,0,2,133,5,20,2,0,12,13,0,25,0,0,1,1,1,2,7,7,4,4,0,22 to 95,66,11,10,4,0,3,20,2,4,2,6,0,0,2,27,15,12,25,2,0,108,1,138,109,27,2,43,10,1581350101.5302,228391.565390175
12,12,40,079,MADISON,Madison,FL,373,31,18,20,26,43,36,40,61,41,32,25,0 to 99,54,216,138,19,363,10,0,14,296,53,168,5,41,238,0,94,273,19,20,2,0,20,19,0,39,2,0,4,3,5,5,6,7,4,5,0,0 to 89,59,10,22,2,5,1,29,9,8,0,4,0,0,2,41,20,21,39,2,0,234,4,373,238,41,2,72,28,1853116752.08771,219176.19751538
13,13,39,077,LIBERTY,Liberty,FL,43,2,3,6,10,6,4,6,4,1,1,0,0 to 89,35,26,15,2,43,0,0,1,41,1,2,0,2,41,0,0,43,2,0,0,0,0,2,0,2,0,0,0,1,0,0,1,0,0,0,0,29 to 56,42,2,0,0,0,0,2,0,1,0,0,0,0,0,2,2,0,2,0,0,41,0,43,41,2,0,13,4,2183538740.41838,308797.501184753
14,14,24,047,HAMILTON,Hamilton,FL,136,4,2,17,21,15,15,26,20,7,6,3,0 to 99,50,79,49,8,134,2,0,9,118,9,16,3,6,126,0,4,131,2,4,0,0,6,0,0,6,0,0,0,2,1,0,3,0,0,0,0,32 to 64,50,4,2,0,0,0,6,0,3,0,0,0,0,0,6,0,6,6,0,0,125,1,136,126,6,0,3,1,1344926537.82205,232510.619937192
15,15,3,005,BAY,Bay,FL,1104,11,17,80,144,171,226,216,137,72,30,0,0 to 99,50,599,451,54,1102,2,0,37,1038,28,69,29,63,1040,1,0,1101,47,15,1,0,26,36,0,62,0,1,3,10,12,16,9,9,2,1,0,14 to 93,47,47,8,3,4,14,42,6,20,1,9,1,0,2,63,37,26,62,1,0,1039,1,1104,1040,63,2,32,27,1930770661.49939,558412.990825665
16,16,12,023,COLUMBIA,Columbia,FL,845,32,31,56,119,125,120,162,120,57,19,4,0 to 118,49,454,336,55,836,9,0,132,647,63,129,17,47,792,0,6,832,33,13,1,0,27,19,0,46,1,0,5,11,5,8,12,4,1,0,0,1 to 76,46,36,7,2,1,5,38,3,3,0,6,0,0,0,47,20,27,46,1,0,786,6,845,792,47,0,8,6,2068684690.43686,276060.430857214
17,17,2,003,BAKER,Baker,FL,341,10,6,36,55,40,64,50,33,28,19,0,0 to 99,48,205,117,19,337,4,0,17,306,16,53,3,20,321,0,0,337,5,15,0,0,13,7,0,20,0,0,1,1,2,0,4,4,5,3,0,24 to 97,70,17,2,1,0,0,19,1,5,0,8,0,0,3,20,7,13,20,0,0,317,4,341,321,20,3,3,2,1520245937.66486,183737.354704368
18,18,30,059,HOLMES,Holmes,FL,475,7,6,27,52,51,76,90,100,49,17,0,0 to 100,57,272,181,22,472,3,0,0,469,5,10,1,9,461,0,5,467,3,6,0,0,3,6,0,9,0,0,0,2,3,2,1,1,0,0,0,27 to 73,44,6,1,1,1,0,8,1,2,0,0,0,0,0,9,6,3,9,0,0,458,3,475,461,9,0,5,5,1251550190.83949,175658.620344926
19,19,43,085,MARTIN,Martin,FL,1598,24,18,86,168,198,254,344,265,172,65,4,0 to 99,56,884,684,30,1588,10,0,76,1435,82,126,58,169,1424,0,5,1584,153,7,9,0,70,90,0,160,1,1,10,17,19,27,39,21,28,6,0,3 to 92,57,108,6,18,28,32,102,26,59,2,39,1,0,5,169,97,72,160,9,0,1424,0,1598,1424,169,5,61,51,1686613017.08661,308980.48751506
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,17941,441,435,1618,3150,3072,2967,2856,1961,969,434,38,0 to 119,45,10521,7336,84,17748,193,0,414,17034,458,608,268,1041,16857,33,10,17706,927,69,43,2,505,491,0,996,10,26,120,172,185,189,164,100,51,24,0,0 to 100,45,493,160,208,135,293,538,165,275,9,156,5,2,21,1041,511,530,996,45,0,16710,147,17941,16857,1041,21,659,313,2746844886.16013,358788.307034344
21,21,41,081,MANATEE,Manatee,FL,3194,70,68,196,396,448,527,559,445,330,153,2,0 to 100,53,1925,1214,55,3173,21,0,240,2753,177,433,33,497,2692,2,3,3168,440,55,2,0,290,204,1,495,1,8,21,45,60,89,63,85,91,34,0,2 to 98,58,307,81,40,67,53,334,108,86,1,126,1,1,42,497,206,290,495,2,0,2673,19,3194,2692,497,42,183,92,1945653927.12581,371198.171414394
22,22,10,019,CLAY,Clay,FL,3450,49,75,272,462,584,649,559,433,253,105,9,0 to 99,49,1992,1336,122,3445,5,0,68,3222,130,285,42,267,3181,1,1,3443,236,29,2,0,158,107,0,265,0,0,15,22,35,43,48,51,34,19,0,17 to 95,59,146,48,16,55,21,188,56,73,0,56,0,0,14,267,108,159,265,2,0,3178,3,3450,3181,267,14,159,135,1667659896.51059,183856.484298748
23,23,25,049,HARDEE,Hardee,FL,115,2,1,12,21,14,20,16,22,5,2,0,0 to 89,49,61,52,2,111,4,0,5,107,2,7,3,10,105,0,0,111,8,0,2,0,5,3,0,8,0,0,0,0,2,3,0,5,0,0,0,35 to 74,60,3,4,0,1,0,7,1,2,2,1,2,0,0,10,4,6,8,2,0,103,2,115,105,10,0,7,7,1653184151.65315,165534.73009074
24,24,42,083,MARION,Marion,FL,3954,58,54,265,455,525,616,720,675,398,185,3,0 to 119,55,2412,1503,39,3945,9,0,509,3252,177,336,86,150,3558,2,244,3700,127,20,3,0,82,65,0,147,1,1,7,22,27,31,34,17,6,4,0,2 to 96,51,112,23,11,1,24,121,2,29,2,20,0,0,4,150,66,84,147,3,0,3553,5,3954,3558,150,4,213,117,4305055841.62241,350920.190673371
25,25,64,127,VOLUSIA,Volusia,FL,7568,76,127,415,817,859,1213,1587,1444,691,326,13,0 to 108,56,4072,3104,392,7535,33,0,120,7122,230,392,121,432,7131,3,2,7530,325,97,9,1,177,245,0,422,1,4,22,59,60,81,69,78,29,29,0,1 to 102,53,237,50,75,60,44,262,116,102,5,74,4,0,15,432,249,183,422,10,0,7108,23,7568,7131,432,15,429,180,3125661534.15881,560414.737839251
26,26,15,029,DIXIE,Dixie,FL,189,6,4,18,18,32,28,28,35,15,4,1,0 to 90,51,107,80,2,189,0,0,8,174,6,14,0,6,182,0,1,188,5,1,0,0,5,1,0,6,0,0,1,0,1,1,1,1,0,1,0,24 to 86,54,2,2,0,2,0,4,2,4,0,2,0,0,0,6,1,5,6,0,0,182,0,189,182,6,0,24,17,1823798262.39212,235232.973119088
27,27,35,069,LAKE,Lake,FL,4904,118,111,322,601,619,786,842,750,569,180,6,0 to 101,53,2709,2075,120,4839,65,0,85,4556,222,237,77,221,4667,1,15,4823,193,16,12,0,107,102,0,209,1,7,12,23,33,41,34,37,31,2,0,1 to 86,52,97,24,68,20,61,123,25,92,10,54,4,1,10,221,109,112,209,12,0,4614,53,4904,4667,221,10,283,104,2995995460.71371,331014.242454318
28,28,38,075,LEVY,Levy,FL,488,12,14,49,68,63,71,95,62,34,19,1,0 to 118,50,306,173,9,488,0,0,13,456,16,36,2,13,475,0,0,488,11,2,0,0,9,4,0,13,0,0,1,1,4,2,3,0,1,1,0,16 to 93,48,7,3,1,2,2,9,2,5,0,2,0,0,0,13,4,9,13,0,0,475,0,488,475,13,0,37,23,2900663690.96646,339394.964008615
29,29,60,119,SUMTER,Sumter,FL,1749,16,15,48,82,74,149,242,694,386,41,2,0 to 96,69,904,766,79,1742,7,0,95,1488,164,175,52,169,1554,0,26,1716,127,42,0,0,61,107,1,169,0,0,5,4,14,25,29,56,31,5,0,17 to 92,66,149,12,2,6,9,154,6,51,0,39,0,0,12,169,107,61,169,0,0,1547,7,1749,1554,169,12,48,39,1502516062.89801,229328.389599522
30,30,59,117,SEMINOLE,Seminole,FL,5279,99,115,431,862,934,967,840,662,231,135,3,0 to 118,47,3059,2177,43,5269,10,0,180,4843,246,326,91,351,4919,3,6,5260,307,38,6,0,179,166,0,345,3,5,32,66,51,67,45,52,18,12,0,1 to 100,47,245,44,39,17,128,192,25,153,5,79,1,0,8,351,168,183,345,6,0,4915,4,5279,4919,351,8,384,151,893350621.597626,158549.770327082
31,31,48,095,ORANGE,Orange,FL,21522,544,625,1855,3705,3884,3908,3504,2135,964,385,13,0 to 120,45,12024,9409,89,21125,396,1,461,20399,585,852,301,1304,20195,3,20,21103,1146,96,58,4,599,641,2,1242,19,18,135,218,241,272,206,108,62,25,0,0 to 101,45,576,165,359,142,412,457,373,438,35,223,30,2,30,1304,676,626,1241,62,1,19861,334,21522,20195,1304,30,577,380,2601855780.29929,275135.911496092
32,32,9,017,CITRUS,Citrus,FL,1477,20,31,88,179,176,210,259,270,170,70,4,0 to 98,56,808,509,160,1473,4,0,39,1313,119,161,24,95,1380,1,1,1471,44,51,0,0,48,47,0,95,1,4,5,8,6,14,24,15,12,6,0,3 to 93,59,64,1,6,24,9,63,23,26,0,25,0,0,9,95,47,48,95,0,0,1376,4,1477,1380,95,9,343,80,1565249379.23035,242867.273750112
33,33,27,053,HERNANDO,Hernando,FL,1523,24,24,107,223,213,259,273,218,133,48,1,0 to 97,51,872,642,9,1507,16,0,51,1404,66,116,37,89,1434,0,0,1507,45,38,5,1,41,42,0,83,1,2,4,17,12,13,18,15,6,1,0,1 to 85,49,54,5,3,21,12,35,36,29,2,20,2,1,3,89,44,45,83,6,0,1424,10,1523,1434,89,3,48,31,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,Pinellas,FL,12681,168,176,814,1793,1761,2104,2367,1821,1021,630,26,0 to 120,53,7567,5078,36,12522,159,0,738,11473,411,1117,322,677,11917,10,77,12436,557,79,35,6,335,301,0,636,1,4,44,89,70,112,127,98,66,66,0,1 to 101,56,504,81,36,15,56,554,26,173,16,158,14,1,24,677,326,351,636,41,0,11800,117,12681,11917,677,24,309,219,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,Suwannee,FL,537,21,7,38,77,69,72,92,81,42,35,3,0 to 118,53,349,172,16,537,0,0,49,375,110,129,5,109,426,0,2,535,25,84,0,0,78,31,0,109,0,2,11,12,13,11,14,17,15,14,0,5 to 102,59,73,32,0,4,3,101,5,24,0,29,0,0,11,109,31,78,109,0,0,426,0,537,426,109,11,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,Duval,FL,20458,312,380,1952,3756,3382,3397,3415,2189,1068,572,35,0 to 119,46,11415,8328,715,20337,121,0,313,19656,454,312,74,965,19412,9,72,20256,837,105,14,9,504,437,1,942,9,15,79,165,164,146,175,111,67,34,0,0 to 97,49,219,188,55,480,32,389,521,120,9,92,5,0,18,965,448,513,942,23,0,19314,98,20458,19412,965,18,622,553,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,Lafayette,FL,64,3,0,6,6,16,4,3,11,9,6,0,0 to 118,46,33,30,1,64,0,0,8,56,0,8,0,1,63,0,0,64,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,63,0,64,63,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,Gulf,FL,121,3,4,5,19,14,20,23,21,10,2,0,1 to 91,53,72,47,2,119,2,0,15,105,1,32,8,1,120,0,0,119,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,118,2,121,120,1,0,5,2,1469866107.27026,258929.917930346
39,39,63,125,UNION,Union,FL,200,4,4,18,28,46,33,26,27,9,5,0,1 to 118,44,109,85,6,200,0,0,13,183,4,17,4,4,195,0,1,199,3,1,0,0,2,2,0,4,0,0,0,1,0,0,3,0,0,0,0,25 to 60,55,3,0,0,1,0,3,1,1,0,0,0,0,0,4,2,2,4,0,0,195,0,200,195,4,0,8,7,646977045.561768,128178.538552252
40,40,4,007,BRADFORD,Bradford,FL,702,6,8,68,87,84,84,111,84,89,77,4,0 to 107,56,457,234,11,702,0,0,24,642,34,124,0,42,657,0,3,699,13,29,0,0,34,8,0,42,0,2,3,1,5,3,2,6,11,9,0,8 to 107,74,39,3,0,0,0,41,1,4,0,10,0,0,2,42,8,34,42,0,0,657,0,702,657,42,2,111,79,776744615.959412,167178.838252791
41,41,65,129,WAKULLA,Wakulla,FL,273,3,7,27,51,41,54,51,24,11,3,1,0 to 93,46,153,118,2,271,2,0,8,244,13,29,2,20,253,0,0,271,13,6,1,0,14,5,0,19,0,0,4,5,1,7,2,1,0,0,0,19 to 65,40,7,11,1,0,0,19,0,5,0,5,0,0,1,20,5,15,19,1,0,252,1,273,253,20,1,40,15,1579533632.64177,279225.038340218
42,42,5,009,BREVARD,Brevard,FL,7158,99,131,412,844,887,1059,1600,1334,598,193,1,0 to 103,55,4185,2900,73,7149,9,0,95,6946,107,239,57,250,6904,2,2,7145,209,33,6,2,120,122,0,242,2,5,19,32,34,38,56,32,23,9,0,1 to 94,53,168,45,12,17,39,185,18,73,2,45,2,0,8,250,124,126,242,8,0,6903,1,7158,6904,250,8,207,156,2687643838.87906,793218.333609179
43,43,53,105,POLK,Polk,FL,6313,156,146,483,903,947,1029,1016,873,533,224,3,0 to 102,49,3638,2536,139,6289,24,0,223,5838,231,387,113,400,5904,2,7,6280,308,86,5,1,229,164,1,394,1,5,17,55,56,67,68,51,49,31,0,3 to 102,54,239,79,46,30,109,237,48,174,3,119,1,0,18,400,166,233,394,6,0,5886,18,6313,5904,400,18,365,169,5206715917.89822,388118.956177661
44,44,49,097,OSCEOLA,Osceola,FL,4645,60,135,371,799,838,860,742,487,256,88,9,0 to 102,46,2630,1995,20,4613,32,0,315,3895,390,503,162,463,4120,3,59,4553,418,28,15,2,223,223,0,446,2,8,33,63,74,96,88,66,29,4,0,0 to 102,49,222,34,181,9,258,141,47,194,5,123,6,1,7,463,236,227,446,17,0,4107,13,4645,4120,463,7,359,80,3899316052.50861,350452.549474464
45,45,28,055,HIGHLANDS,Highlands,FL,1037,15,8,44,111,104,116,141,239,194,62,3,0 to 95,63,592,421,24,1005,32,0,30,959,47,60,15,76,960,1,0,1004,61,14,1,0,35,40,0,75,1,1,5,10,6,10,16,13,12,2,0,0 to 95,59,37,21,16,1,24,44,7,36,1,28,1,0,7,76,41,35,75,1,0,929,31,1037,960,76,7,79,32,2866885704.30579,296636.719911829
46,46,36,071,LEE,Lee,FL,10274,128,130,704,1392,1534,1744,1796,1483,928,431,4,0 to 119,52,6069,4006,199,10084,189,1,257,9314,613,671,133,944,9305,2,23,10061,808,102,30,4,465,442,3,910,8,8,60,111,137,153,163,147,101,56,0,0 to 100,54,481,111,28,290,159,461,290,240,12,189,10,1,36,944,462,479,909,34,1,9151,154,10274,9305,944,36,1343,447,2112333669.17714,583283.842331616
47,47,11,021,COLLIER,Collier,FL,5027,75,85,307,619,681,766,842,812,609,228,3,0 to 103,54,2881,2130,16,4854,173,0,187,4446,356,513,136,535,4476,1,15,4838,319,150,50,16,239,230,0,469,6,7,31,65,56,78,109,75,80,28,0,0 to 101,57,330,22,36,81,143,236,90,114,16,72,7,2,15,535,268,267,469,66,0,4369,107,5027,4476,535,15,739,422,5197102107.68439,580181.883282756
48,48,13,025,MIAMI-DADE,Dade,FL,73945,672,945,5019,12094,12301,14213,12784,8530,4492,2404,491,0 to 119,49,38320,34598,1027,73602,342,1,1579,69093,2785,4471,672,11005,62506,169,265,73171,10422,447,130,6,5204,5628,37,10869,45,89,814,1854,1773,2176,1858,1248,717,409,22,0 to 105,49,4838,1412,440,4179,4549,1966,4354,2433,24,1253,12,1,295,11005,5720,5246,10868,136,1,62302,204,73945,62506,11005,295,2088,1381,5114451079.58835,540836.793924443
49,49,44,087,MONROE,Monroe,FL,1146,12,16,61,131,167,211,258,186,80,23,1,0 to 97,54,602,538,6,1111,35,0,282,777,83,136,65,77,1051,0,18,1093,55,14,4,4,33,36,0,69,0,3,6,11,11,14,15,11,6,0,0,6 to 80,51,55,5,0,9,18,42,9,13,3,10,2,0,3,77,40,37,69,8,0,1024,27,1146,1051,77,3,207,80,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,Santa Rosa,FL,2428,116,111,218,388,401,372,342,255,123,96,6,0 to 102,44,1427,978,23,2424,4,0,55,2272,99,121,44,147,2279,1,1,2422,106,40,1,0,44,99,3,146,3,0,15,21,26,27,22,19,7,7,0,0 to 94,48,104,19,2,21,6,120,20,21,0,20,0,0,6,147,99,45,146,1,0,2276,3,2428,2279,147,6,493,71,2596863920.94926,364280.718031263
51,51,66,131,WALTON,Walton,FL,545,22,11,43,54,93,100,90,77,29,25,1,0 to 115,49,292,234,19,532,13,0,19,508,15,58,29,35,509,1,0,531,22,5,6,2,18,9,0,27,0,0,3,5,6,7,5,3,5,1,0,20 to 90,49,23,3,0,1,1,25,1,7,2,6,2,0,0,35,13,22,27,8,0,504,5,545,509,35,0,37,17,2708101782.46999,370154.781284707
52,52,32,063,JACKSON,Jackson,FL,388,8,8,30,58,55,73,66,44,35,11,0,0 to 96,50,220,158,10,380,8,0,18,348,19,27,16,13,375,0,0,380,7,5,0,1,9,3,0,12,0,2,1,4,3,1,2,0,0,0,0,11 to 60,34,4,8,0,0,1,11,0,3,0,0,0,0,0,13,4,9,12,1,0,368,7,388,375,13,0,36,12,2452499072.79567,223828.324060307
53,53,67,133,WASHINGTON,Washington,FL,280,1,1,11,29,40,53,63,45,28,9,0,3 to 103,55,163,98,19,279,1,0,27,238,9,36,8,12,267,0,1,278,6,6,0,0,5,7,0,12,0,0,0,3,0,3,6,0,0,0,0,25 to 62,54,12,0,0,0,0,12,0,0,0,1,0,0,0,12,7,5,12,0,0,266,1,280,267,12,0,41,20,1594396648.51196,243766.072259733
54,54,45,089,NASSAU,Nassau,FL,1309,16,18,106,172,189,205,225,167,133,78,0,0 to 103,52,680,455,174,1264,45,0,27,1251,28,37,22,50,1259,0,0,1264,37,11,0,2,30,18,0,48,0,0,5,6,9,6,7,11,5,1,0,20 to 89,50,31,6,2,9,1,37,10,18,0,12,0,0,0,50,19,31,48,2,0,1216,43,1309,1259,50,0,23,20,1641620662.32831,388721.737801268
55,55,22,043,GLADES,Glades,FL,50,1,1,3,9,7,6,9,5,6,3,0,1 to 90,52,25,24,1,50,0,0,2,45,3,5,0,5,45,0,0,50,3,2,0,0,2,3,0,5,0,0,0,1,0,0,1,1,1,1,0,30 to 89,67,2,3,0,0,0,4,1,3,0,3,0,0,1,5,3,2,5,0,0,45,0,50,45,5,1,18,7,2551976411.00452,236757.936928168
56,56,8,015,CHARLOTTE,Charlotte,FL,1859,21,17,99,176,209,256,341,327,249,162,2,0 to 100,59,1082,751,26,1843,16,0,69,1718,62,118,12,202,1649,2,6,1836,124,77,0,1,119,82,0,201,1,1,6,15,8,19,32,41,37,42,0,3 to 100,70,129,21,4,47,6,134,61,27,0,32,0,0,14,202,83,119,201,1,0,1635,14,1859,1649,202,14,79,61,1825525431.11919,398247.923422686
57,57,58,115,SARASOTA,Sarasota,FL,4170,50,62,224,419,482,594,716,723,542,355,3,0 to 115,58,2382,1709,79,4053,117,0,353,3618,190,560,81,318,3850,1,1,4051,259,43,10,6,169,133,0,302,2,1,11,28,28,43,47,68,54,36,0,0 to 102,64,241,17,25,19,36,232,34,128,11,104,8,0,32,318,143,175,302,16,0,3749,101,4170,3850,318,32,222,117,1509311882.53409,264158.506465067
58,58,14,027,DESOTO,Desoto,FL,488,15,6,20,70,67,79,80,74,52,24,1,0 to 93,53,248,204,36,486,2,0,8,421,48,97,3,24,460,0,4,482,18,6,0,0,9,15,0,24,0,0,0,5,1,3,7,3,3,2,0,27 to 92,60,19,1,0,4,5,12,7,9,0,8,0,0,4,24,15,9,24,0,0,458,2,488,460,24,4,3,0,1654926851.96404,168390.780925558
59,59,18,035,FLAGLER,Flagler,FL,1225,16,11,65,139,176,174,242,239,124,38,1,0 to 98,56,680,505,40,1216,9,0,37,1139,37,100,34,116,1108,1,0,1215,95,17,4,0,62,50,0,112,0,0,5,12,15,17,32,24,11,0,0,17 to 81,58,82,13,11,6,14,92,6,16,2,8,2,0,2,116,51,65,112,4,0,1103,5,1225,1108,116,2,56,27,1294754947.55994,220559.838719988
60,60,26,051,HENDRY,Hendry,FL,441,10,10,40,72,78,66,71,47,28,19,0,0 to 101,46,236,199,6,440,1,0,20,375,32,68,2,64,376,0,1,439,42,22,0,0,32,32,0,64,1,2,3,8,14,11,13,5,3,4,0,2 to 101,46,38,25,1,0,20,41,3,26,0,17,0,0,2,64,32,32,64,0,0,375,1,441,376,64,2,152,104,3080878042.06929,290231.154940413
