ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Chart_MedAge
14,14,24,047,HAMILTON,Hamilton,FL,241,7,4,28,32,20,31,42,44,19,12,2,0 to 118,53,128,89,24,237,4,0,9,224,9,18,4,8,233,0,0,237,3,4,0,1,6,1,0,7,0,0,0,3,2,0,3,0,0,0,0,27 to 64,42,4,3,0,0,0,7,0,3,1,0,0,0,0,8,1,7,7,1,0,230,3,241,233,8,0,3,1,1344926537.82205,232510.619937192,50
15,15,3,005,BAY,Bay,FL,1847,20,22,130,234,269,344,344,222,136,78,48,0 to 101,51,994,801,52,1842,5,0,38,1768,28,82,30,76,1769,2,0,1840,57,18,1,0,30,45,0,75,1,1,3,13,13,19,13,9,3,1,0,2 to 93,48,58,9,4,4,18,50,7,22,1,9,1,1,3,76,46,30,75,1,0,1765,4,1847,1769,76,3,35,28,1930770661.49939,558412.990825665,50
16,16,12,023,COLUMBIA,Columbia,FL,1541,46,48,100,190,212,210,310,241,121,58,5,0 to 118,53,760,695,86,1531,10,0,150,1285,63,200,17,102,1433,0,6,1526,77,24,1,0,44,57,0,101,2,2,9,19,15,23,22,8,2,0,0,0 to 80,46,58,38,4,1,8,91,2,5,0,9,0,0,2,102,58,44,101,1,0,1425,8,1535,1433,102,2,8,6,2068684690.43686,276060.430857214,46
17,17,2,003,BAKER,Baker,FL,512,13,10,51,77,67,95,83,52,37,26,1,0 to 99,49,295,195,22,508,4,0,20,473,16,57,3,24,488,0,0,508,7,17,0,0,16,8,0,24,0,0,1,2,3,1,5,4,5,3,0,24 to 97,65,18,5,1,0,0,23,1,6,0,8,0,0,3,24,8,16,24,0,0,484,4,512,488,24,3,3,2,1520245937.66486,183737.354704368,70
18,18,30,059,HOLMES,Holmes,FL,527,10,7,32,60,55,89,100,108,50,16,0,0 to 92,56,300,209,18,521,6,0,1,521,5,11,1,10,517,0,0,521,4,6,0,0,4,6,0,10,1,0,0,2,3,2,1,1,0,0,0,1 to 73,42,7,1,1,1,0,9,1,2,0,0,0,0,0,10,6,4,10,0,0,511,6,527,517,10,0,5,4,1251550190.83949,175658.620344926,44
19,19,43,085,MARTIN,Martin,FL,2365,48,42,151,245,295,344,475,410,255,95,5,0 to 99,56,1304,1024,37,2347,18,0,92,2143,82,188,61,245,2114,0,6,2342,228,7,10,0,104,131,0,235,5,5,23,30,35,39,47,24,30,7,0,2 to 92,50,141,5,51,38,84,115,36,75,2,44,1,1,6,245,138,107,235,10,0,2107,7,2359,2114,245,6,62,51,1686613017.08661,308980.48751506,55
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,29442,691,708,2452,4677,4524,4758,5015,3789,1883,901,44,0 to 119,48,17135,12188,119,29177,265,0,461,28276,458,900,284,1400,27987,40,15,29123,1265,82,50,3,702,644,1,1347,14,27,138,231,223,230,220,153,105,59,0,0 to 104,47,667,253,261,166,357,765,225,341,10,278,7,3,37,1400,669,730,1347,53,0,27776,211,29427,27987,1400,37,669,322,2746844886.16013,358788.307034344,45
21,21,41,081,MANATEE,Manatee,FL,7407,152,167,417,743,821,1063,1438,1364,848,347,47,0 to 102,57,4271,2823,313,7372,35,0,396,6689,177,702,36,756,6645,6,0,7366,695,57,4,0,448,304,0,752,5,21,32,70,94,121,118,118,119,58,0,1 to 101,57,487,144,53,68,128,513,111,115,2,177,2,1,74,756,306,450,752,4,0,6614,31,7407,6645,756,74,183,92,1945653927.12581,371198.171414394,57
22,22,10,019,CLAY,Clay,FL,4809,73,101,387,612,772,874,817,652,358,154,9,0 to 99,50,2770,1923,116,4798,11,0,78,4508,130,321,41,299,4509,1,0,4797,261,36,2,0,176,121,0,297,0,1,17,26,38,48,51,58,39,21,0,6 to 95,58,168,57,19,53,22,219,56,96,0,72,0,0,19,299,122,177,297,2,0,4500,9,4809,4509,299,19,165,136,1667659896.51059,183856.484298748,59
23,23,25,049,HARDEE,Hardee,FL,272,10,13,30,50,29,43,41,37,11,8,0,0 to 94,46,163,105,4,268,4,0,15,200,2,36,3,36,236,0,0,268,21,13,2,0,22,12,0,34,0,4,5,8,2,6,4,6,1,0,0,10 to 83,37,13,18,2,1,5,28,1,10,2,6,2,0,0,36,13,23,34,2,0,234,2,272,236,36,0,41,33,1653184151.65315,165534.73009074,50
24,24,42,083,MARION,Marion,FL,6349,85,94,442,745,791,933,1155,1120,693,289,2,0 to 168,55,3852,2459,38,6328,21,0,803,5286,177,688,110,210,5775,1,363,5964,184,21,4,1,115,90,0,205,4,2,13,29,38,41,40,25,12,6,0,0 to 96,50,151,34,13,7,36,162,7,38,3,29,0,0,5,210,91,119,205,5,0,5759,16,5986,5775,210,5,242,112,4305055841.62241,350920.190673371,51
25,25,64,127,VOLUSIA,Volusia,FL,12497,104,190,636,1381,1431,1959,2654,2354,1201,546,41,0 to 117,57,6746,5005,746,12443,54,0,147,11916,230,514,128,540,11948,9,0,12434,426,102,11,1,214,314,0,528,2,5,28,72,69,101,93,105,34,31,0,0 to 102,54,319,108,87,14,73,420,35,133,5,97,4,0,28,540,319,221,528,12,0,11906,42,12497,11948,540,28,510,184,3125661534.15881,560414.737839251,53
26,26,15,029,DIXIE,Dixie,FL,288,8,8,23,33,47,37,52,44,24,11,1,0 to 118,52,166,119,3,288,0,0,8,264,6,18,0,13,275,0,0,288,10,3,0,0,9,4,0,13,0,0,2,0,3,1,4,1,1,1,0,21 to 86,55,8,4,0,1,0,11,2,5,0,2,0,0,0,13,4,9,13,0,0,275,0,288,275,13,0,42,4,1823798262.39212,235232.973119088,46
27,27,35,069,LAKE,Lake,FL,8787,145,161,486,880,997,1254,1551,1693,1143,323,154,0 to 101,57,4514,3458,815,8709,78,0,93,8402,222,263,83,240,8531,6,10,8693,212,16,12,0,116,112,0,228,1,8,13,27,33,42,38,42,34,2,0,1 to 86,53,115,33,71,9,67,147,14,97,10,60,4,1,14,240,119,121,228,12,0,8465,66,8777,8531,240,14,306,90,2995995460.71371,331014.242454318,52
28,28,38,075,LEVY,Levy,FL,863,14,21,73,111,101,115,144,135,95,53,1,0 to 118,54,548,305,10,863,0,0,14,756,16,139,2,20,843,0,0,863,17,3,0,0,16,4,0,20,0,0,2,2,4,3,4,1,1,3,0,16 to 99,50,14,3,1,2,3,15,2,6,0,2,0,0,0,20,4,16,20,0,0,843,0,863,843,20,0,40,9,2900663690.96646,339394.964008615,53
29,29,60,119,SUMTER,Sumter,FL,2302,16,16,60,115,114,199,328,895,490,63,6,0 to 118,68,1138,1060,104,2292,10,0,100,1968,164,250,52,240,2037,1,24,2267,190,47,2,1,65,172,0,237,0,0,6,6,26,36,35,86,37,8,0,17 to 97,65,198,29,5,5,14,216,7,57,0,42,0,0,14,240,174,66,237,3,0,2030,7,2278,2037,240,14,50,38,1502516062.89801,229328.389599522,66
30,30,59,117,SEMINOLE,Seminole,FL,10060,151,261,787,1431,1552,1728,1750,1475,583,271,71,0 to 118,49,5820,4163,77,10043,17,0,200,9542,246,396,90,411,9637,9,3,10031,360,45,6,0,219,186,0,405,6,8,40,71,60,75,53,58,23,17,0,0 to 100,47,304,58,43,0,151,253,1,167,5,94,1,0,11,411,188,223,405,6,0,9626,11,10057,9637,411,11,393,156,893350621.597626,158549.770327082,47
31,31,48,095,ORANGE,Orange,FL,35240,717,908,2861,5669,5966,6281,6058,3968,1796,665,351,0 to 120,47,19663,15443,134,34608,631,1,508,33838,585,1117,325,1505,33685,34,16,34559,1339,97,65,4,704,732,0,1436,20,27,161,261,271,310,234,119,69,28,5,0 to 101,45,665,208,449,114,562,573,301,517,38,270,34,5,35,1505,771,734,1435,69,1,33123,562,35224,33685,1505,35,602,405,2601855780.29929,275135.911496092,45
32,32,9,017,CITRUS,Citrus,FL,1976,24,37,117,226,217,283,363,384,234,88,3,0 to 98,57,1074,720,182,1971,5,0,41,1791,119,180,24,104,1869,2,1,1969,46,58,0,0,53,51,0,104,2,4,8,9,6,14,26,16,12,7,0,0 to 93,58,70,1,10,23,13,69,22,28,0,27,0,0,11,104,51,53,104,0,0,1865,4,1975,1869,104,11,349,54,1565249379.23035,242867.273750112,58
33,33,27,053,HERNANDO,Hernando,FL,2116,35,36,162,308,294,363,376,297,179,65,1,0 to 97,51,1256,848,12,2098,18,0,54,1984,66,133,38,98,2018,0,0,2098,54,38,5,1,45,47,0,92,1,4,6,20,13,14,18,15,6,1,0,1 to 85,48,82,8,2,0,22,70,0,31,2,21,2,1,5,98,49,49,92,6,0,2006,12,2116,2018,98,5,49,26,1259956856.20596,200494.167365377,49
34,34,52,103,PINELLAS,Pinellas,FL,19201,240,218,1175,2437,2452,3030,3687,3057,1758,1097,50,0 to 120,55,11354,7793,54,19006,195,0,1067,17523,411,2010,338,848,18101,12,240,18756,721,84,37,6,445,360,0,805,1,6,55,108,90,143,155,119,84,87,0,1 to 101,56,611,116,47,31,65,682,58,236,18,235,15,1,59,848,387,461,805,43,0,17951,150,18961,18101,848,59,316,224,758940582.722305,356104.408630079,56
35,35,61,121,SUWANNEE,Suwannee,FL,1270,26,21,89,164,149,148,184,158,145,177,9,0 to 118,56,880,371,19,1270,0,0,53,1071,110,462,5,145,1125,0,0,1270,51,94,0,0,100,45,0,145,0,3,12,13,19,16,16,19,27,20,0,5 to 102,63,97,40,1,7,7,130,8,27,0,35,0,0,18,145,45,100,145,0,0,1125,0,1270,1125,145,18,6,4,1792465815.52835,223150.095858967,63
36,36,16,031,DUVAL,Duval,FL,32031,451,635,2744,5271,4832,5110,5819,4047,2024,1005,93,0 to 119,49,17789,13453,789,31753,278,0,447,30780,454,972,151,1134,30804,14,79,31660,985,114,25,10,589,510,0,1099,11,20,100,177,185,174,206,140,76,45,0,0 to 100,50,474,392,83,150,96,829,174,233,11,182,8,1,29,1134,528,603,1099,35,0,30561,243,31952,30804,1134,29,728,644,2136692125.83844,339628.979868484,50
37,37,34,067,LAFAYETTE,Lafayette,FL,92,3,0,9,13,19,8,7,15,9,9,0,0 to 118,46,49,42,1,92,0,0,10,82,0,10,0,3,89,0,0,92,2,1,0,0,2,1,0,3,0,0,0,1,0,1,0,0,0,1,0,27 to 98,47,3,0,0,0,1,2,0,1,0,0,0,0,0,3,1,2,3,0,0,89,0,92,89,3,0,0,0,1417838543.00769,193229.836834708,47
38,38,23,045,GULF,Gulf,FL,168,4,4,6,21,20,25,33,36,15,4,0,1 to 91,56,96,71,1,165,3,0,15,152,1,40,8,1,167,0,0,165,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,164,3,168,167,1,0,6,3,1469866107.27026,258929.917930346,42
39,39,63,125,UNION,Union,FL,299,6,6,29,45,64,44,43,37,19,6,0,0 to 118,44,167,126,6,299,0,0,13,279,4,36,4,6,293,0,0,299,4,2,0,0,3,3,0,6,0,0,0,2,0,0,4,0,0,0,0,25 to 60,55,5,0,1,0,0,6,0,1,0,1,0,0,0,6,3,3,6,0,0,293,0,299,293,6,0,8,6,646977045.561768,128178.538552252,55
40,40,4,007,BRADFORD,Bradford,FL,939,13,14,85,119,111,139,156,112,102,84,4,0 to 118,53,587,341,11,939,0,0,27,870,34,133,1,48,890,0,1,938,9,39,0,0,40,8,0,48,0,2,3,2,6,4,3,6,12,10,0,8 to 107,72,44,4,0,0,0,48,0,4,0,10,0,0,2,48,8,40,48,0,0,890,0,938,890,48,2,112,80,776744615.959412,167178.838252791,74
41,41,65,129,WAKULLA,Wakulla,FL,604,7,14,49,84,81,102,104,89,45,28,1,0 to 102,51,363,239,2,601,3,0,10,567,13,169,2,29,575,0,0,601,18,9,2,0,19,8,0,27,0,0,4,5,3,9,4,2,1,1,0,19 to 86,46,12,13,2,0,0,27,0,5,0,5,0,0,1,29,8,21,27,2,0,574,1,604,575,29,1,59,21,1579533632.64177,279225.038340218,43
42,42,5,009,BREVARD,Brevard,FL,11963,163,213,651,1237,1388,1714,2726,2375,1173,312,11,0 to 119,57,6934,4943,86,11951,12,0,128,11695,107,303,67,328,11631,3,1,11947,282,36,8,2,166,152,0,318,2,5,23,36,43,52,72,43,32,20,0,1 to 99,55,233,53,13,19,42,256,20,84,2,50,2,0,9,328,154,174,318,10,0,11629,2,11962,11631,328,9,215,157,2687643838.87906,793218.333609179,53
43,43,53,105,POLK,Polk,FL,10173,228,213,758,1417,1444,1595,1641,1434,963,456,24,0 to 119,51,5973,4022,178,10125,48,0,264,9375,231,641,120,623,9543,3,4,10118,492,123,7,1,383,232,0,615,1,6,39,88,90,92,89,85,72,61,0,3 to 102,54,349,140,70,56,154,384,77,263,4,205,2,0,33,623,235,388,615,8,0,9503,40,10169,9543,623,33,520,289,5206715917.89822,388118.956177661,56
44,44,49,097,OSCEOLA,Osceola,FL,8096,93,233,582,1257,1354,1481,1422,958,468,191,57,0 to 109,48,4491,3547,58,8045,51,0,337,7212,390,600,168,564,7476,12,44,7990,499,32,31,2,273,258,0,531,4,10,40,88,84,105,101,77,39,16,0,0 to 102,49,262,47,212,10,307,176,48,214,5,138,6,2,12,564,285,278,531,33,0,7459,17,8052,7476,564,12,403,51,3899316052.50861,350452.549474464,50
45,45,28,055,HIGHLANDS,Highlands,FL,1663,32,21,75,172,163,194,256,343,289,114,4,0 to 100,61,973,663,27,1623,40,0,36,1562,47,87,16,96,1560,1,6,1616,78,17,1,0,48,47,0,95,1,2,6,12,12,11,22,14,15,1,0,0 to 85,56,52,23,18,2,30,57,8,40,1,31,1,0,8,96,48,48,95,1,0,1521,39,1657,1560,96,8,99,37,2866885704.30579,296636.719911829,56
46,46,36,071,LEE,Lee,FL,14177,166,182,987,1862,2032,2288,2450,2117,1393,690,10,0 to 119,53,8374,5607,196,13868,308,1,357,12723,613,1183,153,1249,12915,4,9,13856,1082,121,41,5,637,565,1,1203,9,10,79,140,177,200,199,180,134,121,0,0 to 101,55,748,192,35,228,266,700,237,406,13,303,12,3,65,1249,593,655,1202,46,1,12653,262,14168,12915,1249,65,1539,331,2112333669.17714,583283.842331616,54
47,47,11,021,COLLIER,Collier,FL,6847,118,129,432,782,861,1021,1137,1118,885,361,3,0 to 105,55,3933,2896,18,6599,248,0,192,6054,356,717,139,734,6106,2,5,6592,483,181,53,17,346,318,0,664,11,17,55,81,79,104,127,99,108,53,0,0 to 101,56,483,49,51,81,237,341,86,166,18,125,9,4,27,734,358,376,664,70,0,5928,178,6842,6106,734,27,884,459,5197102107.68439,580181.883282756,57
48,48,13,025,DADE,Dade,FL,109054,933,1396,7842,17431,17632,20455,18908,12782,7142,4001,532,0 to 135,49,56057,51797,1200,108558,495,1,2577,100256,2785,8561,815,13841,94727,184,302,108075,13112,568,153,8,6547,7128,5,13680,55,124,1080,2287,2176,2654,2277,1555,963,649,21,0 to 105,49,6992,2087,553,4048,6716,2836,4128,3645,36,2056,25,7,482,13841,7242,6593,13679,161,1,94395,332,108752,94727,13841,482,2131,1409,5114451079.58835,540836.793924443,49
49,49,44,087,MONROE,Monroe,FL,1623,15,23,88,163,236,272,364,272,133,56,1,0 to 105,55,871,746,6,1578,45,0,456,1027,83,248,70,89,1514,0,20,1558,67,14,4,4,40,41,0,81,0,3,6,11,13,17,16,11,10,2,0,6 to 88,52,64,5,1,11,20,47,14,13,3,9,2,0,3,89,45,44,81,8,0,1477,37,1603,1514,89,3,232,55,2629619857.16548,1399292.97354894,49
50,50,57,113,SANTA ROSA,Santa Rosa,FL,4059,158,165,341,540,568,576,632,554,332,184,9,0 to 119,49,2417,1620,22,4050,9,0,60,3872,99,143,48,172,3884,2,1,4047,130,40,2,0,54,116,0,170,3,1,16,24,28,30,27,26,10,7,0,0 to 94,50,120,27,3,20,10,141,19,23,0,23,0,0,9,172,116,56,170,2,0,3877,7,4058,3884,172,9,521,57,2596863920.94926,364280.718031263,49
51,51,66,131,WALTON,Walton,FL,809,29,19,61,85,110,130,152,123,61,37,2,0 to 97,52,424,354,31,784,25,0,21,752,15,77,31,55,753,1,0,783,34,11,8,2,28,17,0,45,0,0,3,7,7,7,9,9,8,5,0,20 to 94,58,41,3,0,1,1,43,1,7,2,6,2,0,2,55,21,34,45,10,0,738,15,809,753,55,2,46,19,2708101782.46999,370154.781284707,49
52,52,32,063,JACKSON,Jackson,FL,784,9,10,51,123,108,166,153,99,49,16,0,0 to 97,50,390,383,11,775,9,0,18,734,19,38,16,72,712,0,0,775,65,6,0,1,12,59,0,71,1,2,1,22,21,12,11,0,2,0,0,4 to 82,39,36,29,4,2,5,32,34,4,0,1,0,0,0,72,60,12,71,1,0,704,8,784,712,72,0,99,64,2452499072.79567,223828.324060307,36
53,53,67,133,WASHINGTON,Washington,FL,336,2,3,15,38,44,62,72,52,36,12,0,2 to 103,55,195,123,18,335,1,0,28,291,9,38,9,12,324,0,0,335,6,6,0,0,5,7,0,12,0,0,0,3,0,3,6,0,0,0,0,25 to 62,54,12,0,0,0,0,12,0,0,0,1,0,0,0,12,7,5,12,0,0,323,1,336,324,12,0,42,10,1594396648.51196,243766.072259733,54
54,54,45,089,NASSAU,Nassau,FL,1840,23,28,145,227,261,279,333,254,179,111,0,0 to 103,53,981,674,185,1774,66,0,27,1769,28,48,23,60,1779,0,1,1773,45,13,0,2,33,25,0,58,0,0,6,9,11,8,8,11,5,2,0,15 to 89,49,47,7,2,2,1,56,1,22,0,13,0,1,1,60,26,34,58,2,0,1715,64,1839,1779,60,1,35,32,1641620662.32831,388721.737801268,49
55,55,22,043,GLADES,Glades,FL,86,1,2,9,12,14,8,14,10,13,3,0,1 to 90,51,48,36,2,86,0,0,2,79,3,7,0,7,79,0,0,86,5,2,0,0,3,4,0,7,0,0,0,2,0,1,1,1,1,1,0,30 to 89,55,4,3,0,0,1,5,1,4,0,3,0,0,1,7,4,3,7,0,0,79,0,86,79,7,1,18,0,2551976411.00452,236757.936928168,61
56,56,8,015,CHARLOTTE,Charlotte,FL,3234,26,25,156,278,337,446,613,527,424,400,2,0 to 102,60,1961,1245,28,3217,17,0,100,2934,62,279,13,317,2910,1,6,3211,219,97,0,1,206,110,0,316,1,2,9,25,13,31,57,53,52,74,0,3 to 101,69,241,34,7,34,12,259,45,47,1,66,1,0,33,317,111,206,316,1,0,2895,15,3228,2910,317,33,80,59,1825525431.11919,398247.923422686,68
57,57,58,115,SARASOTA,Sarasota,FL,6458,101,84,361,641,701,883,1149,1130,853,551,4,0 to 115,58,3712,2643,103,6293,165,0,370,5821,190,670,84,418,6037,1,2,6290,352,50,10,6,232,170,0,402,2,1,18,36,44,54,61,77,71,54,0,0 to 102,63,322,24,31,25,43,311,48,160,10,136,7,1,57,418,180,238,402,16,0,5888,149,6456,6037,418,57,223,117,1509311882.53409,264158.506465067,64
58,58,14,027,DESOTO,Desoto,FL,1292,19,9,65,154,184,276,323,155,72,32,3,0 to 94,53,430,811,51,1284,8,0,8,1207,48,121,4,47,1240,0,5,1279,37,10,0,0,19,28,0,47,0,0,1,7,5,7,12,7,4,4,0,21 to 92,60,32,1,0,14,9,19,19,13,0,12,0,0,5,47,28,19,47,0,0,1232,8,1287,1240,47,5,41,27,1654926851.96404,168390.780925558,62
59,59,18,035,FLAGLER,Flagler,FL,2146,28,19,99,236,295,322,430,404,238,73,2,0 to 98,56,1245,858,43,2130,16,0,46,2031,37,133,35,147,1995,4,0,2126,126,17,4,0,84,59,0,143,0,1,9,17,18,22,36,31,12,1,0,7 to 87,56,97,15,25,6,17,118,8,24,2,15,2,0,4,147,60,87,143,4,0,1983,12,2146,1995,147,4,58,29,1294754947.55994,220559.838719988,56
