ï»¿FID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,SHAPE_Length,SHAPE_Area
46,46,36,071,LEE,Lee,FL,10987,137,138,758,1502,1625,1840,1924,1583,1011,465,4,0 to 119,52,6514,4279,194,10775,211,1,277,9928,613,761,135,990,9981,2,14,10760,851,103,32,4,491,462,1,954,8,8,62,116,141,161,169,148,105,72,0,0 to 100,54,539,128,26,261,179,512,263,273,12,213,11,1,40,990,484,505,953,36,1,9806,175,10987,9981,990,40,1442,390,5.53875412350018,0.191375285005442
47,47,11,021,COLLIER,Collier,FL,5271,85,95,328,644,701,799,866,854,647,249,3,0 to 105,54,3023,2230,18,5089,182,0,189,4661,356,550,137,568,4689,1,13,5075,345,156,50,17,252,249,0,501,6,10,36,66,57,84,114,78,85,32,0,0 to 101,57,382,28,22,69,163,267,71,125,16,81,7,2,16,568,287,281,501,67,0,4574,115,5271,4689,568,16,762,448,5.51085434088275,0.469024646004233
48,48,13,025,MIAMI-DADE,Dade,FL,81924,722,1025,5654,13367,13512,15652,14164,9414,5115,2822,477,0 to 119,49,42133,38784,1007,81563,360,1,1694,76665,2785,4908,689,11831,69650,171,272,81123,11251,453,121,6,5564,6129,11,11704,46,92,888,1993,1907,2320,1957,1336,792,492,8,0 to 105,49,5139,1542,463,4560,4820,2124,4760,2606,24,1361,12,1,324,11831,6217,5601,11703,127,1,69419,231,81924,69650,11831,324,2085,1380,5.08399988470576,0.459639407492568
49,49,44,087,MONROE,Monroe,FL,1202,12,18,64,131,178,220,271,195,86,26,1,0 to 97,54,635,562,5,1165,37,0,303,805,83,140,67,78,1101,0,23,1142,56,14,4,4,33,37,0,70,0,3,6,11,12,15,15,10,6,0,0,6 to 80,49,55,5,0,10,17,43,10,12,3,9,2,0,3,78,41,37,70,8,0,1072,29,1202,1101,78,3,206,59,13.2628040836788,0.235931608548315
50,50,57,113,SANTA ROSA,Santa Rosa,FL,2567,124,119,233,398,416,391,377,268,133,102,6,0 to 102,44,1502,1045,20,2563,4,0,58,2404,99,124,44,151,2414,1,1,2561,110,40,1,0,46,104,0,150,3,0,16,21,26,27,24,20,7,7,0,0 to 94,49,108,22,2,18,8,125,17,21,0,22,0,0,7,151,104,47,150,1,0,2411,3,2567,2414,151,7,504,78,3.552029247735,0.244558859494853
51,51,66,131,WALTON,Walton,FL,587,23,11,46,61,96,107,98,85,31,27,2,0 to 97,49,310,257,20,572,15,0,19,550,15,58,29,35,551,1,0,571,22,5,6,2,18,9,0,27,0,0,3,5,6,7,5,3,5,1,0,20 to 90,49,23,3,0,1,1,25,1,7,2,6,2,0,0,35,13,22,27,8,0,544,7,587,551,35,0,37,17,3.60138877830291,0.254870622087333
52,52,32,063,JACKSON,Jackson,FL,399,8,8,30,61,56,77,67,45,35,12,0,0 to 96,50,227,161,11,391,8,0,18,359,19,27,16,13,386,0,0,391,7,5,0,1,9,3,0,12,0,2,1,4,3,1,2,0,0,0,0,11 to 60,34,4,8,0,0,1,11,0,3,0,0,0,0,0,13,4,9,12,1,0,379,7,399,386,13,0,39,12,2.21646510608254,0.231093280808265
53,53,67,133,WASHINGTON,Washington,FL,292,1,1,11,30,43,54,65,48,29,10,0,3 to 103,55,168,106,18,291,1,0,27,250,9,36,8,12,279,0,1,290,6,6,0,0,5,7,0,12,0,0,0,3,0,3,6,0,0,0,0,25 to 62,54,12,0,0,0,0,12,0,0,0,1,0,0,0,12,7,5,12,0,0,278,1,292,279,12,0,41,20,2.37953061790718,0.14998158443965
54,54,45,089,NASSAU,Nassau,FL,1394,19,21,113,181,198,216,247,179,138,82,0,0 to 103,52,733,488,173,1349,45,0,25,1333,28,40,22,53,1341,0,0,1349,39,12,0,2,30,20,1,51,0,0,6,6,10,6,7,11,5,2,0,15 to 89,50,33,6,2,10,1,39,11,18,0,12,0,0,0,53,21,31,51,2,0,1298,43,1394,1341,53,0,23,20,3.75942130773243,0.154419685909309
55,55,22,043,GLADES,Glades,FL,60,1,2,3,9,10,6,10,7,9,3,0,1 to 90,54,31,26,3,60,0,0,2,55,3,5,0,5,55,0,0,60,3,2,0,0,2,3,0,5,0,0,0,1,0,0,1,1,1,1,0,30 to 89,67,2,3,0,0,0,4,1,3,0,3,0,0,1,5,3,2,5,0,0,55,0,60,55,5,1,18,4,2.27684336624256,0.231957009552348
56,56,8,015,CHARLOTTE,Charlotte,FL,2023,21,20,114,191,227,275,369,353,270,181,2,0 to 100,59,1201,796,26,2007,16,0,69,1872,62,125,12,219,1798,1,5,2002,141,77,0,1,132,86,0,218,1,1,6,18,10,22,40,41,38,42,0,3 to 100,68,133,21,4,60,6,138,74,27,0,33,0,0,15,219,87,132,218,1,0,1784,14,2023,1798,219,15,79,61,3.83218059315228,0.165856243943894
