OBJECTID,NAME,MOHSISNAME,POP00,Shape__Area,Shape__Length,Cases,Deaths,SPHL,OtherLabs,twenty,thirty,fourty,fifty,sixty,Travel,Contact,Un_known,seventy,under20,NoKnownContact,GlobalID,CreationDate,Creator,EditDate,Editor,twenty1,thirty1,fourty1,fifty1,sixty1,seventy1,eighty,Male,Women,UnknownGender,Population
63,Bates,BATES,16320,2203448249.44971,232691.089374104,6,1,,3,,,,,,,,,,,,d59cd98d-62ce-4828-a679-de48029df5f7,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:21:37.609Z,mophep,,,,,,,,,,,
64,Miller,MILLER,25336,1553478696.93018,180693.798004324,1,,,,,,,,,,,,,,,140d3eed-2663-4f46-b76c-705d9ad1966d,2020-03-24T20:48:38.049Z,mophep,2020-04-15T18:44:50.145Z,mophep,,,,,,,,,,,
65,Maries,MARIES,8769,1372262332.39722,161650.052568911,1,,,2,,,,,,,,,,,,2f3ff80f-01e6-46df-b686-19ad448c3e3e,2020-03-24T20:48:38.049Z,mophep,2020-04-19T18:15:32.049Z,mophep,,,,,,,,,,,
66,Washington,WASHINGTON,24943,1975787929.30688,182679.997188363,4,,,,,,,,,,,,,,,e9c806c1-0e55-45b2-87a0-9608c20aa205,2020-03-24T20:48:38.049Z,mophep,2020-04-17T18:56:19.346Z,mophep,,,,,,,,,,,
67,Crawford,CRAWFORD,23957,1925121882.86353,190922.740074078,5,,,3,,,,,,,,,,,,22d05345-7c6c-4ed7-abea-a5803bc0fc8f,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:34:01.379Z,mophep,,,,,,,,,,,
68,Camden,CAMDEN,45815,1833153718.02893,237892.573512278,32,1,3,21,,,,,,,,,,,,2bffada7-e2e1-42b1-87f9-5a2d1fb6855c,2020-03-24T20:48:38.049Z,mophep,2020-04-17T18:52:05.999Z,mophep,,,,,,,,,,,
69,St Clair,ST CLAIR,9395,1817213587.4408,184944.663164138,2,,,,,,,,,,,,,,,be1fcb89-d93c-4993-9cc5-609ccec2b124,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:26:48.617Z,mophep,,,,,,,,,,,
70,Phelps,PHELPS,44732,1744735939.29565,210174.544916673,1,,,,,,,,,,,,,,,49e4b4e4-c771-48a6-9d62-7e57d780498a,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:25:11.207Z,mophep,,,,,,,,,,,
71,Ste Genevieve,STE GENEVIEVE,17888,1314257865.56763,175964.971877657,7,1,1,5,,,,,,,,,,,,2a5d39ea-0fb2-4041-bbbc-f8f06a0a7220,2020-03-24T20:48:38.049Z,mophep,2020-04-14T18:27:25.607Z,mophep,,,,,,,,,,,
72,Hickory,HICKORY,9509,1065749032.03088,145331.885361096,0,,,,,,,,,,,,,,,d1fc782a-2676-4a0b-aae2-3623687231f5,2020-03-24T20:48:38.049Z,mophep,2020-04-14T17:50:11.906Z,mophep,,,,,,,,,,,
73,Vernon,VERNON,20528,2166177477.45935,206910.650605937,4,,,,,,,,,,,,,,,e1c52a85-5acc-4ec1-a645-15914c069bc9,2020-03-24T20:48:38.049Z,mophep,2020-04-16T19:00:23.500Z,mophep,,,,,,,,,,,
74,St Francois,ST FRANCOIS,66692,1176598010.31128,197768.83173244,23,1,4,15,,,,,,,,,,,,031d345e-1cda-4ab9-bfc9-51b4f8b8868a,2020-03-24T20:48:38.049Z,mophep,2020-04-18T18:36:42.540Z,mophep,,,,,,,,,,,
