OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,C_AgeAvrg,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabDOH_Res,T_LabDOH_NonRes,T_LabPrivate_Res,T_LabPrivate_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
59,59,18,035,FLAGLER,2000-05-16T00:00:00.000Z,13936478366.7697,723300.597094917,18,Flagler,FL,59,18,35,995,9,9,47,115,153,141,197,200,100,23,1,0 to 98,56,552,405,38,988,7,0,22,940,30,59,902,31,75,919,1,0,987,17,0,55,3,42,30,0,72,0,0,2,8,10,7,25,18,5,0,0,17 to 79,59,53,7,10,2,12,58,2,11,1,7,1,0,2,75,31,44,72,3,0,915,4,995,919,75,2,57,27,1294754947.55994,220559.838719988
60,60,26,051,HENDRY,2000-05-16T00:00:00.000Z,33164247954.1707,952053.303145101,26,Hendry,FL,60,26,51,309,6,9,23,55,58,41,57,32,17,11,0,0 to 101,46,174,131,4,308,1,0,16,270,23,44,257,2,41,268,0,0,308,15,0,26,0,21,20,0,41,0,1,2,7,10,7,9,2,1,2,0,11 to 101,45,26,14,1,0,14,25,2,16,0,9,0,0,0,41,20,21,41,0,0,267,1,309,268,41,0,76,54,3080878042.06929,290231.154940413
61,61,31,061,INDIAN RIVER,2000-05-16T00:00:00.000Z,14211052094.6021,768080.956031033,31,Indian River,FL,61,31,61,1343,14,20,78,142,125,198,258,277,156,74,1,0 to 105,58,797,515,31,1331,12,0,76,1193,70,131,1170,51,84,1200,1,58,1274,12,2,64,6,31,45,0,76,0,1,5,8,4,11,16,20,12,7,0,8 to 94,64,57,5,13,1,4,61,11,41,4,23,1,0,3,84,49,35,76,8,0,1198,2,1343,1200,84,3,223,72,1319798862.49319,234087.653130679
62,62,6,011,BROWARD,2000-05-16T00:00:00.000Z,33839548761.036,958026.061896544,6,Broward,FL,62,6,11,33869,271,370,2172,5674,6136,6519,6031,3826,1858,964,48,0 to 119,48,17829,14445,1595,33050,819,0,1121,30660,2038,2571,30135,759,3971,29806,36,56,32964,713,19,3139,100,1847,1994,11,3852,4,22,277,622,665,772,769,466,238,136,0,0 to 99,50,1857,1155,384,456,1228,2187,437,1218,43,661,32,3,115,3971,2066,1893,3852,119,0,29112,694,33869,29806,3971,115,934,594,3142374056.01305,291881.846057183
63,63,17,033,ESCAMBIA,2000-05-16T00:00:00.000Z,19152061307.8204,1448408.40435881,17,Escambia,FL,63,17,33,4621,194,158,501,797,712,690,709,489,243,118,10,0 to 105,44,2779,1804,38,4313,308,0,100,4388,130,273,4269,57,309,4279,5,28,4280,42,0,248,19,154,135,1,290,4,1,38,41,53,43,49,40,25,15,0,0 to 98,49,112,77,11,90,7,178,105,42,0,28,0,0,8,309,144,164,290,19,0,3990,289,4621,4279,309,8,125,55,1767890300.40206,439974.169549806
64,64,47,093,OKEECHOBEE,2000-05-16T00:00:00.000Z,24844271086.3607,893974.023125111,47,Okeechobee,FL,64,47,93,264,8,11,26,29,36,48,49,30,22,4,1,0 to 97,50,142,107,15,261,3,0,31,231,2,29,226,7,7,256,0,1,260,1,0,5,1,5,1,0,6,0,0,0,1,1,1,1,2,1,0,0,33 to 76,61,6,0,0,0,0,6,0,1,0,3,1,0,0,7,2,5,6,1,0,254,2,264,256,7,0,8,3,2307690905.70045,272539.677334045
65,65,19,037,FRANKLIN,2000-05-16T00:00:00.000Z,15589551427.4073,1467124.86409578,19,Franklin,FL,65,19,37,67,1,3,6,8,3,9,18,11,8,0,0,3 to 84,57,26,40,1,66,1,0,8,59,0,5,58,3,2,65,0,0,66,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,25 to 60,42,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,1,1,0,65,0,67,65,2,0,3,3,1445840682.56789,446544.245992026
66,66,1,001,ALACHUA,2000-05-16T00:00:00.000Z,27023240533.1793,892726.558557937,1,Alachua,FL,66,1,1,5064,99,68,593,941,698,620,712,716,406,165,46,0 to 118,47,2937,1942,185,4977,87,0,113,4897,53,216,4785,45,210,4843,8,3,4966,25,6,174,5,114,84,1,199,1,0,34,46,24,29,33,27,10,5,1,2 to 92,44,85,61,16,37,15,144,40,37,4,25,2,0,0,210,87,121,199,11,0,4767,76,5064,4843,210,0,69,50,2510756491.26947,272135.471452184
67,67,55,109,ST. JOHNS,2000-05-16T00:00:00.000Z,17847916417.1672,1130719.73111295,58,St. Johns,FL,67,55,109,3991,73,96,290,495,701,748,697,527,271,90,3,0 to 99,49,2190,1679,122,3981,10,0,172,3621,197,248,3583,93,191,3792,1,7,3973,39,3,145,3,86,97,1,184,1,4,12,18,17,44,47,35,10,2,0,2 to 91,54,115,6,11,52,8,109,67,53,3,33,3,0,4,190,102,87,184,6,0,3789,4,3991,3793,190,4,139,111,1658206648.51031,344848.248220385
68,999,999,999,Unknown,,,,64,Unknown,FL,68,999,999,48,0,0,6,9,5,9,8,5,2,2,2,19 to 95,46,20,24,4,18,30,0,1,47,0,1,47,0,3,36,0,9,16,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,51 to 87,56,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,3,0,16,20,48,36,3,0,15,13,426757389.663452,73231.2921286601
