ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,SHAPE_Length,SHAPE_Area
11,11,33,065,JEFFERSON,Jefferson,FL,568,12,13,22,44,76,80,117,121,65,17,1,0 to 101,58,339,224,5,563,5,0,7,489,41,77,7,36,532,0,0,563,13,21,2,0,20,14,0,34,1,1,2,3,3,4,7,7,4,4,0,1 to 95,58,10,17,7,0,5,28,1,6,2,8,0,0,4,36,16,20,34,2,0,937,3,977,940,36,4,69,31,66,2.20493093525027,0.148496656229977
12,12,40,079,MADISON,Madison,FL,1043,43,34,89,112,129,141,155,177,107,49,7,0 to 99,52,666,371,6,1020,23,0,25,896,53,233,15,93,949,1,0,1019,43,46,4,0,55,34,0,89,3,1,11,4,15,10,22,11,5,11,0,0 to 98,56,25,50,8,6,5,69,15,18,0,4,0,1,3,93,35,58,89,4,0,1475,19,1589,1494,93,3,174,71,56,2.16969163731198,0.174026330045279
13,13,39,077,LIBERTY,Liberty,FL,2215,3,4,157,690,561,398,268,93,28,5,8,0 to 92,38,168,2038,9,2215,0,0,1,2000,1,84,0,220,1995,0,0,2215,217,3,0,0,5,215,0,220,0,0,13,58,54,54,36,5,0,0,0,20 to 73,41,115,97,5,3,7,132,81,5,0,1,0,0,1,220,215,5,220,0,0,2074,0,2296,2074,220,1,39,14,49,3.02097391492398,0.204641327093244
14,14,24,047,HAMILTON,Hamilton,FL,1971,14,23,156,532,408,318,239,166,69,42,4,0 to 118,41,429,1513,29,1965,6,0,32,1861,9,285,5,281,1689,0,1,1964,270,8,2,1,36,242,0,278,3,6,26,82,57,53,42,9,3,0,0,0 to 84,39,126,122,28,2,45,88,145,24,1,8,0,0,2,281,244,37,278,3,0,2151,3,2437,2154,281,2,15,13,50,2.3015236652275,0.126367835513063
15,15,3,005,BAY,Bay,FL,3238,37,31,213,396,429,541,620,442,288,186,55,0 to 119,53,1809,1375,54,3206,32,0,71,3065,28,186,48,167,3043,0,28,3183,130,30,7,0,73,87,0,160,3,1,20,36,24,37,21,12,12,1,0,2 to 93,44,131,15,9,5,51,101,8,49,3,22,2,1,4,167,91,76,160,7,0,6003,20,6195,6023,167,4,61,53,50,5.42268520962735,0.181027420718501
16,16,12,023,COLUMBIA,Columbia,FL,3418,88,103,237,408,425,445,667,550,287,199,9,0 to 119,54,1931,1387,100,3402,16,0,199,3064,63,299,16,205,3210,0,3,3399,172,30,3,0,101,101,0,202,7,13,22,44,30,33,31,16,6,3,0,0 to 97,40,92,88,19,3,22,173,7,8,0,16,0,0,3,205,104,101,202,3,0,4829,13,5052,4842,205,3,18,16,46,2.63367862103558,0.193837653658007
17,17,2,003,BAKER,Baker,FL,888,30,15,95,132,121,145,147,103,66,32,2,0 to 99,48,490,345,53,828,60,0,26,838,16,68,3,35,853,0,0,828,15,20,0,0,19,16,0,35,0,1,3,4,5,3,5,6,5,3,0,10 to 97,57,25,8,2,0,0,34,1,10,0,12,0,0,4,35,16,19,35,0,0,1337,60,1432,1397,35,4,24,23,70,1.77124519435665,0.142602236961311
18,18,30,059,HOLMES,Holmes,FL,781,12,13,58,90,94,130,150,149,63,21,1,0 to 119,54,439,327,15,771,10,0,3,740,5,43,4,33,748,0,0,771,17,15,0,1,15,17,0,32,1,0,2,5,10,8,3,3,1,0,0,1 to 79,43,24,3,1,4,0,27,5,4,0,1,0,0,0,33,17,16,32,1,0,1082,9,1125,1091,33,0,53,47,44,1.73644592497981,0.117992933758262
19,19,43,085,MARTIN,Martin,FL,7361,141,164,524,737,839,944,1343,1338,939,370,22,0 to 100,57,3614,3282,465,7267,94,0,290,6361,82,1025,72,1324,6021,1,15,7252,1298,12,14,0,594,710,6,1310,47,69,200,236,245,224,151,63,54,33,2,0 to 99,39,453,55,448,354,719,303,288,215,2,131,1,1,19,1324,719,599,1310,14,0,12222,78,13632,12300,1324,19,92,81,55,2.97866994211851,0.153458428490643
20,20,29,057,HILLSBOROUGH,Hillsborough,FL,53946,1249,1486,4518,8145,7813,8365,9205,7349,3941,1761,114,0 to 119,49,30883,22828,235,53537,409,0,738,51338,458,2388,311,4610,49250,23,63,53452,4417,129,61,3,2417,2126,3,4546,88,161,653,1016,719,647,552,366,236,165,7,0 to 104,39,1623,920,766,1237,1129,1940,1477,798,11,557,8,3,105,4610,2154,2453,4546,64,0,86971,344,92000,87315,4610,105,1598,1250,45,3.45236134967177,0.251838053021243
21,21,41,081,MANATEE,Manatee,FL,15606,263,327,874,1445,1613,2039,2954,3267,2023,698,103,0 to 119,59,8884,6416,306,15359,247,0,702,14192,177,1385,46,1548,14054,4,0,15355,1478,58,12,0,829,705,2,1536,27,61,144,223,235,228,217,172,152,89,0,0 to 101,48,1001,226,144,165,530,787,219,174,2,242,2,2,122,1548,711,835,1536,12,0,28120,235,29914,28355,1548,122,301,203,57,3.59179695196309,0.177648040338128
22,22,10,019,CLAY,Clay,FL,8243,119,202,619,948,1141,1346,1479,1302,761,305,21,0 to 101,53,4763,3371,109,8222,21,0,114,7752,130,504,48,456,7786,1,0,8221,392,61,3,0,265,188,0,453,0,6,34,47,57,68,80,77,55,32,0,6 to 100,56,259,89,44,61,42,335,76,128,0,96,0,0,32,456,189,267,453,3,0,13668,18,14146,13686,456,32,283,250,59,1.77574995355385,0.155892403767859
23,23,25,049,HARDEE,Hardee,FL,980,24,51,129,177,121,126,142,122,62,26,0,0 to 94,44,546,417,17,973,7,0,44,622,2,275,6,228,751,1,0,972,208,15,5,0,106,117,0,223,5,14,36,52,32,28,24,23,9,5,0,0 to 88,37,147,50,21,5,138,79,6,46,3,30,3,1,1,228,120,108,223,5,0,1506,2,1737,1508,228,1,426,327,50,1.60075687900909,0.150973021686986
24,24,42,083,MARION,Marion,FL,14357,157,195,879,1608,1643,2084,2495,2736,1806,728,26,0 to 168,57,8819,5477,61,14330,27,0,4226,9676,177,3125,143,345,13538,0,474,13857,319,21,4,1,190,149,1,340,7,7,30,53,58,58,66,37,22,7,0,0 to 97,48,233,70,19,18,64,258,18,69,3,46,0,0,8,345,150,194,340,5,0,19239,21,19613,19260,345,8,451,286,51,3.40272879823586,0.399426438918717
25,25,64,127,VOLUSIA,Volusia,FL,20357,170,300,1079,2046,2192,2926,4228,3945,2160,1026,285,0 to 119,58,11389,8255,713,20260,97,0,291,19304,230,958,140,1057,19300,0,0,20260,905,137,14,1,521,521,0,1042,4,26,125,147,127,161,180,150,77,60,0,0 to 102,51,566,234,161,81,134,788,120,253,5,181,4,0,51,1057,527,530,1042,15,0,29916,82,31069,29998,1057,51,1040,426,53,5.33119702869585,0.289588880387825
26,26,15,029,DIXIE,Dixie,FL,805,21,27,65,88,133,106,136,120,68,40,1,0 to 118,52,476,311,18,805,0,0,11,695,6,73,1,60,745,0,0,805,44,16,0,0,29,31,0,60,0,3,12,2,11,11,10,3,5,3,0,6 to 91,48,44,14,1,1,1,57,2,13,0,10,0,0,3,60,31,29,60,0,0,1181,0,1241,1181,60,3,119,64,46,2.28600352325086,0.169869356765238
27,27,35,069,LAKE,Lake,FL,15269,210,237,808,1402,1486,1894,2478,2830,2004,663,1257,0 to 103,59,7975,6215,1079,15133,136,0,169,14622,222,569,93,583,14672,0,14,15121,552,16,15,0,238,329,1,568,3,13,78,101,84,97,76,64,53,14,0,0 to 103,45,309,83,121,55,128,373,67,144,12,87,5,1,19,583,338,244,568,15,0,25207,119,25921,25326,583,19,572,280,52,3.13721776582964,0.276793966603692
28,28,38,075,LEVY,Levy,FL,1716,26,27,162,222,189,229,330,264,187,79,1,0 to 118,55,998,701,17,1715,1,0,23,1466,16,292,3,132,1584,0,0,1715,129,3,0,0,42,90,0,132,1,1,27,34,26,12,16,8,4,3,0,3 to 99,36,39,8,80,5,82,45,5,12,0,7,0,0,1,132,90,42,132,0,0,2603,1,2738,2604,132,1,211,161,53,3.28561267663391,0.269417839061194
29,29,60,119,SUMTER,Sumter,FL,3840,27,27,90,171,183,295,511,1423,894,133,86,0 to 119,69,1882,1756,202,3765,75,0,114,3476,164,275,55,270,3547,0,23,3742,220,48,1,1,79,189,0,268,0,2,7,6,34,40,40,90,42,9,0,10 to 92,65,223,34,5,6,17,242,9,58,0,45,0,0,17,270,191,79,268,2,0,5766,73,6114,5839,270,17,63,51,66,2.17022236361353,0.138739000630679
30,30,59,117,SEMINOLE,Seminole,FL,16906,214,382,1425,2126,2257,2613,2843,2494,1177,504,871,0 to 119,51,9614,7162,130,16869,37,0,290,16077,246,650,99,976,15923,1,6,16862,914,53,9,0,517,450,0,967,12,16,248,187,136,138,90,84,40,25,0,0 to 100,36,624,112,94,137,273,482,212,230,5,129,1,0,14,976,453,523,967,9,0,26299,28,27315,26327,976,14,672,429,47,1.54465854506178,0.0825017178217949
31,31,48,095,ORANGE,Orange,FL,63261,1103,1431,5042,9076,9327,10055,10303,7399,3502,1336,4687,0 to 120,48,34899,28035,327,62189,1071,1,732,60941,585,1973,412,3900,59327,0,34,62156,3684,103,109,4,1794,1979,14,3787,58,97,745,905,654,620,470,215,97,38,1,0 to 101,36,1233,657,913,984,1096,1334,1357,746,45,383,37,5,48,3900,2045,1841,3786,113,1,97940,958,102859,98898,3900,48,1067,843,45,2.69541534247372,0.239823210111864
32,32,9,017,CITRUS,Citrus,FL,3908,38,69,182,363,351,458,719,905,621,193,9,0 to 222,61,2172,1535,201,3901,7,0,58,3569,119,252,25,162,3744,1,1,3900,92,70,0,0,81,81,0,162,2,4,15,15,11,25,39,22,18,11,0,0 to 97,58,120,8,8,26,16,121,25,32,0,34,0,0,12,162,81,81,162,0,0,7776,6,7947,7782,162,12,656,201,58,2.36078129145224,0.144732057690528
33,33,27,053,HERNANDO,Hernando,FL,3540,65,59,245,470,437,539,667,542,373,139,4,0 to 100,54,2120,1406,14,3521,19,0,71,3295,66,185,41,151,3389,0,0,3521,93,52,5,1,69,76,0,145,1,6,11,32,19,24,29,17,10,2,0,1 to 88,47,116,20,6,3,32,107,6,45,2,28,2,1,5,151,78,73,145,6,0,7656,13,7821,7669,151,5,267,216,49,1.97468349274389,0.11617688304957
34,34,52,103,PINELLAS,Pinellas,FL,37669,361,497,2254,4452,4314,5423,7263,6719,4086,2218,82,0 to 120,57,21890,15694,85,37343,326,0,1999,34011,411,3862,379,2887,34740,1,41,37301,2690,141,49,7,1640,1190,1,2831,31,110,328,587,389,387,359,290,215,190,1,0 to 102,44,1370,708,150,603,240,1862,729,554,19,495,17,1,112,2887,1223,1663,2831,56,0,67473,270,70651,67743,2887,112,496,404,56,3.37527233690315,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2160,57,49,165,274,248,258,350,301,236,212,10,0 to 118,55,1375,703,82,2155,5,0,60,1884,110,529,15,224,1936,0,0,2155,110,109,2,3,138,81,0,219,3,9,22,24,32,34,27,23,30,20,0,0 to 102,51,136,45,15,23,45,153,21,38,1,42,0,0,18,224,83,141,219,5,0,2714,0,2940,2714,224,18,44,40,63,2.13933972018078,0.167912477075967
36,36,16,031,DUVAL,Duval,FL,48390,779,1016,4264,7649,7040,7458,8722,6420,3287,1642,112,-6 to 119,49,26748,20895,747,47788,602,0,649,46070,454,1990,209,2309,46036,11,34,47743,2025,208,66,10,1184,1048,1,2233,38,65,280,461,386,329,347,224,115,63,1,0 to 101,42,933,700,333,267,396,1526,311,434,21,312,11,3,60,2309,1088,1218,2233,76,0,72562,526,75443,73088,2309,60,1485,1368,50,3.27411455760684,0.200425275865001
37,37,34,067,LAFAYETTE,Lafayette,FL,347,6,0,43,41,38,35,37,47,55,44,1,0 to 119,58,223,117,7,347,0,0,12,330,0,17,1,16,331,0,0,347,11,5,0,0,7,9,0,16,1,0,3,3,0,3,2,2,0,2,0,3 to 98,46,14,1,0,1,3,12,1,3,0,2,0,0,0,16,9,7,16,0,0,425,0,442,425,16,0,12,12,47,1.87054630268957,0.132542672355777
38,38,23,045,GULF,Gulf,FL,613,11,14,36,57,64,102,123,122,65,19,0,0 to 94,56,361,249,3,557,56,0,17,582,1,53,12,11,602,0,0,557,9,0,2,0,5,4,0,9,0,1,0,1,2,4,0,3,0,0,0,9 to 70,48,7,0,2,0,2,7,0,1,1,0,1,0,0,11,5,6,9,2,0,1196,54,1261,1250,11,0,23,20,42,2.48127035962968,0.137366647942991
39,39,63,125,UNION,Union,FL,1164,11,17,54,75,108,138,399,277,71,14,0,0 to 118,59,315,842,7,1164,0,0,15,1123,4,73,4,38,1126,0,0,1164,35,3,0,0,6,32,0,38,0,0,0,5,1,2,17,11,2,0,0,25 to 80,62,24,11,2,1,1,36,1,8,0,8,0,0,1,38,32,6,38,0,0,2002,0,2040,2002,38,1,29,27,55,1.26448361855685,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1471,20,26,116,186,168,222,289,189,146,103,6,0 to 118,54,922,524,25,1469,2,0,29,1391,34,151,1,56,1414,0,1,1468,16,40,0,0,44,12,0,56,0,2,3,3,8,7,4,6,12,11,0,8 to 107,66,49,6,1,0,1,55,0,7,0,12,0,0,2,56,12,44,56,0,0,2075,2,2134,2077,56,2,132,100,74,1.60231093560507,0.0725862816422102
41,41,65,129,WAKULLA,Wakulla,FL,1252,13,29,87,138,168,212,245,213,107,39,1,0 to 102,53,707,534,11,1248,4,0,12,1188,13,193,4,37,1215,0,0,1248,19,16,2,0,24,11,0,35,0,0,5,6,5,10,6,3,1,1,0,18 to 86,46,19,13,3,0,0,35,0,6,0,5,0,0,1,37,11,26,35,2,0,1757,2,1796,1759,37,1,101,26,43,2.72889764150517,0.147928217310253
42,42,5,009,BREVARD,Brevard,FL,19500,258,344,1080,1854,2092,2706,4413,3946,2102,556,149,0 to 119,58,11089,8306,105,19482,18,0,180,18921,107,616,85,688,18810,0,2,19480,616,60,10,2,353,321,2,676,11,20,98,100,104,96,121,70,40,28,0,0 to 99,45,490,66,54,66,180,422,74,161,3,86,3,0,16,688,325,361,676,12,0,32160,6,32856,32166,688,16,585,527,53,7.43388258345288,0.247147786992
43,43,53,105,POLK,Polk,FL,18843,442,493,1359,2337,2427,2708,3072,2976,1900,790,339,0 to 119,53,10929,7731,183,18752,91,0,383,17078,231,1522,141,1702,17129,1,11,18740,1511,179,11,1,986,704,0,1690,21,50,181,248,279,241,226,186,158,111,1,0 to 103,47,1044,303,203,140,530,979,181,553,7,393,3,0,76,1702,709,993,1690,12,0,32906,79,34694,32985,1702,76,1206,637,56,3.74731907845249,0.477444147523754
44,44,49,097,OSCEOLA,Osceola,FL,13444,172,349,926,1820,1925,2229,2326,1779,884,322,712,0 to 155,50,7535,5838,71,13367,77,0,439,12140,390,906,207,926,12470,2,46,13320,841,36,47,2,443,433,1,877,12,20,91,173,140,170,142,98,62,17,1,0 to 102,46,425,82,336,34,523,278,76,268,8,164,7,2,22,926,469,456,877,49,0,18631,27,19600,18658,926,22,709,197,50,3.37526858197538,0.357928282021791
45,45,28,055,HIGHLANDS,Highlands,FL,3764,55,58,175,386,335,437,600,716,624,358,20,0 to 119,62,2286,1441,37,3699,65,0,59,3531,47,190,21,200,3558,0,6,3693,165,33,2,0,103,95,0,198,3,9,17,28,27,30,40,23,19,4,0,0 to 91,51,122,41,28,7,78,107,13,53,1,46,1,0,9,200,97,103,198,2,0,5853,63,6119,5916,200,9,256,141,56,2.84124660964211,0.261466143584495
46,46,36,071,LEE,Lee,FL,26798,312,403,1836,3084,3286,3765,4585,4809,3208,1449,61,0 to 119,56,15454,11115,229,25843,954,1,572,23889,613,2479,169,3354,23420,1,23,25820,3114,159,76,5,1741,1527,5,3273,44,82,380,532,519,517,462,344,251,223,0,0 to 101,47,1927,477,91,778,1024,1447,802,799,15,511,13,4,138,3354,1573,1775,3272,81,1,41170,873,45407,42043,3354,138,2452,843,54,5.53875412350018,0.191375285005442
47,47,11,021,COLLIER,Collier,FL,15991,333,576,1345,1786,1960,2083,2413,2704,2080,689,22,0 to 105,54,8632,7294,65,15633,358,0,417,13395,356,2382,163,2883,13042,3,63,15567,2518,287,62,16,1364,1437,4,2805,80,164,419,451,502,418,355,230,178,86,0,0 to 101,41,1607,150,247,801,1476,674,655,414,20,282,11,6,61,2883,1483,1396,2805,78,0,24025,280,27197,24305,2883,61,2788,1798,57,5.51085434088275,0.469024646004233
48,48,13,025,DADE,Dade,FL,161507,1715,2491,12220,25528,25602,29362,27779,18936,10824,6439,611,0 to 225,49,84552,75738,1217,160156,1350,1,3890,146057,2785,16128,985,23854,137420,104,129,159925,22574,817,454,9,11628,11739,24,23391,196,388,2119,4053,3801,4337,3711,2455,1561,1221,12,0 to 108,48,12550,3654,1165,6022,12516,4858,6017,5821,46,3594,31,15,859,23854,11985,11841,23390,463,1,225673,887,250626,226560,23854,859,3846,3105,49,5.08399988470576,0.459639407492568
49,49,44,087,MONROE,Monroe,FL,3507,27,54,208,417,473,602,767,569,282,106,2,0 to 101,54,1857,1641,9,3436,71,0,1166,1970,83,771,116,146,3281,0,80,3361,115,20,7,4,63,72,0,135,0,6,8,15,19,23,24,23,17,11,0,5 to 100,55,100,5,1,29,31,69,35,17,3,12,2,0,4,146,78,68,135,11,0,4253,54,4453,4307,146,4,458,180,49,13.2628040836788,0.235931608548315
50,50,57,113,SANTA ROSA,Santa Rosa,FL,6989,228,264,554,922,979,1047,1158,1046,543,238,10,0 to 119,50,3832,3130,27,6922,67,0,88,6633,99,265,65,319,6667,1,2,6919,274,40,5,0,109,205,0,314,4,3,47,57,55,58,41,33,12,9,0,0 to 98,42,231,43,6,34,18,241,55,28,0,26,0,0,9,319,206,113,314,5,0,10589,62,10972,10651,319,9,743,199,49,3.552029247735,0.244558859494853
51,51,66,131,WALTON,Walton,FL,1646,52,40,102,170,211,242,290,246,158,132,3,0 to 101,55,914,695,37,1587,59,0,28,1500,15,181,40,157,1489,0,0,1587,115,23,16,3,79,59,0,138,5,9,13,18,28,17,31,17,13,6,0,0 to 101,47,125,10,1,2,35,99,4,25,5,20,2,0,9,157,67,90,138,19,0,2566,40,2767,2606,157,9,115,60,49,3.60138877830291,0.254870622087333
52,52,32,063,JACKSON,Jackson,FL,3027,25,33,244,515,520,529,477,308,230,140,6,0 to 105,48,1361,1572,94,3004,23,0,19,2615,19,309,25,327,2697,1,2,3001,280,38,8,1,72,246,0,318,2,7,30,77,75,63,51,15,6,1,0,0 to 87,40,133,130,20,35,29,182,107,38,2,24,0,0,2,327,250,77,318,9,0,4229,14,4579,4243,327,2,405,205,36,2.21646510608254,0.231093280808265
53,53,67,133,WASHINGTON,Washington,FL,907,12,16,55,96,109,141,195,129,99,55,0,0 to 119,56,538,346,23,901,6,0,31,750,9,129,14,95,811,0,1,900,75,18,2,0,49,43,1,93,0,2,5,10,8,8,21,18,16,7,0,9 to 99,60,65,18,1,9,1,82,10,9,0,19,0,0,9,95,43,51,93,2,0,1509,4,1609,1513,95,9,131,74,54,2.37953061790718,0.14998158443965
54,54,45,089,NASSAU,Nassau,FL,3248,46,52,227,329,370,445,623,599,382,171,4,0 to 103,57,1751,1302,195,3139,109,0,45,3135,28,74,31,97,3151,0,0,3139,75,14,6,2,45,44,0,89,2,1,14,18,16,11,10,15,7,3,0,1 to 89,44,70,14,2,3,1,85,3,28,1,16,0,0,1,97,47,50,89,8,0,5272,101,5471,5373,97,1,80,74,49,3.75942130773243,0.154419685909309
55,55,22,043,GLADES,Glades,FL,272,2,10,30,52,54,33,31,30,23,6,1,1 to 90,42,116,154,2,272,0,0,24,188,3,122,0,121,151,0,0,272,119,2,0,0,26,95,0,121,1,3,15,34,32,17,12,5,1,1,0,3 to 89,38,96,18,3,4,76,41,4,18,0,13,0,0,1,121,95,26,121,0,0,408,0,529,408,121,1,129,70,61,2.27684336624256,0.231957009552348
56,56,8,015,CHARLOTTE,Charlotte,FL,5483,61,52,248,455,529,749,1055,1049,733,546,6,0 to 119,61,3236,2180,67,5465,18,0,145,4951,62,550,23,553,4925,1,4,5460,406,145,1,1,336,215,0,551,5,8,22,56,37,60,102,82,80,101,0,0 to 101,63,456,53,13,29,36,475,40,102,1,133,1,0,74,553,216,337,551,2,0,8938,16,9510,8954,553,74,87,68,68,3.83218059315228,0.165856243943894
57,57,58,115,SARASOTA,Sarasota,FL,13204,154,171,676,1161,1215,1635,2444,2781,1987,939,41,0 to 119,61,7456,5578,170,12965,239,0,466,12302,190,1027,98,833,12368,2,1,12962,750,59,18,6,455,354,0,809,6,7,58,94,98,95,119,128,131,97,0,0 to 104,59,648,58,60,43,99,623,87,210,13,179,10,1,92,833,369,464,809,24,0,27851,215,28904,28066,833,92,354,248,64,2.51442395330883,0.137455100826111
