OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length
33,33,27,053,HERNANDO,Hernando,FL,1609,25,25,112,240,223,268,290,229,144,52,1,0 to 97,51,926,674,9,1592,17,0,51,1488,66,119,37,89,1520,0,0,1592,45,38,5,1,41,42,0,83,1,2,4,17,13,13,17,15,6,1,0,1 to 85,49,55,5,3,20,13,35,35,29,2,20,2,1,4,89,44,45,83,6,0,1509,11,1609,1520,89,4,48,31,1259956856.20596,200494.167365377
34,34,52,103,PINELLAS,Pinellas,FL,13307,176,181,850,1848,1810,2178,2469,1923,1094,749,29,0 to 120,53,7950,5319,38,13144,163,0,741,12076,411,1140,322,698,12542,10,57,13078,578,79,35,6,347,310,0,657,1,5,47,90,72,114,130,99,70,70,0,1 to 101,56,519,85,37,16,57,571,29,180,16,193,14,1,25,698,335,363,657,41,0,12421,121,13307,12542,698,25,309,219,758940582.722305,356104.408630079
35,35,61,121,SUWANNEE,Suwannee,FL,592,21,12,40,82,77,76,96,88,47,41,12,0 to 118,53,390,185,17,592,0,0,49,421,110,138,5,118,472,0,2,590,33,85,0,0,85,33,0,118,0,3,10,12,13,12,14,18,19,17,0,5 to 102,63,77,36,0,5,3,109,6,24,0,30,0,0,11,118,33,85,118,0,0,472,0,592,472,118,11,6,4,1792465815.52835,223150.095858967
36,36,16,031,DUVAL,Duval,FL,21682,326,393,2017,3893,3526,3587,3643,2361,1189,647,100,0 to 119,46,12159,8808,715,21541,141,0,320,20855,454,360,82,990,20605,11,76,21454,859,106,16,9,520,444,1,965,9,15,83,164,164,156,178,116,68,35,2,0 to 97,49,266,216,55,428,46,452,467,130,9,95,5,0,19,990,456,530,965,25,0,20489,116,21682,20605,990,19,619,550,2136692125.83844,339628.979868484
37,37,34,067,LAFAYETTE,Lafayette,FL,70,3,0,6,7,17,5,4,12,9,7,0,0 to 118,48,37,32,1,70,0,0,8,62,0,8,0,1,69,0,0,70,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,47 to 47,47,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,69,0,70,69,1,0,0,0,1417838543.00769,193229.836834708
38,38,23,045,GULF,Gulf,FL,123,3,4,5,19,14,20,24,23,9,2,0,1 to 91,53,72,49,2,121,2,0,15,107,1,32,8,1,122,0,0,121,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,42 to 42,42,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,120,2,123,122,1,0,5,2,1469866107.27026,258929.917930346
39,39,63,125,UNION,Union,FL,212,4,5,20,31,47,33,27,29,11,5,0,1 to 118,44,116,91,5,212,0,0,13,195,4,17,4,4,207,0,1,211,3,1,0,0,2,2,0,4,0,0,0,1,0,0,3,0,0,0,0,25 to 60,55,3,0,0,1,0,3,1,1,0,0,0,0,0,4,2,2,4,0,0,207,0,212,207,4,0,8,7,646977045.561768,128178.538552252
40,40,4,007,BRADFORD,Bradford,FL,723,7,8,71,88,86,89,118,84,91,77,4,0 to 107,56,472,240,11,723,0,0,25,660,34,126,0,44,678,0,1,722,13,31,0,0,36,8,0,44,0,2,3,1,5,3,3,6,12,9,0,8 to 107,74,41,3,0,0,0,42,2,4,0,10,0,0,2,44,8,36,44,0,0,678,0,723,678,44,2,111,79,776744615.959412,167178.838252791
41,41,65,129,WAKULLA,Wakulla,FL,290,3,8,29,53,44,57,53,28,11,3,1,0 to 93,46,162,126,2,288,2,0,8,258,13,32,2,22,267,0,1,287,14,7,1,0,15,6,0,21,0,0,4,5,2,7,2,2,0,0,0,19 to 65,43,9,11,1,0,0,21,0,5,0,5,0,0,1,22,6,16,21,1,0,266,1,290,267,22,1,42,17,1579533632.64177,279225.038340218
42,42,5,009,BREVARD,Brevard,FL,8166,115,147,456,912,987,1207,1870,1561,700,210,1,0 to 103,56,4763,3328,75,8157,9,0,97,7951,107,241,59,266,7897,2,1,8154,225,33,6,2,130,128,0,258,2,5,20,32,38,41,61,34,24,9,0,1 to 94,53,171,45,13,29,39,190,29,74,2,45,2,0,8,266,130,136,258,8,0,7896,1,8166,7897,266,8,207,156,2687643838.87906,793218.333609179
43,43,53,105,POLK,Polk,FL,6810,162,154,510,958,1009,1098,1093,919,605,298,4,0 to 103,50,3953,2707,150,6783,27,0,223,6323,231,420,113,441,6361,2,6,6775,344,91,5,1,258,175,2,435,1,5,18,59,59,70,70,57,57,45,0,3 to 102,56,244,87,48,56,112,247,76,178,3,122,1,0,18,441,177,262,435,6,0,6340,21,6810,6361,441,18,368,172,5206715917.89822,388118.956177661
44,44,49,097,OSCEOLA,Osceola,FL,5148,59,147,402,855,912,956,866,559,283,99,10,0 to 102,47,2915,2213,20,5117,31,0,318,4395,390,503,162,470,4631,2,45,5071,424,29,15,2,229,224,0,453,2,9,33,65,75,96,89,66,30,5,0,0 to 102,49,224,36,184,9,263,142,48,195,5,124,6,1,7,470,237,233,453,17,0,4618,13,5148,4631,470,7,361,77,3899316052.50861,350452.549474464
45,45,28,055,HIGHLANDS,Highlands,FL,1069,15,9,46,113,110,120,148,246,195,64,3,0 to 95,62,608,437,24,1037,32,0,30,988,47,62,16,80,988,1,0,1036,63,16,1,0,37,42,0,79,1,2,6,10,7,10,17,13,12,2,0,0 to 95,56,36,23,17,3,25,46,8,36,1,28,1,0,7,80,43,37,79,1,0,957,31,1069,988,80,7,85,38,2866885704.30579,296636.719911829
46,46,36,071,LEE,Lee,FL,10849,137,138,744,1475,1610,1831,1901,1559,995,455,4,0 to 119,52,6433,4222,194,10641,207,1,271,9826,613,736,134,971,9862,2,14,10626,831,104,32,4,479,455,1,935,8,8,61,114,141,160,167,146,102,64,0,0 to 100,54,517,120,24,274,170,490,275,264,12,205,11,1,37,971,477,493,934,36,1,9691,171,10849,9862,971,37,1401,396,2112333669.17714,583283.842331616
47,47,11,021,COLLIER,Collier,FL,5230,84,92,326,637,704,799,865,842,635,243,3,0 to 105,54,3000,2212,18,5050,180,0,189,4625,356,536,137,562,4655,1,12,5037,339,156,50,17,250,245,0,495,6,10,37,66,57,83,113,76,83,31,0,0 to 101,56,349,26,36,84,157,252,86,119,16,74,7,2,15,562,283,279,495,67,0,4542,113,5230,4655,562,15,749,434,5197102107.68439,580181.883282756
48,48,13,025,MIAMI-DADE,Dade,FL,79251,719,1012,5472,12988,13129,15195,13669,9100,4849,2630,488,0 to 119,49,40697,37524,1030,78896,354,1,1592,74336,2785,4535,677,11570,67242,170,269,78460,10987,453,124,6,5401,6005,34,11440,46,91,882,1964,1875,2288,1926,1299,748,442,9,0 to 105,49,4985,1495,452,4508,4667,2060,4713,2481,24,1286,12,1,302,11570,6094,5440,11439,130,1,67020,222,79251,67242,11570,302,2087,1381,5114451079.58835,540836.793924443
49,49,44,087,MONROE,Monroe,FL,1194,12,18,64,133,176,219,267,195,85,24,1,0 to 97,54,629,560,5,1158,36,0,289,815,83,138,65,79,1088,0,27,1131,57,14,4,4,34,37,0,71,0,3,6,11,12,15,15,11,6,0,0,6 to 80,49,56,5,0,10,17,44,10,13,3,9,2,0,3,79,41,38,71,8,0,1060,28,1194,1088,79,3,209,81,2629619857.16548,1399292.97354894
50,50,57,113,SANTA ROSA,Santa Rosa,FL,2528,123,117,227,397,410,384,366,267,131,100,6,0 to 102,44,1482,1026,20,2524,4,0,57,2366,99,123,44,150,2376,1,1,2522,109,40,1,0,45,104,0,149,3,0,16,21,26,27,23,20,7,7,0,0 to 94,48,107,22,2,18,8,124,17,21,0,22,0,0,6,150,104,46,149,1,0,2373,3,2528,2376,150,6,503,81,2596863920.94926,364280.718031263
51,51,66,131,WALTON,Walton,FL,563,22,11,44,58,94,103,93,81,29,26,2,0 to 97,49,297,245,21,549,14,0,19,526,15,58,29,35,527,1,0,548,22,5,6,2,18,9,0,27,0,0,3,5,6,7,5,3,5,1,0,20 to 90,49,23,3,0,1,1,25,1,7,2,6,2,0,0,35,13,22,27,8,0,521,6,563,527,35,0,37,17,2708101782.46999,370154.781284707
52,52,32,063,JACKSON,Jackson,FL,398,8,8,30,60,56,77,67,45,35,12,0,0 to 96,50,226,161,11,390,8,0,18,358,19,27,16,13,385,0,0,390,7,5,0,1,9,3,0,12,0,2,1,4,3,1,2,0,0,0,0,11 to 60,34,4,8,0,0,1,11,0,3,0,0,0,0,0,13,4,9,12,1,0,378,7,398,385,13,0,37,13,2452499072.79567,223828.324060307
53,53,67,133,WASHINGTON,Washington,FL,288,1,1,11,30,43,54,65,45,29,9,0,3 to 103,55,166,103,19,287,1,0,27,246,9,36,8,12,275,0,1,286,6,6,0,0,5,7,0,12,0,0,0,3,0,3,6,0,0,0,0,25 to 62,54,12,0,0,0,0,12,0,0,0,1,0,0,0,12,7,5,12,0,0,274,1,288,275,12,0,41,20,1594396648.51196,243766.072259733
54,54,45,089,NASSAU,Nassau,FL,1373,18,20,111,178,195,215,242,176,137,81,0,0 to 103,52,719,481,173,1328,45,0,26,1312,28,40,22,53,1320,0,0,1328,39,12,0,2,30,20,1,51,0,0,6,6,10,6,7,11,5,2,0,15 to 89,50,33,6,2,10,1,39,11,18,0,12,0,0,0,53,21,31,51,2,0,1277,43,1373,1320,53,0,23,20,1641620662.32831,388721.737801268
55,55,22,043,GLADES,Glades,FL,60,1,2,3,9,9,6,10,7,9,4,0,1 to 90,54,30,27,3,60,0,0,2,55,3,5,0,6,54,0,0,60,4,2,0,0,2,4,0,6,0,0,0,1,0,0,1,1,1,2,0,30 to 89,74,3,3,0,0,0,5,1,3,0,3,0,0,1,6,4,2,6,0,0,54,0,60,54,6,1,18,7,2551976411.00452,236757.936928168
56,56,8,015,CHARLOTTE,Charlotte,FL,1963,21,20,109,187,222,269,357,345,263,168,2,0 to 100,59,1156,781,26,1947,16,0,69,1822,62,118,12,211,1745,2,5,1941,133,77,0,1,125,85,0,210,1,1,6,18,10,19,35,41,38,42,0,3 to 100,69,129,21,4,56,6,134,70,27,0,32,0,0,14,211,86,125,210,1,0,1731,14,1963,1745,211,14,79,61,1825525431.11919,398247.923422686
57,57,58,115,SARASOTA,Sarasota,FL,4347,55,64,235,431,497,620,745,753,574,370,3,0 to 115,58,2482,1779,86,4220,127,0,351,3793,190,562,81,323,4022,1,1,4218,264,43,10,6,173,132,2,307,3,1,11,28,29,44,49,68,54,36,0,0 to 102,64,245,17,23,22,36,234,37,131,11,107,8,0,32,323,142,179,307,16,0,3911,111,4347,4022,323,32,222,117,1509311882.53409,264158.506465067
58,58,14,027,DESOTO,Desoto,FL,510,16,6,23,73,71,80,82,80,54,24,1,0 to 93,53,257,216,37,508,2,0,8,442,48,98,3,25,481,0,4,504,18,7,0,0,9,16,0,25,0,0,0,5,1,3,7,4,3,2,0,27 to 92,60,20,1,0,4,5,13,7,10,0,9,0,0,4,25,16,9,25,0,0,479,2,510,481,25,4,3,0,1654926851.96404,168390.780925558
59,59,18,035,FLAGLER,Flagler,FL,1394,17,12,68,152,201,195,269,276,156,47,1,0 to 98,56,778,576,40,1380,14,0,43,1301,37,110,34,127,1266,1,0,1379,106,17,4,0,71,52,0,123,0,1,5,12,18,19,34,27,11,0,0,7 to 81,58,88,14,15,6,14,101,8,15,2,8,2,0,2,127,53,74,123,4,0,1256,10,1394,1266,127,2,56,27,1294754947.55994,220559.838719988
60,60,26,051,HENDRY,Hendry,FL,475,10,10,43,76,84,76,74,49,31,22,0,0 to 101,47,251,218,6,474,1,0,21,404,32,72,2,68,406,0,1,473,46,22,0,0,36,32,0,68,1,2,3,9,15,11,13,5,5,4,0,2 to 101,46,40,27,1,0,22,43,3,27,0,18,0,0,2,68,32,36,68,0,0,405,1,475,406,68,2,150,102,3080878042.06929,290231.154940413
