ï»¿OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County_1,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Chart_MedAge,MedianAge,SHAPE_Length,SHAPE_Area
28,28,38,075,LEVY,Levy,FL,1824,27,31,185,235,204,247,348,274,192,80,1,0 to 118,54,1052,755,17,1820,4,0,39,1482,16,399,8,210,1614,0,0,1820,182,25,0,3,76,130,1,207,1,3,44,43,35,26,26,19,8,5,0,3 to 99,38,85,12,91,19,99,87,21,27,0,17,0,0,1,210,132,77,207,3,0,3313,1,3526,3314,210,1,366,316,35,38,3.28561267663391,0.269417839061194
29,29,60,119,SUMTER,Sumter,FL,4009,28,34,108,184,199,315,536,1461,923,136,85,0 to 119,69,1980,1840,189,3934,75,0,152,3551,164,384,65,420,3566,0,23,3911,366,51,2,1,156,259,2,417,1,9,22,19,49,61,58,124,64,13,0,4 to 92,63,293,54,15,55,31,325,61,88,0,57,0,0,17,420,261,157,417,3,0,7856,72,8355,7928,420,17,155,143,65,63,2.17022236361353,0.138739000630679
30,30,59,117,SEMINOLE,Seminole,FL,19332,255,451,2009,2716,2626,2954,3061,2609,1232,554,865,0 to 119,49,10895,8303,134,19288,44,0,387,18051,246,1058,103,3339,15972,1,20,19268,3266,60,13,0,1759,1557,10,3326,48,77,829,774,486,455,303,193,98,76,0,0 to 104,34,1392,294,282,1358,427,959,1940,300,5,186,1,0,20,3339,1562,1767,3326,13,0,37847,30,41248,37877,3339,20,1098,855,33,34,1.54465854506178,0.0825017178217949
31,31,48,095,ORANGE,Orange,FL,73544,1271,1698,7512,12057,11041,11356,11104,7771,3692,1393,4649,0 to 120,45,39836,33262,446,72334,1209,1,1100,70004,585,2936,429,14033,59377,0,134,72202,13666,116,245,5,6605,7045,132,13782,220,342,3193,3855,2320,1868,1264,574,288,95,13,0 to 103,32,3233,1780,2167,6602,1890,2846,9046,971,48,490,38,5,59,14032,7183,6709,13781,250,1,139805,958,154975,140763,14032,59,1797,1571,35,32,2.69541534247372,0.239823210111864
32,32,9,017,CITRUS,Citrus,FL,4320,44,85,245,424,394,514,794,958,652,202,8,0 to 222,60,2407,1728,185,4313,7,0,89,3642,119,441,30,378,3939,1,2,4311,236,142,0,0,186,192,0,378,4,12,46,50,37,53,81,54,28,13,0,0 to 97,53,295,21,20,42,32,298,48,44,0,42,0,0,13,378,192,186,378,0,0,10467,6,10854,10473,378,13,1272,817,57,53,2.36078129145224,0.144732057690528
33,33,27,053,HERNANDO,Hernando,FL,4294,73,72,373,578,516,628,756,604,428,262,4,0 to 102,53,2553,1716,25,4273,21,0,145,3685,66,530,51,541,3752,0,1,4272,407,127,6,1,253,278,3,534,9,14,96,110,74,81,78,51,19,9,0,0 to 92,39,364,42,29,99,73,294,167,101,2,49,2,1,5,541,280,258,534,7,0,10710,14,11267,10724,541,5,761,710,46,39,1.97468349274389,0.11617688304957
34,34,52,103,PINELLAS,Pinellas,FL,43556,441,666,3352,5857,5121,6223,7988,7131,4334,2353,90,0 to 120,55,24986,18441,129,43209,347,0,2764,37758,411,6897,405,8533,34977,1,45,43163,8281,177,68,7,4561,3862,35,8458,111,272,1415,1944,1151,1135,1019,668,470,339,9,0 to 104,39,3468,1549,390,3051,559,4353,3546,947,19,740,17,2,198,8533,3906,4592,8458,75,0,95942,272,104790,96214,8533,198,765,673,41,39,3.37527233690315,0.0695827304540653
35,35,61,121,SUWANNEE,Suwannee,FL,2529,77,86,235,340,310,307,387,320,243,213,11,0 to 118,52,1566,891,72,2514,15,0,74,2014,110,686,21,614,1915,0,0,2514,488,111,12,3,346,253,0,599,24,44,95,91,94,86,65,48,39,27,1,0 to 102,40,296,89,118,96,215,276,108,77,1,62,0,0,21,614,259,355,599,15,0,3969,0,4587,3969,614,21,76,72,47,40,2.13933972018078,0.167912477075967
36,36,16,031,DUVAL,Duval,FL,55308,865,1260,5687,9705,8242,8343,9324,6701,3377,1678,126,-6 to 119,47,30246,24318,744,54658,650,0,991,51239,454,3187,226,9146,46095,11,56,54592,8447,578,109,12,4615,4370,40,9025,105,288,1666,2514,1607,1191,947,506,210,109,3,0 to 101,34,2445,2445,812,3323,875,4319,3831,600,22,368,11,3,68,9146,4435,4669,9025,121,0,108823,528,118665,109351,9146,68,2859,2742,39,34,3.27411455760684,0.200425275865001
37,37,34,067,LAFAYETTE,Lafayette,FL,367,6,1,44,46,42,37,40,50,56,44,1,0 to 119,57,233,127,7,367,0,0,12,328,0,23,1,36,331,0,0,367,29,7,0,0,18,18,0,36,1,1,4,9,4,5,4,5,1,2,0,3 to 98,42,23,8,2,3,7,25,4,7,0,3,0,0,0,36,18,18,36,0,0,551,0,588,551,36,0,20,20,46,42,1.87054630268957,0.132542672355777
38,38,23,045,GULF,Gulf,FL,664,11,15,53,62,69,112,133,123,66,20,0,0 to 94,55,382,279,3,605,59,0,24,599,1,78,15,54,609,0,1,604,46,3,5,0,21,28,0,49,0,1,17,6,8,12,6,3,0,1,0,9 to 89,40,23,10,2,14,2,33,14,8,1,2,1,0,0,54,32,22,49,5,0,1768,54,1876,1822,54,0,87,84,48,40,2.48127035962968,0.137366647942991
39,39,63,125,UNION,Union,FL,1219,11,26,74,82,112,141,407,279,73,14,0,0 to 118,59,335,878,6,1219,0,0,22,1137,4,114,4,85,1133,0,1,1218,68,17,0,0,20,65,0,85,0,6,20,10,4,5,25,13,2,0,0,6 to 80,54,47,23,4,11,4,67,14,10,0,10,0,0,2,85,65,20,85,0,0,2347,0,2432,2347,85,2,136,134,61,54,1.26448361855685,0.0605152419302145
40,40,4,007,BRADFORD,Bradford,FL,1521,23,30,127,200,176,225,294,190,146,103,7,0 to 118,53,947,550,24,1519,2,0,33,1400,34,188,2,96,1424,0,1,1518,49,46,0,0,64,31,0,95,1,5,12,15,14,10,8,7,12,11,0,1 to 107,45,70,21,3,1,6,86,3,15,0,13,0,0,2,95,31,64,95,0,0,2705,2,2804,2707,95,2,257,225,62,45,1.60231093560507,0.0725862816422102
41,41,65,129,WAKULLA,Wakulla,FL,1318,16,31,108,150,178,221,247,218,109,39,1,0 to 102,53,750,557,11,1313,5,0,22,1203,13,222,7,87,1230,0,1,1312,64,20,2,1,53,31,0,84,1,0,23,16,14,16,7,6,3,1,0,3 to 86,36,54,20,4,6,5,72,7,15,0,8,0,0,1,87,32,55,84,3,0,2371,2,2464,2373,87,1,208,133,46,36,2.72889764150517,0.147928217310253
