OBJECTID_12_13,OBJECTID,DEPCODE,COUNTY,COUNTYNAME,DATESTAMP,ShapeSTAre,ShapeSTLen,OBJECTID_1,County_1,State,OBJECTID_12,DEPCODE_1,COUNTYN,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,PUIAgeAvrg,PUIAgeRange,C_AgeAvrg,C_AgeRange,C_AllResTypes,C_NonResDeaths,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUITravelNo,PUITravelUnkn,PUITravelYes,C_ED_NO,C_ED_NoData,C_ED_Yes,C_Hosp_No,C_Hosp_Nodata,C_Hosp_Yes,FLResDeaths,PUILab_Yes,TPositive,TNegative,TInconc,TPending,PUIContNo,PUIContUnkn,PUIContYes,CasesAll,C_Men,C_Women,C_TravelYes,C_TravelNo,C_TravelUnkn,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_PendRes,T_PendNotRes,T_total,T_negative,T_pending,T_positive,FLandNonFLDeaths,EverMon,MonNow,Shape__Area,Shape__Length
43,43,53,105,POLK,2000-05-16T00:00:00.000Z,56039729499.5993,1273587.97322649,53,Polk,FL,43,53,105,404,9,8,38,44,46,71,69,69,37,13,0,0,1,1,1,3,2,2,2,2,1,0,0 to 97,51,8 to 88,15,0,223,165,16,401,3,0,67,299,38,2,2,11,4,2,9,0,360,15,345,0,44,66,18,17,15,8,7,6,8,1,15,0,0,342,3,44,0,404,345,44,15,0,38,13,0.477444147538563,3.74731907462886
44,44,49,097,OSCEOLA,2000-05-16T00:00:00.000Z,41974373975.6891,1149911.15232981,49,Osceola,FL,44,49,97,369,3,6,25,70,71,61,57,48,23,5,0,0,0,6,6,5,8,6,5,3,0,0,0 to 97,47,18 to 80,36,0,209,157,3,364,5,0,93,202,74,16,4,19,24,3,12,0,296,39,257,0,73,105,30,48,39,22,17,15,15,9,36,3,0,255,2,73,0,369,257,73,39,0,55,31,0.357928281930981,3.3752685802766
45,45,28,055,HIGHLANDS,2000-05-16T00:00:00.000Z,30858531275.5408,973257.170083551,28,Highlands,FL,45,28,55,34,2,0,2,6,5,2,3,7,7,0,0,0,0,0,0,1,0,1,0,3,0,0,1 to 83,51,39 to 78,5,0,22,9,3,34,0,0,3,29,2,2,2,1,3,1,1,0,28,5,23,0,6,4,1,1,5,1,4,2,2,1,5,0,0,23,0,6,0,34,23,6,5,0,19,17,0.261466143529105,2.84124661922134
46,46,36,071,LEE,2000-05-16T00:00:00.000Z,22734524817.4646,1913267.0220598,36,Lee,FL,46,36,71,612,6,12,37,76,72,108,90,120,73,18,0,0,1,2,3,6,4,6,15,13,2,0,2 to 97,53,10 to 90,47,0,376,228,8,603,9,0,122,468,22,25,11,16,31,3,18,3,578,52,526,0,34,33,19,100,52,33,19,12,32,8,47,5,0,522,4,34,0,612,526,34,52,3,182,146,0.191375285049844,5.53875412301
47,47,11,021,COLLIER,2000-05-16T00:00:00.000Z,55941206045.6423,1903355.15661929,11,Collier,FL,47,11,21,619,3,6,36,70,57,89,105,110,102,41,0,0,0,3,9,2,8,12,4,17,2,0,1 to 94,57,17 to 93,48,0,365,247,7,585,34,0,129,444,46,22,23,12,39,10,8,0,577,57,520,0,42,92,36,32,57,33,24,25,21,11,48,9,0,497,23,40,2,619,520,42,57,0,91,87,0.469024645858553,5.510854351744
48,48,13,025,MIAMI-DADE,2000-05-16T00:00:00.000Z,55073375763.8941,1774363.00496543,13,Dade,FL,48,13,25,3968,58,79,298,721,755,728,619,363,229,111,7,0,6,33,103,99,101,76,45,23,5,0,0 to 120,46,10 to 99,476,0,2061,1864,43,3915,52,1,247,3522,199,33,309,149,148,288,55,0,3867,491,3372,4,101,180,211,216,491,294,195,105,78,308,475,15,1,3341,34,99,3,3968,3375,102,491,0,393,276,0.459639407437294,5.08399988209391
49,49,44,087,MONROE,2000-05-16T00:00:00.000Z,28308543761.6011,4591181.83897766,44,Monroe,FL,49,44,87,112,0,0,10,13,11,20,24,21,8,5,0,0,0,2,0,0,5,0,1,3,0,0,16 to 92,54,20 to 80,9,0,62,50,0,104,8,0,23,59,30,2,5,4,6,2,3,0,90,11,79,0,22,19,31,8,11,6,5,9,2,0,9,2,0,76,3,19,3,112,79,22,11,0,14,13,0.23593160859366,13.2628040867439
50,50,57,113,SANTA ROSA,2000-05-16T00:00:00.000Z,28109274128.0588,1198564.1555946,55,Santa Rosa,FL,50,57,113,114,6,5,4,14,19,20,15,22,7,2,0,1,0,1,0,0,1,1,3,1,0,0,1 to 88,48,2 to 76,8,0,66,48,0,114,0,0,15,91,8,2,1,5,3,0,5,1,111,8,103,0,3,15,3,7,8,7,1,5,3,0,8,0,0,103,0,3,0,114,103,3,8,1,155,134,0.24455885946486,3.55202924270698
51,51,66,131,WALTON,2000-05-16T00:00:00.000Z,29260992908.4669,1216747.48888053,67,Walton,FL,51,66,131,73,3,1,9,6,7,20,13,9,4,1,0,0,0,3,0,1,3,2,1,3,0,0,1 to 85,47,20 to 79,7,0,41,32,0,65,8,0,28,20,25,7,1,5,8,1,4,0,61,13,48,0,12,11,26,12,13,6,7,6,6,1,7,6,0,46,2,12,0,73,48,12,13,0,4,4,0.254870622162116,3.60138877906906
52,52,32,063,JACKSON,2000-05-16T00:00:00.000Z,26457674355.9754,735287.597926583,32,Jackson,FL,52,32,63,42,0,0,6,7,5,6,9,5,4,0,0,0,0,0,1,0,0,0,0,0,0,0,20 to 80,48,33 to 33,0,0,21,19,2,40,2,0,9,25,8,1,0,0,1,0,0,0,40,1,39,0,2,13,3,3,1,1,0,1,0,0,0,1,0,38,1,2,0,42,39,2,1,0,6,6,0.2310932807261,2.21646510886719
