"county","as of","cases","deaths","url","notes","tested","pending","negative","positive","inconclusive","positives-travel","Locally Acquired (person to person or community spread)","Known Contact Positives","Community Transmission Positives","unknown/under investigation","recovered","Hospitalized","hospitalized-status","ICU","ICU-status","federal quarantine","Non-Resident Positive Tests","PUI (travelers + others)","travelers completed monitoring","for map?","updated","more granular data avaialble?","race data?"
"Sacramento","4/16/2020 17:22:47","879","32","https://www.saccounty.net/COVID-19/Pages/default.aspx","","","","","","","","","","","","","","","","","","","","","","","x (zip code)","x"
"San Benito","4/16/2020 17:23:45","42","2","https://hhsa.cosb.us/publichealth/communicable-disease/coronavirus/","","651","33","576","42","","","","","","","37","","","","","","","","","SCNG","","",""
"San Bernardino","4/16/2020 17:30:07","1032","47","http://wp.sbcounty.gov/dph/coronavirus/","","11191","","","","","","","","","","","","","","","","","","","","","x",""
"San Diego","4/16/2020 17:30:58","2087","63","https://www.sandiegocounty.gov/content/sdc/hhsa/programs/phs/community_epidemiology/dc/2019-nCoV/status.html","","29132","","","","","","","","","","","488","","173","","","","","","","","x","x"
"San Francisco","4/16/2020 17:32:10","1019","17","https://www.sfdph.org/dph/alerts/coronavirus.asp","SF hospitalization numbers are from the health director in a press conference, but they are not releasing them on a daily basis yet.","9453","","","","","","","","","","","90","current","31","current","","","","","BANG","","","x"
"San Joaquin","4/16/2020 17:32:34","369","17","http://www.sjcphs.org/","","","","","","","","","","","","","","","","","","","","","","","x",""
"San Luis Obispo","4/16/2020 17:33:36","125","1","https://www.emergencyslo.org/en/positive-case-details.aspx","Testing numbers don't include private labs positives or negatives.","790","","742","48","","","","","","","104","3","current","2","current","","","","","","","x",""
"San Mateo","4/16/2020","767","28","https://www.smchealth.org/coronavirus","Their portal says it was updated on the previous day, but the numbers aren't reported until the next day. So, for example, it says ""data last updated April 8th"" but those numbers are reported on the 9th.","7295","111","6445","739","","","","","","","","76","current","22","current","","","","","BANG","","",""
"Santa Barbara","4/16/2020 17:34:58","354","3","https://publichealthsbc.org/","","2009","","1652","354","3","","","","","","137","38","current","15","current","","","","","","","x",""
"Santa Clara","4/16/2020 17:36:28","1833","69","https://www.sccgov.org/sites/phd/DiseaseInformation/novel-coronavirus/Pages/dashboard.aspx","","17061","220","15008","1666","","","","","","","","195","current","76","current","","","","","BANG","","x","x"
"Santa Cruz","4/16/2020 17:37:37","96","2","https://www.santacruzhealth.org/HSAHome/HSADivisions/PublicHealth/CommunicableDiseaseControl/Coronavirus.aspx","","","","2514","","","","","","","","41","17","required hospitalization","","","","","","","BANG","","x",""
"Shasta","4/16/2020 17:38:30","26","3","https://www.co.shasta.ca.us/index/hhsa/health-safety/current-heath-concerns/coronavirus","Numbers are in a video report.","","","907","26","","","","","","","13","","","","","","","","","","","",""
"Sierra","4/16/2020 17:38:49","0","0","http://www.sierracounty.ca.gov/582/Coronavirus-COVID-19","","13","1","12","0","","","","","","","","","","","","","","","","","","",""
"Siskiyou","4/16/2020 17:39:31","5","0","https://www.co.siskiyou.ca.us/publichealth","","203","3","195","5","","","","","","","4","","","","","","","","","","","",""
"Solano","4/16/2020 17:40:31","156","2","http://www.solanocounty.com/depts/ph/ncov.asp","no weekend updates","2169","","","","","","","","","","","","cumulative/current","","","","","","","BANG","","x",""
"Sonoma","4/16/2020","163","2","https://socoemergency.org/emergency/novel-coronavirus/novel-coronavirus-in-sonoma-county/","The display ""active cases"" prominently but it doesn't include deaths and recovered. Make sure to pull ""cumulative cases.""","4010","","","","","","","","","","79","21","hospitalized","","","","","","","BANG","","",""
"Stanislaus","4/16/2020 17:41:13","187","4","http://schsa.org/publichealth/pages/corona-virus/","","","","2882","","","","","","","","81","","","","","","","","","","","x",""
"Sutter","4/16/2020 17:42:23","24","2","https://www.suttercounty.org/doc/government/depts/cao/em/coronavirus","Yuba and Sutter appear to report together to a certain extent. Testing is reported together, so I'm placing it in sutter/","1150","171","","","","","","","","","7","","ever/currently","","","","","","","","","",""
"Tehama","4/16/2020 17:42:47","1","0","https://www.tehamacohealthservices.net/","","","","175","","","","","","","","","","","","","","","","","","","",""
"Trinity","4/16/2020 17:55:22","0","0","https://www.trinitycounty.org/Public-Health","","58","","58","","","","","","","","","","","","","","","","","","","",""
"Tulare","4/16/2020 17:44:50","372","17","https://tchhsa.org/eng/index.cfm/public-health/covid-19-updates-novel-coronavirus/","","","","","","","","","","","","22","","","","","","","","","","","x",""
"Tuolumne","4/16/2020 17:45:33","1","0","https://www.tuolumnecounty.ca.gov/250/Public-Health","","405","9","394","2","","","","","","","","","","","","","1","","","","","",""
"Ventura","4/16/2020 17:46:53","384","13","https://www.vcemergency.com/","","6823","","","","","","","","","","191","","ever/currently","","ever/currently","","","","","","","x",""
"Yolo","4/16/2020 17:47:34","125","7","https://www.yolocounty.org/health-human-services/adults/communicable-disease-investigation-and-control/novel-coronavirus-2019","","1230","","","","","","","","","","","21","ever","","","","","","","","","",""
"Yuba","4/16/2020 17:47:54","15","1","https://www.yuba.org/coronavirus/","Yuba and Sutter appear to report together to a certain extent, and info is easier to find on the Sutter county website.","","","","","","","","","","","8","","ever/currently","","","","","","","","","",""
